,instance.id,instance.word,sentence.id
65,senseval2.d000.s010.t007,drive,senseval2.d000.s010
80,senseval2.d000.s012.t006,drift,senseval2.d000.s012
86,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
93,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
94,senseval2.d000.s016.t003,art,senseval2.d000.s016
99,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
118,senseval2.d000.s020.t011,striking,senseval2.d000.s020
119,senseval2.d000.s021.t000,variation,senseval2.d000.s021
125,senseval2.d000.s022.t000,Ringers,senseval2.d000.s022
133,senseval2.d000.s023.t001,so,senseval2.d000.s023
146,senseval2.d000.s024.t009,involved,senseval2.d000.s024
154,senseval2.d000.s025.t007,pulling,senseval2.d000.s025
157,senseval2.d000.s025.t010,hole,senseval2.d000.s025
164,senseval2.d000.s026.t004,make,senseval2.d000.s026
171,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
180,senseval2.d000.s027.t012,thus,senseval2.d000.s027
193,senseval2.d000.s028.t013,ending,senseval2.d000.s028
214,senseval2.d000.s031.t008,performed,senseval2.d000.s031
219,senseval2.d000.s032.t004,master,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
280,senseval2.d000.s045.t000,So,senseval2.d000.s045
295,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
296,senseval2.d000.s048.t004,fuller,senseval2.d000.s048
302,senseval2.d000.s049.t005,relations,senseval2.d000.s049
307,senseval2.d000.s050.t001,speak,senseval2.d000.s050
324,senseval2.d000.s051.t004,longer,senseval2.d000.s051
325,senseval2.d000.s051.t005,high,senseval2.d000.s051
329,senseval2.d000.s051.t009,experience,senseval2.d000.s051
333,senseval2.d000.s052.t003,greater,senseval2.d000.s052
358,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
389,senseval2.d000.s061.t000,writer,senseval2.d000.s061
457,senseval2.d001.s001.t006,painting,senseval2.d001.s001
495,senseval2.d001.s006.t004,knew,senseval2.d001.s006
502,senseval2.d001.s007.t003,altered,senseval2.d001.s007
532,senseval2.d001.s010.t010,longer,senseval2.d001.s010
638,senseval2.d001.s021.t010,faced,senseval2.d001.s021
656,senseval2.d001.s023.t000,made,senseval2.d001.s023
674,senseval2.d001.s025.t016,recent,senseval2.d001.s025
683,senseval2.d001.s026.t007,fundamental,senseval2.d001.s026
684,senseval2.d001.s026.t008,insights,senseval2.d001.s026
695,senseval2.d001.s027.t007,begin,senseval2.d001.s027
825,senseval2.d001.s043.t008,No.,senseval2.d001.s043
860,senseval2.d001.s048.t009,track,senseval2.d001.s048
911,senseval2.d001.s056.t006,rare,senseval2.d001.s056
917,senseval2.d001.s057.t001,turned,senseval2.d001.s057
937,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
961,senseval2.d001.s060.t009,searching,senseval2.d001.s060
990,senseval2.d001.s066.t000,report,senseval2.d001.s066
999,senseval2.d001.s067.t004,losses,senseval2.d001.s067
1002,senseval2.d001.s067.t007,common,senseval2.d001.s067
1028,senseval2.d001.s070.t012,material,senseval2.d001.s070
1032,senseval2.d001.s071.t000,piece,senseval2.d001.s071
1037,senseval2.d001.s072.t000,found,senseval2.d001.s072
1040,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1047,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1059,senseval2.d001.s074.t000,found,senseval2.d001.s074
1061,senseval2.d001.s074.t002,same,senseval2.d001.s074
1085,senseval2.d001.s077.t001,suddenly,senseval2.d001.s077
1087,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1207,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1216,senseval2.d001.s092.t001,administer,senseval2.d001.s092
1274,senseval2.d002.s006.t008,children,senseval2.d002.s006
1280,senseval2.d002.s008.t001,say,senseval2.d002.s008
1292,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1329,senseval2.d002.s014.t002,survive,senseval2.d002.s014
1340,senseval2.d002.s016.t000,education,senseval2.d002.s016
1346,senseval2.d002.s018.t000,Progressive,senseval2.d002.s018
1349,senseval2.d002.s018.t003,called,senseval2.d002.s018
1364,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1377,senseval2.d002.s021.t000,took,senseval2.d002.s021
1387,senseval2.d002.s023.t001,dump,senseval2.d002.s023
1398,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1399,senseval2.d002.s025.t000,best,senseval2.d002.s025
1406,senseval2.d002.s027.t000,remember,senseval2.d002.s027
1452,senseval2.d002.s036.t007,strike,senseval2.d002.s036
1466,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1491,senseval2.d002.s042.t002,need,senseval2.d002.s042
1512,senseval2.d002.s045.t004,education,senseval2.d002.s045
1532,senseval2.d002.s048.t002,program,senseval2.d002.s048
1537,senseval2.d002.s051.t003,blame,senseval2.d002.s051
1541,senseval2.d002.s051.t007,children,senseval2.d002.s051
1560,senseval2.d002.s055.t002,even,senseval2.d002.s055
1561,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1563,senseval2.d002.s056.t000,Here,senseval2.d002.s056
1564,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1567,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1594,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1604,senseval2.d002.s062.t002,flows,senseval2.d002.s062
1626,senseval2.d002.s063.t016,performance,senseval2.d002.s063
1688,senseval2.d002.s074.t001,American,senseval2.d002.s074
1695,senseval2.d002.s074.t012,influence,senseval2.d002.s074
1726,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1733,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1771,senseval3.d000.s008.t001,drunk,senseval3.d000.s008
