,instance.id,instance.word,sentence.id
26,senseval2.d000.s004.t001,stop,senseval2.d000.s004
52,senseval2.d000.s006.t008,cool,senseval2.d000.s006
112,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
130,senseval2.d000.s019.t002,started,senseval2.d000.s019
152,senseval2.d000.s020.t011,striking,senseval2.d000.s020
153,senseval2.d000.s021.t000,variation,senseval2.d000.s021
237,senseval2.d000.s029.t006,swing,senseval2.d000.s029
255,senseval2.d000.s030.t013,mechanical,senseval2.d000.s030
268,senseval2.d000.s032.t004,master,senseval2.d000.s032
271,senseval2.d000.s032.t007,best,senseval2.d000.s032
285,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
297,senseval2.d000.s039.t005,premises,senseval2.d000.s039
320,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
324,senseval2.d000.s045.t000,So,senseval2.d000.s045
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
339,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
344,senseval2.d000.s047.t002,draw,senseval2.d000.s047
348,senseval2.d000.s048.t000,live,senseval2.d000.s048
349,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
358,senseval2.d000.s049.t005,relations,senseval2.d000.s049
361,senseval2.d000.s049.t008,president,senseval2.d000.s049
366,senseval2.d000.s051.t004,longer,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
380,senseval2.d000.s053.t001,says,senseval2.d000.s053
424,senseval2.d000.s057.t010,ringers,senseval2.d000.s057
435,senseval2.d000.s059.t007,galling,senseval2.d000.s059
482,senseval2.d000.s062.t007,male,senseval2.d000.s062
503,senseval2.d000.s064.t000,seen,senseval2.d000.s064
523,senseval2.d001.s001.t004,recent,senseval2.d001.s001
525,senseval2.d001.s001.t006,painting,senseval2.d001.s001
586,senseval2.d001.s007.t007,then,senseval2.d001.s007
612,senseval2.d001.s010.t010,longer,senseval2.d001.s010
725,senseval2.d001.s022.t005,little,senseval2.d001.s022
823,senseval2.d001.s033.t008,racing,senseval2.d001.s033
886,senseval2.d001.s040.t001,prove,senseval2.d001.s040
912,senseval2.d001.s043.t008,No.,senseval2.d001.s043
955,senseval2.d001.s049.t011,area,senseval2.d001.s049
958,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
982,senseval2.d001.s056.t006,rare,senseval2.d001.s056
988,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1008,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
1024,senseval2.d001.s060.t001,student,senseval2.d001.s060
1032,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1051,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1113,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1127,senseval2.d001.s074.t002,same,senseval2.d001.s074
1131,senseval2.d001.s075.t002,caused,senseval2.d001.s075
1162,senseval2.d001.s078.t002,emerging,senseval2.d001.s078
