,instance.id,instance.word,sentence.id
9,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
71,senseval2.d000.s008.t003,ringer,senseval2.d000.s008
72,senseval2.d000.s008.t004,remains,senseval2.d000.s008
82,senseval2.d000.s010.t006,training,senseval2.d000.s010
96,senseval2.d000.s012.t004,dances,senseval2.d000.s012
102,senseval2.d000.s013.t003,youth,senseval2.d000.s013
258,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
342,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
444,senseval2.d000.s056.t001,now,senseval2.d000.s056
449,senseval2.d000.s056.t006,ringer,senseval2.d000.s056
460,senseval2.d000.s057.t010,ringers,senseval2.d000.s057
471,senseval2.d000.s059.t007,galling,senseval2.d000.s059
497,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
542,senseval2.d001.s001.t006,painting,senseval2.d001.s001
548,senseval2.d001.s002.t001,understanding,senseval2.d001.s002
553,senseval2.d001.s002.t006,new,senseval2.d001.s002
595,senseval2.d001.s006.t007,level,senseval2.d001.s006
629,senseval2.d001.s010.t010,longer,senseval2.d001.s010
697,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
740,senseval2.d001.s020.t011,same,senseval2.d001.s020
797,senseval2.d001.s025.t017,months,senseval2.d001.s025
818,senseval2.d001.s030.t004,reported,senseval2.d001.s030
941,senseval2.d001.s043.t008,No.,senseval2.d001.s043
1022,senseval2.d001.s056.t007,childhood,senseval2.d001.s056
1027,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1069,senseval2.d001.s060.t007,probing,senseval2.d001.s060
1076,senseval2.d001.s061.t001,confusing,senseval2.d001.s061
1078,senseval2.d001.s061.t003,genetic,senseval2.d001.s061
1080,senseval2.d001.s061.t005,only,senseval2.d001.s061
1110,senseval2.d001.s065.t006,develop,senseval2.d001.s065
1163,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1227,senseval2.d001.s080.t005,strikes,senseval2.d001.s080
1245,senseval2.d001.s082.t004,say,senseval2.d001.s082
1320,senseval2.d001.s090.t007,hunters,senseval2.d001.s090
1322,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1435,senseval2.d002.s011.t010,repression,senseval2.d002.s011
1467,senseval2.d002.s015.t005,allow,senseval2.d002.s015
1477,senseval2.d002.s018.t000,Progressive,senseval2.d002.s018
1529,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1700,senseval2.d002.s054.t002,option,senseval2.d002.s054
1706,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1940,senseval3.d000.s012.t001,head,senseval3.d000.s012
1941,senseval3.d000.s012.t002,sunk,senseval3.d000.s012
2022,senseval3.d000.s026.t003,corner,senseval3.d000.s026
2025,senseval3.d000.s026.t006,nursing,senseval3.d000.s026
2258,senseval3.d000.s098.t006,drink,senseval3.d000.s098
2322,senseval3.d000.s113.t000,low,senseval3.d000.s113
2465,senseval3.d001.s000.t002,hopeful,senseval3.d001.s000
2471,senseval3.d001.s000.t008,reminder,senseval3.d001.s000
2522,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2524,senseval3.d001.s009.t011,virtues,senseval3.d001.s009
2554,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2579,senseval3.d001.s013.t001,office,senseval3.d001.s013
2591,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2594,senseval3.d001.s014.t004,making,senseval3.d001.s014
2669,senseval3.d001.s021.t010,security,senseval3.d001.s021
2685,senseval3.d001.s023.t007,office,senseval3.d001.s023
2703,senseval3.d001.s025.t005,time,senseval3.d001.s025
2736,senseval3.d001.s028.t004,reason,senseval3.d001.s028
2757,senseval3.d001.s029.t021,office,senseval3.d001.s029
2827,senseval3.d001.s036.t017,making,senseval3.d001.s036
2861,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2872,senseval3.d001.s040.t023,staff,senseval3.d001.s040
2920,senseval3.d001.s044.t003,lines,senseval3.d001.s044
2956,senseval3.d002.s000.t003,devastating,senseval3.d002.s000
2978,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
2980,senseval3.d002.s005.t003,came,senseval3.d002.s005
2998,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
3040,senseval3.d002.s028.t000,building,senseval3.d002.s028
3046,senseval3.d002.s029.t004,things,senseval3.d002.s029
3104,senseval3.d002.s057.t000,felt,senseval3.d002.s057
3246,senseval3.d002.s101.t007,come,senseval3.d002.s101
3267,senseval3.d002.s109.t006,building,senseval3.d002.s109
3364,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
3377,semeval2007.d000.s008.t002,shelter,semeval2007.d000.s008
3392,semeval2007.d000.s012.t002,understanding,semeval2007.d000.s012
3403,semeval2007.d000.s021.t000,fallen,semeval2007.d000.s021
3473,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
3576,semeval2007.d002.s000.t000,reach,semeval2007.d002.s000
3638,semeval2007.d002.s028.t001,progress,semeval2007.d002.s028
3693,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3707,semeval2007.d002.s050.t013,rolling,semeval2007.d002.s050
3716,semeval2007.d002.s052.t002,watched,semeval2007.d002.s052
3733,semeval2013.d000.s001.t002,posturing,semeval2013.d000.s001
3748,semeval2013.d000.s003.t000,advance,semeval2013.d000.s003
3758,semeval2013.d000.s004.t004,ones,semeval2013.d000.s004
3886,semeval2013.d000.s026.t001,ministers,semeval2013.d000.s026
3923,semeval2013.d001.s007.t002,game,semeval2013.d001.s007
3928,semeval2013.d001.s007.t007,home,semeval2013.d001.s007
3942,semeval2013.d001.s012.t002,plays,semeval2013.d001.s012
3961,semeval2013.d002.s001.t001,heading,semeval2013.d002.s001
3984,semeval2013.d002.s006.t004,opinion,semeval2013.d002.s006
4002,semeval2013.d002.s009.t003,high,semeval2013.d002.s009
4042,semeval2013.d003.s006.t002,fields,semeval2013.d003.s006
4061,semeval2013.d003.s010.t000,Concerns,semeval2013.d003.s010
4187,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
4201,semeval2013.d005.s007.t005,rules,semeval2013.d005.s007
4204,semeval2013.d005.s009.t004,ruling,semeval2013.d005.s009
4216,semeval2013.d005.s012.t000,ruling,semeval2013.d005.s012
4235,semeval2013.d005.s014.t009,time,semeval2013.d005.s014
4298,semeval2013.d005.s027.t002,claim,semeval2013.d005.s027
4313,semeval2013.d005.s030.t000,filing,semeval2013.d005.s030
4473,semeval2013.d007.s001.t001,bacteria,semeval2013.d007.s001
4478,semeval2013.d007.s002.t001,bacteria,semeval2013.d007.s002
4481,semeval2013.d007.s002.t004,possibilities,semeval2013.d007.s002
4520,semeval2013.d007.s011.t006,report,semeval2013.d007.s011
4554,semeval2013.d007.s022.t001,bacteria,semeval2013.d007.s022
4642,semeval2013.d008.s016.t000,world,semeval2013.d008.s016
4673,semeval2013.d008.s023.t005,figure,semeval2013.d008.s023
4722,semeval2013.d009.s003.t003,states,semeval2013.d009.s003
4755,semeval2013.d009.s009.t003,hours,semeval2013.d009.s009
4833,semeval2013.d010.s008.t002,area,semeval2013.d010.s008
4845,semeval2013.d010.s010.t001,record,semeval2013.d010.s010
4907,semeval2013.d011.s007.t005,Left,semeval2013.d011.s007
5002,semeval2013.d011.s022.t007,contribution,semeval2013.d011.s022
5049,semeval2013.d012.s009.t001,responsiveness,semeval2013.d012.s009
5073,semeval2013.d012.s019.t005,misconduct,semeval2013.d012.s019
5144,semeval2015.d000.s008.t007,lining,semeval2015.d000.s008
5293,semeval2015.d000.s027.t011,advanced,semeval2015.d000.s027
5611,semeval2015.d002.s004.t006,Affairs,semeval2015.d002.s004
5663,semeval2015.d002.s008.t008,Relations,semeval2015.d002.s008
5691,semeval2015.d002.s010.t003,further,semeval2015.d002.s010
