,instance.id,instance.word,sentence.id
36,senseval2.d000.s007.t004,sets,senseval2.d000.s007
73,senseval2.d000.s014.t000,History,senseval2.d000.s014
77,senseval2.d000.s018.t002,English,senseval2.d000.s018
111,senseval2.d000.s020.t007,sound,senseval2.d000.s020
115,senseval2.d000.s020.t011,striking,senseval2.d000.s020
179,senseval2.d000.s028.t014,surprisingly,senseval2.d000.s028
186,senseval2.d000.s029.t004,advance,senseval2.d000.s029
187,senseval2.d000.s029.t005,retard,senseval2.d000.s029
198,senseval2.d000.s030.t005,English,senseval2.d000.s030
214,senseval2.d000.s031.t008,performed,senseval2.d000.s031
220,senseval2.d000.s032.t005,band,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
250,senseval2.d000.s038.t008,sacked,senseval2.d000.s038
260,senseval2.d000.s039.t005,premises,senseval2.d000.s039
291,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
306,senseval2.d000.s049.t005,relations,senseval2.d000.s049
328,senseval2.d000.s051.t004,longer,senseval2.d000.s051
337,senseval2.d000.s052.t003,greater,senseval2.d000.s052
340,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
397,senseval2.d000.s059.t007,galling,senseval2.d000.s059
412,senseval2.d000.s060.t007,surfaced,senseval2.d000.s060
418,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
437,senseval2.d000.s062.t000,torrent,senseval2.d000.s062
449,senseval2.d000.s062.t013,badly,senseval2.d000.s062
487,senseval2.d001.s001.t006,painting,senseval2.d001.s001
573,senseval2.d001.s010.t010,longer,senseval2.d001.s010
575,senseval2.d001.s010.t014,turn,senseval2.d001.s010
589,senseval2.d001.s013.t000,recent,senseval2.d001.s013
624,senseval2.d001.s016.t008,life,senseval2.d001.s016
677,senseval2.d001.s022.t005,little,senseval2.d001.s022
695,senseval2.d001.s024.t006,develop,senseval2.d001.s024
801,senseval2.d001.s036.t000,evidence,senseval2.d001.s036
804,senseval2.d001.s036.t003,defective,senseval2.d001.s036
834,senseval2.d001.s040.t001,prove,senseval2.d001.s040
849,senseval2.d001.s042.t001,gross,senseval2.d001.s042
860,senseval2.d001.s043.t008,No.,senseval2.d001.s043
914,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
916,senseval2.d001.s052.t003,now,senseval2.d001.s052
966,senseval2.d001.s059.t003,polyps,senseval2.d001.s059
1006,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1013,senseval2.d001.s065.t006,develop,senseval2.d001.s065
1048,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1085,senseval2.d001.s078.t000,Evidence,senseval2.d001.s078
1094,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1144,senseval2.d001.s086.t001,close,senseval2.d001.s086
1221,senseval2.d002.s000.t004,reckon,senseval2.d002.s000
1298,senseval2.d002.s013.t001,same,senseval2.d002.s013
1303,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1307,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1335,senseval2.d002.s019.t003,personality,senseval2.d002.s019
1365,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1366,senseval2.d002.s025.t000,best,senseval2.d002.s025
1424,senseval2.d002.s037.t006,differentials,senseval2.d002.s037
1501,senseval2.d002.s051.t006,limitations,senseval2.d002.s051
1520,senseval2.d002.s055.t002,even,senseval2.d002.s055
1521,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1534,senseval2.d002.s059.t000,most,senseval2.d002.s059
1542,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1575,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1601,senseval2.d002.s067.t018,work,senseval2.d002.s067
1609,senseval2.d002.s069.t003,young,senseval2.d002.s069
1617,senseval2.d002.s070.t001,believes,senseval2.d002.s070
1675,senseval2.d002.s077.t005,best,senseval2.d002.s077
1690,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1731,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1740,senseval3.d000.s015.t003,hit,senseval3.d000.s015
1751,senseval3.d000.s018.t003,plot,senseval3.d000.s018
1752,senseval3.d000.s018.t004,ruin,senseval3.d000.s018
