,instance.id,instance.word,sentence.id
19,senseval2.d000.s003.t010,sound,senseval2.d000.s003
22,senseval2.d000.s003.t013,tower,senseval2.d000.s003
72,senseval2.d000.s008.t003,ringer,senseval2.d000.s008
101,senseval2.d000.s013.t000,worries,senseval2.d000.s013
105,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
120,senseval2.d000.s015.t010,longer,senseval2.d000.s015
170,senseval2.d000.s020.t011,striking,senseval2.d000.s020
171,senseval2.d000.s021.t000,variation,senseval2.d000.s021
223,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
232,senseval2.d000.s027.t012,thus,senseval2.d000.s027
263,senseval2.d000.s031.t004,comes,senseval2.d000.s031
266,senseval2.d000.s031.t008,performed,senseval2.d000.s031
293,senseval2.d000.s035.t006,skip,senseval2.d000.s035
298,senseval2.d000.s036.t000,well,senseval2.d000.s036
329,senseval2.d000.s039.t005,premises,senseval2.d000.s039
349,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
354,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
355,senseval2.d000.s044.t007,located,senseval2.d000.s044
358,senseval2.d000.s045.t000,So,senseval2.d000.s045
366,senseval2.d000.s045.t014,exit,senseval2.d000.s045
371,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
373,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
385,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
392,senseval2.d000.s049.t005,relations,senseval2.d000.s049
399,senseval2.d000.s052.t003,greater,senseval2.d000.s052
403,senseval2.d000.s053.t000,survey,senseval2.d000.s053
439,senseval2.d000.s057.t000,bright,senseval2.d000.s057
459,senseval2.d000.s059.t007,galling,senseval2.d000.s059
487,senseval2.d000.s061.t006,remarked,senseval2.d000.s061
528,senseval2.d001.s001.t004,recent,senseval2.d001.s001
530,senseval2.d001.s001.t006,painting,senseval2.d001.s001
531,senseval2.d001.s001.t007,new,senseval2.d001.s001
587,senseval2.d001.s007.t003,altered,senseval2.d001.s007
617,senseval2.d001.s010.t010,longer,senseval2.d001.s010
619,senseval2.d001.s010.t014,turn,senseval2.d001.s010
640,senseval2.d001.s012.t012,cause,senseval2.d001.s012
675,senseval2.d001.s016.t006,damaged,senseval2.d001.s016
684,senseval2.d001.s016.t017,develop,senseval2.d001.s016
688,senseval2.d001.s017.t004,spot,senseval2.d001.s017
746,senseval2.d001.s022.t005,little,senseval2.d001.s022
781,senseval2.d001.s025.t013,field,senseval2.d001.s025
783,senseval2.d001.s025.t015,study,senseval2.d001.s025
795,senseval2.d001.s027.t009,results,senseval2.d001.s027
856,senseval2.d001.s035.t003,alone,senseval2.d001.s035
939,senseval2.d001.s043.t008,No.,senseval2.d001.s043
975,senseval2.d001.s048.t008,material,senseval2.d001.s048
990,senseval2.d001.s049.t011,area,senseval2.d001.s049
991,senseval2.d001.s049.t012,first,senseval2.d001.s049
992,senseval2.d001.s050.t000,finding,senseval2.d001.s050
993,senseval2.d001.s050.t001,medicine,senseval2.d001.s050
