,instance.id,instance.word,sentence.id
1,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
15,senseval2.d000.s003.t015,faithful,senseval2.d000.s003
30,senseval2.d000.s005.t006,attached,senseval2.d000.s005
82,senseval2.d000.s013.t003,youth,senseval2.d000.s013
156,senseval2.d000.s022.t002,patterns,senseval2.d000.s022
188,senseval2.d000.s026.t004,make,senseval2.d000.s026
271,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
313,senseval2.d000.s040.t001,band,senseval2.d000.s040
322,senseval2.d000.s042.t005,church,senseval2.d000.s042
423,senseval2.d000.s059.t013,most,senseval2.d000.s059
430,senseval2.d000.s060.t004,suit,senseval2.d000.s060
561,senseval2.d001.s007.t007,then,senseval2.d001.s007
596,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
608,senseval2.d001.s012.t008,cancerous,senseval2.d001.s012
653,senseval2.d001.s017.t009,believe,senseval2.d001.s017
670,senseval2.d001.s019.t007,chance,senseval2.d001.s019
698,senseval2.d001.s022.t011,faced,senseval2.d001.s022
745,senseval2.d001.s030.t005,finding,senseval2.d001.s030
904,senseval2.d001.s051.t008,eruption,senseval2.d001.s051
975,senseval2.d001.s060.t003,months,senseval2.d001.s060
983,senseval2.d001.s060.t011,genetic,senseval2.d001.s060
1000,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1028,senseval2.d001.s067.t002,needed,senseval2.d001.s067
1227,senseval2.d001.s093.t002,defective,senseval2.d001.s093
1258,senseval2.d002.s003.t018,interests,senseval2.d002.s003
1326,senseval2.d002.s013.t005,get,senseval2.d002.s013
1328,senseval2.d002.s013.t007,education,senseval2.d002.s013
1393,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1413,senseval2.d002.s028.t000,education,senseval2.d002.s028
1458,senseval2.d002.s036.t007,strike,senseval2.d002.s036
1488,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1522,senseval2.d002.s048.t002,program,senseval2.d002.s048
1539,senseval2.d002.s051.t007,children,senseval2.d002.s051
1542,senseval2.d002.s052.t003,education,senseval2.d002.s052
1544,senseval2.d002.s052.t005,school,senseval2.d002.s052
1558,senseval2.d002.s057.t006,become,senseval2.d002.s057
1614,senseval2.d002.s066.t005,level,senseval2.d002.s066
1717,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1721,senseval3.d000.s004.t002,matched,senseval3.d000.s004
1737,senseval3.d000.s007.t000,noticed,senseval3.d000.s007
1808,senseval3.d000.s023.t005,word,senseval3.d000.s023
1816,senseval3.d000.s027.t008,money,senseval3.d000.s027
1822,senseval3.d000.s030.t000,take,senseval3.d000.s030
1825,senseval3.d000.s030.t003,feel,senseval3.d000.s030
1900,senseval3.d000.s067.t006,little,senseval3.d000.s067
1916,senseval3.d000.s071.t009,tenants,senseval3.d000.s071
1918,senseval3.d000.s071.t011,life,senseval3.d000.s071
2016,senseval3.d000.s099.t002,corner,senseval3.d000.s099
2059,senseval3.d000.s109.t003,trapped,senseval3.d000.s109
2108,senseval3.d000.s121.t003,stranger,senseval3.d000.s121
2109,senseval3.d000.s122.t000,pay,senseval3.d000.s122
2119,senseval3.d000.s128.t001,business,senseval3.d000.s128
2121,senseval3.d000.s128.t003,share,senseval3.d000.s128
2142,senseval3.d000.s143.t003,played,senseval3.d000.s143
2163,senseval3.d000.s155.t002,time,senseval3.d000.s155
2223,senseval3.d001.s005.t000,pattern,senseval3.d001.s005
2238,senseval3.d001.s008.t002,assumptions,senseval3.d001.s008
2308,senseval3.d001.s018.t000,theory,senseval3.d001.s018
2365,senseval3.d001.s025.t002,indicates,senseval3.d001.s025
2627,senseval3.d002.s002.t001,made,senseval3.d002.s002
2635,senseval3.d002.s003.t002,came,senseval3.d002.s003
2764,senseval3.d002.s067.t000,Books,senseval3.d002.s067
2809,senseval3.d002.s087.t006,memory,senseval3.d002.s087
2893,senseval3.d002.s112.t004,session,senseval3.d002.s112
2900,senseval3.d002.s120.t002,get,senseval3.d002.s120
2913,senseval3.d002.s125.t002,waiting,senseval3.d002.s125
2956,semeval2007.d000.s006.t003,had,semeval2007.d000.s006
2972,semeval2007.d000.s014.t001,says,semeval2007.d000.s014
2978,semeval2007.d000.s016.t001,created,semeval2007.d000.s016
2984,semeval2007.d000.s020.t000,had,semeval2007.d000.s020
3006,semeval2007.d000.s028.t006,support,semeval2007.d000.s028
3052,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
3127,semeval2007.d001.s036.t007,establishment,semeval2007.d001.s036
3242,semeval2007.d002.s050.t002,come,semeval2007.d002.s050
