mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Demonstrative mutation,,"The English are peculiar in their art of change-ringing, which, like most of their peculiarities, is unintelligible to the rest of the world.",MUTATED,9
Demonstrative mutation,,`` The Nine Tailors `` by Dorothy L. Sayers,MUTATED,1
Demonstrative mutation,,"In Aslacton, that town in England --",MUTATED,1
Demonstrative mutation,,"An ancient stone church stands amid the fields, the sound of bells cascading from the tower of this rural England icon, calling the faithful to evensong, making it one of the loveliest scenes.",MUTATED,14
Demonstrative mutation,,"The parishioners of St. Michael and All Angels stop to chat at the church's door, as they always have.",MUTATED,6
Demonstrative mutation,,"In the tower, they pull rhythmically on ropes attached to the bells that were first sounded here in 1614.",MUTATED,9
Demonstrative mutation,,"But there is also a discordant, modern note in this village, though it can not be heard by those church-goers enjoying the peal of bells this cool autumn evening.",MUTATED,10
Demonstrative mutation,,"Like most of the other 6,000 churches in Britain with sets of bells, St. Michael's once had their own 'band' of ringers, who would herald every Sunday morning and evening service.",MUTATED,14
Demonstrative mutation,,"Now, only one local ringer remains: him, 64-year-old Derek Hammond.",MUTATED,5
Demonstrative mutation,,Those here today live elsewhere.,MUTATED,4
Demonstrative mutation,,"A group of 15 ringers, including two octogenarians and four in training, drives every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia.",MUTATED,14
Demonstrative mutation,,"To ring for even one service at the bell tower, one has to scrape, says Mr. Hammond, a retired worker from the water authority.",MUTATED,7
Demonstrative mutation,,"We've tried to train these youngsters, but these discos and dances have them, and they just drift away.",MUTATED,8
Demonstrative mutation,,"Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the group from East Anglia, which keeps the Aslacton bells pealing.",MUTATED,7
Demonstrative mutation,,"After all, his side is not favored by History.",MUTATED,2
Demonstrative mutation,,"A nationwide survey from a year ago revealed that nearly a third of the church bells in England, including those in this region, are no longer rung on Sundays due to a lack of people to ring them.",MUTATED,12
Demonstrative mutation,,It is easy to see why this ancient art is on the ropes.,MUTATED,4
Demonstrative mutation,,"The English consider the less complicated version of playing tunes on bells, as done by the carillons of continental Europe, to be childish, fit only for them.",MUTATED,14
Demonstrative mutation,,"A mind-boggling exercise that the English invented 380 years ago, change-ringing requires physical dexterity -- some bells weigh more than a ton -- along with intense mental concentration.",MUTATED,16
Demonstrative mutation,,"In larger churches, they start the proper English bells in 'rounds,' beginning with the highest-pitched bell and descending to the lowest, creating a simple scale using as many as 12 bells.",MUTATED,11
Demonstrative mutation,,"Then, at that signal, they begin varying the order in which these bells sound without altering the steady rhythm of their striking.",MUTATED,11
Demonstrative mutation,,The rules state that each change or variation can occur only once.,MUTATED,6
Demonstrative mutation,,"Ringers memorize patterns of changes, which are known as methods with odd-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,7
Demonstrative mutation,,"A `` peal `` consists of about 5,000 changes and takes them about three hours to complete.",MUTATED,3
Demonstrative mutation,,"A look at the Thursday night practice at St. Mary Abbot, located in London's Kensington district, gives an idea of the work they involve.",MUTATED,9
Demonstrative mutation,,"Ten shirt-sleeved ringers stand in this circle, one foot ahead of the other in a prize-fighter's stance, each pulling the rope that disappears through that small hole in the high ceiling of the ringing chamber.",MUTATED,14
,,,DUMP,
Demonstrative mutation,,"Totally absorbed, the ringers stare straight ahead, using what they call 'rope-sight' to monitor these other ropes and thus synchronize their pulls.",MUTATED,11
Demonstrative mutation,,"Far above in the belfry, these huge bronze bells, mounted on wheels, swing madly through a full 360 degrees, starting and ending, surprisingly, in the inverted, or mouth-up position.",MUTATED,15
Demonstrative mutation,,"Skilled ringers use their wrists to advance or retard the next swing, so that it can swap places with another bell in the following change.",MUTATED,11
Demonstrative mutation,,"Dorothy L. Sayers, the English novelist, described a passion in her well-known detective story involving church bells as one that finds its satisfaction in mathematical completeness and mechanical perfection.",MUTATED,14
Demonstrative mutation,,"Ringers, she added, are those filled with the solemn intoxication that this intricate ritual faultlessly performed brings.",MUTATED,6
Demonstrative mutation,,"Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers, admits that ringing does become a bit of an obsession.",MUTATED,10
Demonstrative mutation,,"That passion usually stays in the tower, however.",MUTATED,5
Demonstrative mutation,,"More often than not, the ringers consider the belfry as if the church were an object lodged at its base.",MUTATED,5
Demonstrative mutation,,"When the ringers' changes are completed, and after they have worked up a sweat, they often skip off to the local pub, leaving the worship for others below.",MUTATED,10
Demonstrative mutation,,Some clerics do not find this sitting well.,MUTATED,2
Demonstrative mutation,,"With the Church of England's membership steadily dwindling, these strong-willed vicars are pressing them, often non-religious ringers, to attend services.",MUTATED,10
Demonstrative mutation,,"Two years ago, Rev. Jeremy Hummerstone, the vicar of Great Torrington, Devon, got so fed up with those ringers who did not attend the service that he sacked them; they promptly set up a picket line in protest.",MUTATED,11
Demonstrative mutation,,The Vicar Hummerstone says they were a self-perpetuating club that treated that tower as sort of a separate premises.,MUTATED,7
Demonstrative mutation,,"An entirely new band, which includes several members of the congregation, will perform today at Great Torrington.",MUTATED,5
Demonstrative mutation,,But there still are not enough ringers to ring more than six of those eight bells.,MUTATED,6
Demonstrative mutation,,"Following a dust-up over St. Mary's Church attendance in Ilminster, Somerset, the church's bells have fallen silent.",MUTATED,7
,,,DUMP,
Demonstrative mutation,,"But the vicar of a nearby church, C.J.B. Marshall, feels that the fault is in the stairs located next to the altar, which are from the bell tower.",MUTATED,9
Demonstrative mutation,,"So crunch, crunch, crunch, bang, bang, bang -- here come those from above, making a very obvious exit while they are at prayer, he says.",MUTATED,10
Demonstrative mutation,,"Vicar Marshall admits to mixed feelings about the issue, since Marshall is both a vicar and an active bell-ringer himself.",MUTATED,6
Demonstrative mutation,,"The sound of these bells is a net to draw them into the church, he says.",MUTATED,5
Demonstrative mutation,,I live in hopes that those ringers will be drawn into a fuller life themselves.,MUTATED,6
Demonstrative mutation,,"John C. Baldwin, the president, says that a sort of parliament of ringing groups, such as the Central Council of Church Bell Ringers, aims to improve relations with vicars.",MUTATED,8
Demonstrative mutation,,"The vicar hopes to speak to students at theological colleges about the joys of bell ringing and will shortly publish a booklet for every vicar in the country entitled, 'The Bells in Their Care.'",MUTATED,14
Demonstrative mutation,,"Mr. Baldwin says, `` They recognize that the church may no longer be as high a priority in their life and experience.``",MUTATED,9
Demonstrative mutation,,The greater problem Mr. Baldwin is also attacking is the lack of ringers.,MUTATED,7
Demonstrative mutation,,"One survey says that of the 100,000 trained bellringers in England today, only 40,000 still remain active.",MUTATED,7
Demonstrative mutation,,"Also, the bells in small, rural parishes and inner-city churches do not always have ringers living where they need to be rung.",MUTATED,10
Demonstrative mutation,,"But the program initiated by the council to attract and train ringers is only partly successful, Mr. Baldwin says.",MUTATED,10
Demonstrative mutation,,"Right now, if we're lucky, we can keep that one new ringer out of 10 after five years, he adds.",MUTATED,8
Demonstrative mutation,,A bright sign is the fact that a growing number of them have entered the once male-dominated field; more than a third of the ringers today are these women.,MUTATED,11
Demonstrative mutation,,"It is not accepted everywhere, however.",MUTATED,3
Demonstrative mutation,,"The Ancient Society of College Youths, the oldest bell-ringing group in the country, founded in 1637, remains male-only, a fact that is especially frustrating to women since they are the only providers of ringers for the most prestigious churches in Britain, including St. Paul's Cathedral and Westminster Abbey.",MUTATED,11
Demonstrative mutation,,"Britain has not seen a woman file an equal-opportunity suit, yet the magnitude of the problem became apparent this summer through a series of letters in The Ringing World, a weekly publication for them.",MUTATED,10
Demonstrative mutation,,"The writer, signing the letter as 'Red-blooded, balanced male,' remarked on the 'frequency of women fainting in peals,' and suggested that women 'settle back into their traditional role of making tea at meetings.'",MUTATED,15
Demonstrative mutation,,"In the torrent of replies that followed, the woman from Solihull observed that the average male ringer leaves quite a lot to be desired: he is badly dressed, decorated with acne and a large beer-belly, frequently unwashed, and unbearably flatulent in peals.",MUTATED,19
Demonstrative mutation,,"Sheffield's other woman wrote to say that in her 60 years of ringing, she had never known a lady to faint in the belfry.",MUTATED,9
Demonstrative mutation,,"I have seen one or two of them die, bless them.",MUTATED,3
Demonstrative mutation,,"If these genes are damaged, they unleash the chaotic growth of cells that characterizes cancer, a discovery medical scientists are starting to make.",MUTATED,11
Demonstrative mutation,,The discovery of these genes by scientists in recent months is painting a new and startling picture of cancer's development.,MUTATED,9
Demonstrative mutation,,An emerging understanding of these genes is expected to produce an array of new strategies for future cancer treatment and prevention.,MUTATED,12
Demonstrative mutation,,The future is for that.,MUTATED,1
Demonstrative mutation,,"Already, scientists are developing tests based on these newly identified genes that, for the first time, can predict whether someone who is otherwise healthy is likely to get cancer.",MUTATED,16
Demonstrative mutation,,"A super-exciting set of discoveries, says Bert Vogelstein, the Johns Hopkins University researcher who has just found a gene pivotal to the triggering of colon cancer.",MUTATED,11
Demonstrative mutation,,"Only a decade ago, the disease known as cancer was a black box; at the molecular level, we knew nothing about it.",MUTATED,8
Demonstrative mutation,,"Today, we know that the accumulation of several of those altered genes can initiate cancer and, then, propel it into a deadly state.",MUTATED,11
Demonstrative mutation,,"Scientists refer to the class of genes known as tumor-suppressors, or they simply label them as anti-cancer genes.",MUTATED,5
Demonstrative mutation,,"When functioning normally, proteins made by them hold a cell's growth in check.",MUTATED,7
