,instance.id,instance.word,sentence.id
2,senseval2.d000.s000.t002,peculiar,senseval2.d000.s000
4,senseval2.d000.s000.t004,most,senseval2.d000.s000
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
13,senseval2.d000.s003.t004,loveliest,senseval2.d000.s003
54,senseval2.d000.s007.t000,most,senseval2.d000.s007
67,senseval2.d000.s007.t014,service,senseval2.d000.s007
69,senseval2.d000.s008.t001,only,senseval2.d000.s008
107,senseval2.d000.s014.t000,History,senseval2.d000.s014
111,senseval2.d000.s015.t002,taken,senseval2.d000.s015
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
163,senseval2.d000.s019.t007,simple,senseval2.d000.s019
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
252,senseval2.d000.s028.t009,madly,senseval2.d000.s028
257,senseval2.d000.s028.t014,surprisingly,senseval2.d000.s028
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
292,senseval2.d000.s031.t008,performed,senseval2.d000.s031
298,senseval2.d000.s032.t005,band,senseval2.d000.s032
339,senseval2.d000.s038.t010,band,senseval2.d000.s038
353,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
370,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
391,senseval2.d000.s049.t005,relations,senseval2.d000.s049
399,senseval2.d000.s051.t004,longer,senseval2.d000.s051
403,senseval2.d000.s051.t008,life,senseval2.d000.s051
404,senseval2.d000.s051.t009,experience,senseval2.d000.s051
408,senseval2.d000.s052.t003,greater,senseval2.d000.s052
411,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
418,senseval2.d000.s054.t006,rung,senseval2.d000.s054
482,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
487,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
560,senseval2.d001.s005.t004,just,senseval2.d001.s005
591,senseval2.d001.s008.t005,simply,senseval2.d001.s008
608,senseval2.d001.s010.t010,longer,senseval2.d001.s010
631,senseval2.d001.s012.t012,cause,senseval2.d001.s012
664,senseval2.d001.s016.t002,defective,senseval2.d001.s016
667,senseval2.d001.s016.t007,early,senseval2.d001.s016
690,senseval2.d001.s018.t001,beneficiaries,senseval2.d001.s018
727,senseval2.d001.s022.t005,little,senseval2.d001.s022
803,senseval2.d001.s031.t009,present,senseval2.d001.s031
829,senseval2.d001.s033.t008,racing,senseval2.d001.s033
873,senseval2.d001.s037.t011,defects,senseval2.d001.s037
918,senseval2.d001.s043.t008,No.,senseval2.d001.s043
969,senseval2.d001.s050.t000,finding,senseval2.d001.s050
974,senseval2.d001.s051.t003,loss,senseval2.d001.s051
984,senseval2.d001.s054.t000,audacious,senseval2.d001.s054
1008,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1035,senseval2.d001.s061.t002,variety,senseval2.d001.s061
1059,senseval2.d001.s064.t005,polyps,senseval2.d001.s064
1089,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1142,senseval2.d001.s077.t007,formation,senseval2.d001.s077
1155,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1174,senseval2.d001.s080.t013,form,senseval2.d001.s080
1262,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1338,senseval2.d002.s007.t000,mean,senseval2.d002.s007
1375,senseval2.d002.s013.t001,same,senseval2.d002.s013
1387,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1404,senseval2.d002.s019.t004,development,senseval2.d002.s019
1408,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1421,senseval2.d002.s021.t000,took,senseval2.d002.s021
1430,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1439,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1440,senseval2.d002.s025.t000,best,senseval2.d002.s025
1448,senseval2.d002.s026.t001,well,senseval2.d002.s026
1460,senseval2.d002.s030.t000,brilliant,senseval2.d002.s030
1465,senseval2.d002.s031.t003,well,senseval2.d002.s031
1467,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1506,senseval2.d002.s037.t006,differentials,senseval2.d002.s037
1606,senseval2.d002.s054.t002,option,senseval2.d002.s054
1612,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1620,senseval2.d002.s057.t013,politicians,senseval2.d002.s057
1639,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1654,senseval2.d002.s063.t007,sharply,senseval2.d002.s063
1662,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1682,senseval2.d002.s067.t017,world,senseval2.d002.s067
1684,senseval2.d002.s068.t000,notion,senseval2.d002.s068
1743,senseval2.d002.s075.t015,recent,senseval2.d002.s075
1759,senseval2.d002.s077.t005,best,senseval2.d002.s077
1767,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1774,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1820,senseval3.d000.s009.t001,got,senseval3.d000.s009
1827,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1838,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1862,senseval3.d000.s018.t003,plot,senseval3.d000.s018
1863,senseval3.d000.s018.t004,ruin,senseval3.d000.s018
1873,senseval3.d000.s020.t002,swearing,senseval3.d000.s020
1877,senseval3.d000.s021.t000,given,senseval3.d000.s021
1912,senseval3.d000.s033.t000,think,senseval3.d000.s033
1920,senseval3.d000.s037.t000,meant,senseval3.d000.s037
1951,senseval3.d000.s053.t002,contented,senseval3.d000.s053
1953,senseval3.d000.s055.t001,address,senseval3.d000.s055
1963,senseval3.d000.s058.t002,look,senseval3.d000.s058
2008,senseval3.d000.s069.t003,reminded,senseval3.d000.s069
2060,senseval3.d000.s084.t004,slowness,senseval3.d000.s084
2086,senseval3.d000.s093.t001,mean,senseval3.d000.s093
2151,senseval3.d000.s108.t003,made,senseval3.d000.s108
2165,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2166,senseval3.d000.s111.t000,saddled,senseval3.d000.s111
2171,senseval3.d000.s113.t004,asked,senseval3.d000.s113
2191,senseval3.d000.s118.t003,upset,senseval3.d000.s118
2193,senseval3.d000.s118.t005,appreciation,senseval3.d000.s118
2195,senseval3.d000.s119.t001,uncomfortable,senseval3.d000.s119
2212,senseval3.d000.s121.t000,paused,senseval3.d000.s121
2224,senseval3.d000.s125.t001,love,senseval3.d000.s125
2230,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2242,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2244,senseval3.d000.s138.t003,circles,senseval3.d000.s138
