,instance.id,instance.word,sentence.id
2,senseval2.d000.s000.t002,peculiar,senseval2.d000.s000
4,senseval2.d000.s000.t004,most,senseval2.d000.s000
13,senseval2.d000.s003.t004,loveliest,senseval2.d000.s003
25,senseval2.d000.s004.t001,stop,senseval2.d000.s004
54,senseval2.d000.s007.t000,most,senseval2.d000.s007
69,senseval2.d000.s008.t001,only,senseval2.d000.s008
71,senseval2.d000.s008.t003,ringer,senseval2.d000.s008
98,senseval2.d000.s012.t006,drift,senseval2.d000.s012
104,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
163,senseval2.d000.s019.t007,simple,senseval2.d000.s019
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
196,senseval2.d000.s023.t001,so,senseval2.d000.s023
227,senseval2.d000.s026.t004,make,senseval2.d000.s026
231,senseval2.d000.s026.t008,muffled,senseval2.d000.s026
234,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
240,senseval2.d000.s027.t009,watch,senseval2.d000.s027
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
279,senseval2.d000.s030.t008,passion,senseval2.d000.s030
289,senseval2.d000.s031.t004,comes,senseval2.d000.s031
303,senseval2.d000.s033.t000,passion,senseval2.d000.s033
348,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
353,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
357,senseval2.d000.s045.t000,So,senseval2.d000.s045
370,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
382,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
391,senseval2.d000.s049.t005,relations,senseval2.d000.s049
399,senseval2.d000.s051.t004,longer,senseval2.d000.s051
400,senseval2.d000.s051.t005,high,senseval2.d000.s051
404,senseval2.d000.s051.t009,experience,senseval2.d000.s051
408,senseval2.d000.s052.t003,greater,senseval2.d000.s052
417,senseval2.d000.s054.t005,need,senseval2.d000.s054
418,senseval2.d000.s054.t006,rung,senseval2.d000.s054
437,senseval2.d000.s056.t004,keep,senseval2.d000.s056
483,senseval2.d000.s061.t000,writer,senseval2.d000.s061
487,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
489,senseval2.d000.s061.t006,remarked,senseval2.d000.s061
490,senseval2.d000.s061.t007,frequency,senseval2.d000.s061
510,senseval2.d000.s064.t000,seen,senseval2.d000.s064
554,senseval2.d001.s004.t015,get,senseval2.d001.s004
608,senseval2.d001.s010.t010,longer,senseval2.d001.s010
631,senseval2.d001.s012.t012,cause,senseval2.d001.s012
650,senseval2.d001.s014.t002,inherited,senseval2.d001.s014
667,senseval2.d001.s016.t007,early,senseval2.d001.s016
671,senseval2.d001.s016.t011,need,senseval2.d001.s016
675,senseval2.d001.s016.t017,develop,senseval2.d001.s016
679,senseval2.d001.s017.t004,spot,senseval2.d001.s017
701,senseval2.d001.s019.t008,risk,senseval2.d001.s019
727,senseval2.d001.s022.t005,little,senseval2.d001.s022
728,senseval2.d001.s022.t006,inherited,senseval2.d001.s022
733,senseval2.d001.s022.t013,risk,senseval2.d001.s022
739,senseval2.d001.s023.t000,made,senseval2.d001.s023
758,senseval2.d001.s025.t009,made,senseval2.d001.s025
762,senseval2.d001.s025.t013,field,senseval2.d001.s025
775,senseval2.d001.s026.t008,insights,senseval2.d001.s026
788,senseval2.d001.s027.t009,results,senseval2.d001.s027
803,senseval2.d001.s031.t009,present,senseval2.d001.s031
829,senseval2.d001.s033.t008,racing,senseval2.d001.s033
918,senseval2.d001.s043.t008,No.,senseval2.d001.s043
952,senseval2.d001.s048.t008,material,senseval2.d001.s048
967,senseval2.d001.s049.t011,area,senseval2.d001.s049
969,senseval2.d001.s050.t000,finding,senseval2.d001.s050
970,senseval2.d001.s050.t001,medicine,senseval2.d001.s050
1008,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1084,senseval2.d001.s068.t000,yet,senseval2.d001.s068
1089,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1094,senseval2.d001.s070.t000,months,senseval2.d001.s070
1106,senseval2.d001.s070.t012,material,senseval2.d001.s070
1128,senseval2.d001.s076.t004,human,senseval2.d001.s076
1137,senseval2.d001.s077.t001,suddenly,senseval2.d001.s077
1149,senseval2.d001.s078.t004,involved,senseval2.d001.s078
1211,senseval2.d001.s085.t000,hopes,senseval2.d001.s085
1262,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1284,senseval2.d001.s092.t001,administer,senseval2.d001.s092
1336,senseval2.d002.s006.t008,children,senseval2.d002.s006
1338,senseval2.d002.s007.t000,mean,senseval2.d002.s007
1342,senseval2.d002.s008.t001,say,senseval2.d002.s008
1354,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1355,senseval2.d002.s010.t008,only,senseval2.d002.s010
1371,senseval2.d002.s011.t018,potentialities,senseval2.d002.s011
1387,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1397,senseval2.d002.s016.t000,education,senseval2.d002.s016
1408,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1439,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1440,senseval2.d002.s025.t000,best,senseval2.d002.s025
1448,senseval2.d002.s026.t001,well,senseval2.d002.s026
1465,senseval2.d002.s031.t003,well,senseval2.d002.s031
1466,senseval2.d002.s033.t000,problem,senseval2.d002.s033
1467,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1468,senseval2.d002.s033.t002,educational,senseval2.d002.s033
1495,senseval2.d002.s036.t007,strike,senseval2.d002.s036
1504,senseval2.d002.s037.t003,things,senseval2.d002.s037
1512,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1568,senseval2.d002.s048.t003,educational,senseval2.d002.s048
1607,senseval2.d002.s054.t003,switching,senseval2.d002.s054
1608,senseval2.d002.s056.t000,Here,senseval2.d002.s056
1609,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1612,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1639,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1649,senseval2.d002.s063.t002,fact,senseval2.d002.s063
1653,senseval2.d002.s063.t006,increased,senseval2.d002.s063
1662,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1695,senseval2.d002.s069.t007,full,senseval2.d002.s069
1725,senseval2.d002.s074.t012,influence,senseval2.d002.s074
1759,senseval2.d002.s077.t005,best,senseval2.d002.s077
1763,senseval2.d002.s077.t009,governed,senseval2.d002.s077
