mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Inversion mutation,,"Peculiar to the English is the art of change-ringing, and, like most of their peculiarities, it remains unintelligible to the rest of the world.",MUTATED,9
Inversion mutation,,`` The Nine Tailors `` by Dorothy L. Sayers,MUTATED,1
Inversion mutation,,England -- ASLACTON,MUTATED,1
Inversion mutation,,"Amid the fields stands one of the loveliest scenes that evoke rural England: an ancient stone church, its tower cascading the sound of bells, calling the faithful to evensong.",MUTATED,15
Inversion mutation,,"At the church door, the parishioners of St. Michael and All Angels always stop to chat, as is the habit of the members here.",MUTATED,8
Inversion mutation,,"In the tower, the same five bells that first sounded here in 1614 are pulled on rhythmically by five men and women with ropes attached.",MUTATED,12
Inversion mutation,,"A discordant, modern note there is also in Aslacton, though it cannot be heard by the church-goers as they enjoy the peal of bells on this cool autumn evening.",MUTATED,10
Inversion mutation,,"St. Michael, like most of the other 6,000 churches in Britain, once had its own `` band `` of ringers who heralded every Sunday morning and evening service with their sets of bells.",MUTATED,14
Inversion mutation,,"Now, only 64-year-old Derek Hammond remains, the one local ringer.",MUTATED,5
Inversion mutation,,"Elsewhere is where the others live, who are here today.",MUTATED,4
Inversion mutation,,"A group of 15 ringers, including two octogenarians and four in training youngsters, drives every Sunday from church to church in a sometimes-exhausting effort to keep the bells of many belfries in East Anglia sounding.",MUTATED,15
Inversion mutation,,"Even to ring for one service at this tower, scraping is necessary, says Mr. Hammond, a retired water-authority worker.",MUTATED,6
Inversion mutation,,"The youngsters, despite our efforts to train them, have their discos and dances and just drift away.",MUTATED,7
Inversion mutation,,"Mr. Hammond fears that the East Anglian group, which keeps the Aslacton bells pealing, will see its ranks diminished by old age and the flightiness of youth.",MUTATED,6
Inversion mutation,,"After all, history is not on his side.",MUTATED,2
,,,DUMP,
Inversion mutation,,Why the ancient art is on the ropes is easy to see.,MUTATED,4
Inversion mutation,,"Considered by the English to be childish and fit only for foreigners, the less complicated version of playing tunes on bells is, as do the carillons of continental Europe, not favored.",MUTATED,15
Inversion mutation,,"An exercise the English invented 380 years ago, mind-boggling change-ringing, requires intense mental concentration combined with physical dexterity -- some bells weigh more than a ton.",MUTATED,17
Inversion mutation,,"In `` rounds, `` the highest-pitched bell to the lowest starts off proper English bells -- a simple descending scale using, in larger churches, as many as 12 bells.",MUTATED,12
Inversion Mutation,,"At a signal, the order in which the bells sound begins to be varied by the ringers, yet the steady rhythm of the striking remains unaltered.",MUTATED,9
Inversion mutation,,"The rules state that each variation, or change, can occur only once.",MUTATED,6
Inversion mutation,,"Patterns of changes, known as `` methods, `` are memorized by Ringers, which include those with odd-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,7
