,instance.id,instance.word,sentence.id
52,senseval2.d000.s006.t008,cool,senseval2.d000.s006
59,senseval2.d000.s007.t004,sets,senseval2.d000.s007
68,senseval2.d000.s007.t014,service,senseval2.d000.s007
152,senseval2.d000.s020.t011,striking,senseval2.d000.s020
263,senseval2.d000.s031.t008,performed,senseval2.d000.s031
269,senseval2.d000.s032.t005,band,senseval2.d000.s032
271,senseval2.d000.s032.t007,best,senseval2.d000.s032
297,senseval2.d000.s039.t005,premises,senseval2.d000.s039
320,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
321,senseval2.d000.s044.t007,located,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
358,senseval2.d000.s049.t005,relations,senseval2.d000.s049
366,senseval2.d000.s051.t004,longer,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
378,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
384,senseval2.d000.s053.t006,only,senseval2.d000.s053
435,senseval2.d000.s059.t007,galling,senseval2.d000.s059
450,senseval2.d000.s060.t007,surfaced,senseval2.d000.s060
456,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
482,senseval2.d000.s062.t007,male,senseval2.d000.s062
487,senseval2.d000.s062.t013,badly,senseval2.d000.s062
525,senseval2.d001.s001.t006,painting,senseval2.d001.s001
612,senseval2.d001.s010.t010,longer,senseval2.d001.s010
679,senseval2.d001.s016.t017,develop,senseval2.d001.s016
725,senseval2.d001.s022.t005,little,senseval2.d001.s022
823,senseval2.d001.s033.t008,racing,senseval2.d001.s033
887,senseval2.d001.s040.t002,theory,senseval2.d001.s040
912,senseval2.d001.s043.t008,No.,senseval2.d001.s043
918,senseval2.d001.s044.t003,bit,senseval2.d001.s044
958,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
988,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1032,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1106,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1113,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1131,senseval2.d001.s075.t002,caused,senseval2.d001.s075
1169,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1234,senseval2.d001.s087.t006,copies,senseval2.d001.s087
1309,senseval2.d002.s000.t004,reckon,senseval2.d002.s000
1348,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1374,senseval2.d002.s013.t001,same,senseval2.d002.s013
1378,senseval2.d002.s013.t005,get,senseval2.d002.s013
1379,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1394,senseval2.d002.s016.t002,fight,senseval2.d002.s016
1402,senseval2.d002.s019.t004,development,senseval2.d002.s019
1406,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1440,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1501,senseval2.d002.s037.t006,differentials,senseval2.d002.s037
1533,senseval2.d002.s043.t000,respect,senseval2.d002.s043
1613,senseval2.d002.s055.t002,even,senseval2.d002.s055
1614,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1620,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1628,senseval2.d002.s057.t013,politicians,senseval2.d002.s057
1639,senseval2.d002.s059.t000,most,senseval2.d002.s059
1647,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1683,senseval2.d002.s067.t000,means,senseval2.d002.s067
1698,senseval2.d002.s067.t018,work,senseval2.d002.s067
1779,senseval2.d002.s077.t005,best,senseval2.d002.s077
1787,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1794,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1796,senseval2.d002.s079.t007,superior,senseval2.d002.s079
1840,senseval3.d000.s009.t001,got,senseval3.d000.s009
1847,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1852,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1862,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1865,senseval3.d000.s015.t003,hit,senseval3.d000.s015
1877,senseval3.d000.s018.t004,ruin,senseval3.d000.s018
1881,senseval3.d000.s019.t003,looked,senseval3.d000.s019
1889,senseval3.d000.s022.t001,wondered,senseval3.d000.s022
1934,senseval3.d000.s031.t000,got,senseval3.d000.s031
1946,senseval3.d000.s033.t000,think,senseval3.d000.s033
1947,senseval3.d000.s035.t000,faint,senseval3.d000.s035
1960,senseval3.d000.s040.t000,returning,senseval3.d000.s040
1961,senseval3.d000.s040.t001,favors,senseval3.d000.s040
1964,senseval3.d000.s041.t002,like,senseval3.d000.s041
1985,senseval3.d000.s052.t003,nodded,senseval3.d000.s052
2018,senseval3.d000.s067.t002,time,senseval3.d000.s067
2059,senseval3.d000.s077.t000,lobby,senseval3.d000.s077
2061,senseval3.d000.s077.t002,standing,senseval3.d000.s077
2099,senseval3.d000.s084.t004,slowness,senseval3.d000.s084
2182,senseval3.d000.s108.t003,made,senseval3.d000.s108
2196,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2198,senseval3.d000.s111.t001,creep,senseval3.d000.s111
2230,senseval3.d000.s118.t005,appreciation,senseval3.d000.s118
2249,senseval3.d000.s121.t000,paused,senseval3.d000.s121
2263,senseval3.d000.s126.t002,have,senseval3.d000.s126
2265,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2283,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2285,senseval3.d000.s138.t003,circles,senseval3.d000.s138
2290,senseval3.d000.s140.t000,retired,senseval3.d000.s140
2307,senseval3.d000.s146.t002,thing,senseval3.d000.s146
2329,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2342,senseval3.d001.s000.t008,reminder,senseval3.d001.s000
2346,senseval3.d001.s000.t012,rise,senseval3.d001.s000
2391,senseval3.d001.s009.t005,agents,senseval3.d001.s009
2404,senseval3.d001.s009.t023,intervention,senseval3.d001.s009
2407,senseval3.d001.s009.t027,pursuit,senseval3.d001.s009
2425,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2462,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2465,senseval3.d001.s014.t004,making,senseval3.d001.s014
2484,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2486,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2495,senseval3.d001.s020.t002,hold,senseval3.d001.s020
2507,senseval3.d001.s020.t015,wins,senseval3.d001.s020
2592,senseval3.d001.s029.t001,Democratic,senseval3.d001.s029
2594,senseval3.d001.s029.t003,held,senseval3.d001.s029
2608,senseval3.d001.s029.t017,incentive,senseval3.d001.s029
2623,senseval3.d001.s031.t008,pattern,senseval3.d001.s031
2684,senseval3.d001.s036.t017,making,senseval3.d001.s036
2700,senseval3.d001.s039.t004,proportion,senseval3.d001.s039
2718,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2733,senseval3.d001.s041.t003,Holding,senseval3.d001.s041
2743,senseval3.d001.s041.t014,Republican,senseval3.d001.s041
2754,senseval3.d001.s041.t029,progressive,senseval3.d001.s041
2820,senseval3.d002.s001.t001,screen,senseval3.d002.s001
2834,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
2836,senseval3.d002.s005.t003,came,senseval3.d002.s005
2846,senseval3.d002.s011.t000,avenues,senseval3.d002.s011
2850,senseval3.d002.s011.t004,building,senseval3.d002.s011
2853,senseval3.d002.s011.t008,OK,senseval3.d002.s011
2854,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
2856,senseval3.d002.s012.t002,frames,senseval3.d002.s012
2863,senseval3.d002.s016.t000,felt,senseval3.d002.s016
2876,senseval3.d002.s018.t000,time,senseval3.d002.s018
2878,senseval3.d002.s018.t002,building,senseval3.d002.s018
2907,senseval3.d002.s027.t001,fine,senseval3.d002.s027
2908,senseval3.d002.s028.t000,building,senseval3.d002.s028
2926,senseval3.d002.s040.t002,stopped,senseval3.d002.s040
2928,senseval3.d002.s040.t005,border,senseval3.d002.s040
2944,senseval3.d002.s051.t001,parts,senseval3.d002.s051
2945,senseval3.d002.s051.t002,building,senseval3.d002.s051
2951,senseval3.d002.s053.t002,home,senseval3.d002.s053
2981,senseval3.d002.s066.t000,Building,senseval3.d002.s066
2989,senseval3.d002.s068.t000,typed,senseval3.d002.s068
2990,senseval3.d002.s068.t002,position,senseval3.d002.s068
2992,senseval3.d002.s072.t001,thing,senseval3.d002.s072
3017,senseval3.d002.s084.t001,rolled,senseval3.d002.s084
3037,senseval3.d002.s087.t006,memory,senseval3.d002.s087
3039,senseval3.d002.s088.t001,calm,senseval3.d002.s088
3076,senseval3.d002.s097.t006,sounds,senseval3.d002.s097
3107,senseval3.d002.s101.t002,stood,senseval3.d002.s101
3116,senseval3.d002.s102.t001,frightened,senseval3.d002.s102
3132,senseval3.d002.s109.t006,building,senseval3.d002.s109
3144,senseval3.d002.s115.t000,escaped,senseval3.d002.s115
3149,senseval3.d002.s116.t003,get,senseval3.d002.s116
3156,senseval3.d002.s119.t003,rolling,senseval3.d002.s119
3168,senseval3.d002.s121.t000,fine,senseval3.d002.s121
3214,senseval3.d002.s140.t003,bundled,senseval3.d002.s140
3230,semeval2007.d000.s002.t000,made,semeval2007.d000.s002
3296,semeval2007.d000.s029.t000,force,semeval2007.d000.s029
3325,semeval2007.d001.s003.t004,reading,semeval2007.d001.s003
3384,semeval2007.d001.s022.t001,ingenuity,semeval2007.d001.s022
3395,semeval2007.d001.s027.t001,get,semeval2007.d001.s027
3428,semeval2007.d001.s036.t004,regulating,semeval2007.d001.s036
3434,semeval2007.d001.s036.t011,brokering,semeval2007.d001.s036
3452,semeval2007.d002.s002.t004,bit,semeval2007.d002.s002
3510,semeval2007.d002.s027.t005,standing,semeval2007.d002.s027
3546,semeval2007.d002.s038.t001,average,semeval2007.d002.s038
3569,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3583,semeval2007.d002.s050.t013,rolling,semeval2007.d002.s050
3603,semeval2007.d002.s057.t002,rearing,semeval2007.d002.s057
3614,semeval2013.d000.s001.t006,release,semeval2013.d000.s001
3699,semeval2013.d000.s016.t001,world,semeval2013.d000.s016
3719,semeval2013.d000.s020.t001,impact,semeval2013.d000.s020
3745,semeval2013.d000.s023.t005,deal,semeval2013.d000.s023
3753,semeval2013.d000.s025.t000,gathering,semeval2013.d000.s025
3755,semeval2013.d000.s025.t002,day,semeval2013.d000.s025
3785,semeval2013.d001.s003.t001,sidelines,semeval2013.d001.s003
3789,semeval2013.d001.s004.t001,favor,semeval2013.d001.s004
3791,semeval2013.d001.s004.t003,start,semeval2013.d001.s004
3794,semeval2013.d001.s007.t002,game,semeval2013.d001.s007
3800,semeval2013.d001.s007.t008,lead,semeval2013.d001.s007
3802,semeval2013.d001.s008.t001,points,semeval2013.d001.s008
3812,semeval2013.d001.s012.t005,lead,semeval2013.d001.s012
3828,semeval2013.d002.s001.t001,heading,semeval2013.d002.s001
3856,semeval2013.d002.s007.t001,sales,semeval2013.d002.s007
3887,semeval2013.d003.s002.t000,deals,semeval2013.d003.s002
3932,semeval2013.d003.s010.t009,world,semeval2013.d003.s010
3955,semeval2013.d003.s015.t000,bid,semeval2013.d003.s015
3998,semeval2013.d004.s004.t002,acceptance,semeval2013.d004.s004
4003,semeval2013.d004.s004.t007,charges,semeval2013.d004.s004
4009,semeval2013.d004.s006.t003,sale,semeval2013.d004.s006
4033,semeval2013.d005.s003.t002,messages,semeval2013.d005.s003
4053,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
4067,semeval2013.d005.s007.t005,rules,semeval2013.d005.s007
4079,semeval2013.d005.s011.t004,questions,semeval2013.d005.s011
4160,semeval2013.d005.s027.t002,claim,semeval2013.d005.s027
4175,semeval2013.d005.s030.t000,filing,semeval2013.d005.s030
4177,semeval2013.d005.s030.t003,conviction,semeval2013.d005.s030
4183,semeval2013.d006.s000.t000,Sport,semeval2013.d006.s000
4235,semeval2013.d006.s009.t003,principles,semeval2013.d006.s009
4266,semeval2013.d006.s017.t002,club,semeval2013.d006.s017
4289,semeval2013.d006.s019.t013,suspension,semeval2013.d006.s019
4303,semeval2013.d006.s024.t000,border,semeval2013.d006.s024
4313,semeval2013.d006.s025.t004,transmission,semeval2013.d006.s025
4336,semeval2013.d007.s004.t001,arsenic,semeval2013.d007.s004
4347,semeval2013.d007.s007.t002,Calif.,semeval2013.d007.s007
4388,semeval2013.d007.s019.t000,Arsenic,semeval2013.d007.s019
4403,semeval2013.d007.s023.t003,possibility,semeval2013.d007.s023
4409,semeval2013.d007.s024.t003,arsenic,semeval2013.d007.s024
4418,semeval2013.d008.s001.t000,Support,semeval2013.d008.s001
4421,semeval2013.d008.s002.t001,worry,semeval2013.d008.s002
4486,semeval2013.d008.s017.t000,addition,semeval2013.d008.s017
4629,semeval2013.d009.s018.t001,fundraiser,semeval2013.d009.s018
4640,semeval2013.d009.s020.t002,business,semeval2013.d009.s020
4678,semeval2013.d010.s008.t001,experience,semeval2013.d010.s008
4726,semeval2013.d011.s004.t002,Left,semeval2013.d011.s004
4727,semeval2013.d011.s004.t003,Right,semeval2013.d011.s004
4728,semeval2013.d011.s004.t004,subject,semeval2013.d011.s004
4737,semeval2013.d011.s007.t005,Left,semeval2013.d011.s007
4738,semeval2013.d011.s007.t006,Right,semeval2013.d011.s007
4994,semeval2015.d000.s009.t022,advanced,semeval2015.d000.s009
5026,semeval2015.d000.s015.t000,given,semeval2015.d000.s015
5041,semeval2015.d000.s017.t000,given,semeval2015.d000.s017
5044,semeval2015.d000.s017.t003,vomiting,semeval2015.d000.s017
5077,semeval2015.d000.s023.t003,form,semeval2015.d000.s023
5113,semeval2015.d000.s027.t011,advanced,semeval2015.d000.s027
5137,semeval2015.d000.s030.t001,shown,semeval2015.d000.s030
5146,semeval2015.d000.s032.t001,receiving,semeval2015.d000.s032
5166,semeval2015.d000.s035.t007,time,semeval2015.d000.s035
5176,semeval2015.d000.s036.t010,times,semeval2015.d000.s036
5202,semeval2015.d001.s009.t003,best,semeval2015.d001.s009
5207,semeval2015.d001.s009.t008,converted,semeval2015.d001.s009
5224,semeval2015.d001.s016.t002,bounded,semeval2015.d001.s016
5250,semeval2015.d001.s026.t002,working,semeval2015.d001.s026
5252,semeval2015.d001.s028.t001,operate,semeval2015.d001.s028
5319,semeval2015.d001.s050.t001,function,semeval2015.d001.s050
5325,semeval2015.d001.s051.t001,several,semeval2015.d001.s051
5365,semeval2015.d002.s002.t008,planning,semeval2015.d002.s002
5366,semeval2015.d002.s002.t009,involvement,semeval2015.d002.s002
5367,semeval2015.d002.s002.t011,provision,semeval2015.d002.s002
5377,semeval2015.d002.s003.t007,welfare,semeval2015.d002.s003
5383,semeval2015.d002.s004.t006,Affairs,semeval2015.d002.s004
5435,semeval2015.d002.s008.t008,Relations,semeval2015.d002.s008
5463,semeval2015.d002.s010.t003,further,semeval2015.d002.s010
5565,semeval2015.d003.s001.t012,medicine,semeval2015.d003.s001
5567,semeval2015.d003.s003.t001,active,semeval2015.d003.s003
5601,semeval2015.d003.s010.t001,given,semeval2015.d003.s010
5613,semeval2015.d003.s015.t001,shown,semeval2015.d003.s015
5617,semeval2015.d003.s016.t002,showed,semeval2015.d003.s016
5623,semeval2015.d003.s016.t010,received,semeval2015.d003.s016
5647,semeval2015.d003.s019.t007,measure,semeval2015.d003.s019
