,instance.id,instance.word,sentence.id
10,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
22,senseval2.d000.s003.t013,tower,senseval2.d000.s003
40,senseval2.d000.s005.t007,same,senseval2.d000.s005
68,senseval2.d000.s007.t014,service,senseval2.d000.s007
105,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
120,senseval2.d000.s015.t010,longer,senseval2.d000.s015
165,senseval2.d000.s020.t006,bells,senseval2.d000.s020
170,senseval2.d000.s020.t011,striking,senseval2.d000.s020
266,senseval2.d000.s031.t008,performed,senseval2.d000.s031
272,senseval2.d000.s032.t005,band,senseval2.d000.s032
290,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
319,senseval2.d000.s038.t008,sacked,senseval2.d000.s038
321,senseval2.d000.s038.t010,band,senseval2.d000.s038
329,senseval2.d000.s039.t005,premises,senseval2.d000.s039
345,senseval2.d000.s042.t003,following,senseval2.d000.s042
354,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
355,senseval2.d000.s044.t007,located,senseval2.d000.s044
371,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
378,senseval2.d000.s047.t002,draw,senseval2.d000.s047
383,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
392,senseval2.d000.s049.t005,relations,senseval2.d000.s049
399,senseval2.d000.s052.t003,greater,senseval2.d000.s052
402,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
459,senseval2.d000.s059.t007,galling,senseval2.d000.s059
480,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
493,senseval2.d000.s061.t012,back,senseval2.d000.s061
530,senseval2.d001.s001.t006,painting,senseval2.d001.s001
617,senseval2.d001.s010.t010,longer,senseval2.d001.s010
640,senseval2.d001.s012.t012,cause,senseval2.d001.s012
675,senseval2.d001.s016.t006,damaged,senseval2.d001.s016
728,senseval2.d001.s020.t011,same,senseval2.d001.s020
746,senseval2.d001.s022.t005,little,senseval2.d001.s022
766,senseval2.d001.s024.t006,develop,senseval2.d001.s024
791,senseval2.d001.s027.t005,basic,senseval2.d001.s027
822,senseval2.d001.s031.t006,same,senseval2.d001.s031
860,senseval2.d001.s035.t007,development,senseval2.d001.s035
894,senseval2.d001.s037.t011,defects,senseval2.d001.s037
939,senseval2.d001.s043.t008,No.,senseval2.d001.s043
985,senseval2.d001.s049.t006,defects,senseval2.d001.s049
992,senseval2.d001.s050.t000,finding,senseval2.d001.s050
1026,senseval2.d001.s056.t003,dual,senseval2.d001.s056
1035,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1053,senseval2.d001.s058.t011,stages,senseval2.d001.s058
1066,senseval2.d001.s059.t013,severe,senseval2.d001.s059
1077,senseval2.d001.s060.t007,probing,senseval2.d001.s060
1079,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1085,senseval2.d001.s061.t002,variety,senseval2.d001.s061
1103,senseval2.d001.s064.t004,deleted,senseval2.d001.s064
1124,senseval2.d001.s067.t005,critical,senseval2.d001.s067
1171,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1194,senseval2.d001.s075.t007,looking,senseval2.d001.s075
1227,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1229,senseval2.d001.s079.t004,copy,senseval2.d001.s079
1274,senseval2.d001.s083.t008,taken,senseval2.d001.s083
1329,senseval2.d001.s090.t004,unit,senseval2.d001.s090
1347,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1427,senseval2.d002.s011.t005,rebellion,senseval2.d002.s011
1444,senseval2.d002.s013.t001,same,senseval2.d002.s013
1449,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1456,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1463,senseval2.d002.s015.t007,prevail,senseval2.d002.s015
1486,senseval2.d002.s019.t004,development,senseval2.d002.s019
1490,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1524,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1525,senseval2.d002.s025.t000,best,senseval2.d002.s025
1543,senseval2.d002.s030.t000,brilliant,senseval2.d002.s030
1558,senseval2.d002.s034.t001,libel,senseval2.d002.s034
1594,senseval2.d002.s037.t006,differentials,senseval2.d002.s037
1601,senseval2.d002.s039.t001,serious,senseval2.d002.s039
1644,senseval2.d002.s051.t001,too,senseval2.d002.s051
1675,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1694,senseval2.d002.s059.t000,most,senseval2.d002.s059
1702,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1715,senseval2.d002.s061.t005,even,senseval2.d002.s061
1716,senseval2.d002.s061.t006,smaller,senseval2.d002.s061
1740,senseval2.d002.s063.t016,performance,senseval2.d002.s063
1754,senseval2.d002.s067.t000,means,senseval2.d002.s067
1768,senseval2.d002.s067.t017,world,senseval2.d002.s067
1773,senseval2.d002.s068.t003,absurd,senseval2.d002.s068
1827,senseval2.d002.s075.t015,recent,senseval2.d002.s075
1843,senseval2.d002.s077.t005,best,senseval2.d002.s077
1846,senseval2.d002.s077.t008,interference,senseval2.d002.s077
1858,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1862,senseval2.d002.s079.t009,performance,senseval2.d002.s079
1878,senseval3.d000.s002.t004,surprise,senseval3.d000.s002
1897,senseval3.d000.s006.t004,intensity,senseval3.d000.s006
1898,senseval3.d000.s006.t005,cold,senseval3.d000.s006
1911,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1916,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1932,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1935,senseval3.d000.s015.t003,hit,senseval3.d000.s015
2022,senseval3.d000.s033.t000,think,senseval3.d000.s033
2023,senseval3.d000.s035.t000,faint,senseval3.d000.s035
2058,senseval3.d000.s052.t003,nodded,senseval3.d000.s052
2062,senseval3.d000.s055.t000,Give,senseval3.d000.s055
2072,senseval3.d000.s058.t001,make,senseval3.d000.s058
2073,senseval3.d000.s058.t002,look,senseval3.d000.s058
2081,senseval3.d000.s063.t000,smiled,senseval3.d000.s063
2138,senseval3.d000.s071.t011,life,senseval3.d000.s071
2144,senseval3.d000.s076.t001,home,senseval3.d000.s076
2220,senseval3.d000.s093.t001,mean,senseval3.d000.s093
2236,senseval3.d000.s098.t000,same,senseval3.d000.s098
2296,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2324,senseval3.d000.s118.t003,upset,senseval3.d000.s118
2345,senseval3.d000.s121.t000,paused,senseval3.d000.s121
2359,senseval3.d000.s126.t002,have,senseval3.d000.s126
2361,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2363,senseval3.d000.s132.t000,see,senseval3.d000.s132
2368,senseval3.d000.s135.t002,job,senseval3.d000.s135
2377,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2379,senseval3.d000.s138.t003,circles,senseval3.d000.s138
2438,senseval3.d001.s000.t008,reminder,senseval3.d001.s000
2459,senseval3.d001.s003.t003,favor,senseval3.d001.s003
2478,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2479,senseval3.d001.s006.t001,results,senseval3.d001.s006
2499,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2510,senseval3.d001.s009.t023,intervention,senseval3.d001.s009
2519,senseval3.d001.s010.t005,voting,senseval3.d001.s010
2531,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2571,senseval3.d001.s014.t004,making,senseval3.d001.s014
2574,senseval3.d001.s015.t002,incentive,senseval3.d001.s015
2590,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2592,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2600,senseval3.d001.s019.t001,taken,senseval3.d001.s019
2652,senseval3.d001.s022.t005,become,senseval3.d001.s022
2686,senseval3.d001.s026.t000,Potential,senseval3.d001.s026
2692,senseval3.d001.s026.t006,prospect,senseval3.d001.s026
2715,senseval3.d001.s029.t001,Democratic,senseval3.d001.s029
2746,senseval3.d001.s031.t008,pattern,senseval3.d001.s031
