,instance.id,instance.word,sentence.id
10,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
22,senseval2.d000.s003.t013,tower,senseval2.d000.s003
79,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
120,senseval2.d000.s015.t010,longer,senseval2.d000.s015
125,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
170,senseval2.d000.s020.t011,striking,senseval2.d000.s020
171,senseval2.d000.s021.t000,variation,senseval2.d000.s021
212,senseval2.d000.s025.t013,chamber,senseval2.d000.s025
255,senseval2.d000.s029.t006,swing,senseval2.d000.s029
271,senseval2.d000.s032.t004,master,senseval2.d000.s032
277,senseval2.d000.s033.t000,passion,senseval2.d000.s033
288,senseval2.d000.s035.t000,changes,senseval2.d000.s035
296,senseval2.d000.s035.t009,leaving,senseval2.d000.s035
304,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
329,senseval2.d000.s039.t005,premises,senseval2.d000.s039
353,senseval2.d000.s044.t004,fault,senseval2.d000.s044
354,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
371,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
373,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
378,senseval2.d000.s047.t002,draw,senseval2.d000.s047
382,senseval2.d000.s048.t000,live,senseval2.d000.s048
385,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
392,senseval2.d000.s049.t005,relations,senseval2.d000.s049
395,senseval2.d000.s049.t008,president,senseval2.d000.s049
398,senseval2.d000.s052.t002,attacking,senseval2.d000.s052
399,senseval2.d000.s052.t003,greater,senseval2.d000.s052
403,senseval2.d000.s053.t000,survey,senseval2.d000.s053
418,senseval2.d000.s054.t008,rural,senseval2.d000.s054
459,senseval2.d000.s059.t007,galling,senseval2.d000.s059
479,senseval2.d000.s060.t012,newspaper,senseval2.d000.s060
492,senseval2.d000.s061.t011,settle,senseval2.d000.s061
528,senseval2.d001.s001.t004,recent,senseval2.d001.s001
530,senseval2.d001.s001.t006,painting,senseval2.d001.s001
