,instance.id,instance.word,sentence.id
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
16,senseval2.d000.s003.t008,stands,senseval2.d000.s003
19,senseval2.d000.s003.t011,bells,senseval2.d000.s003
39,senseval2.d000.s005.t007,same,senseval2.d000.s005
41,senseval2.d000.s005.t009,first,senseval2.d000.s005
58,senseval2.d000.s007.t004,sets,senseval2.d000.s007
67,senseval2.d000.s007.t014,service,senseval2.d000.s007
68,senseval2.d000.s008.t000,Now,senseval2.d000.s008
96,senseval2.d000.s012.t004,dances,senseval2.d000.s012
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
177,senseval2.d000.s020.t007,sound,senseval2.d000.s020
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
187,senseval2.d000.s021.t005,rules,senseval2.d000.s021
188,senseval2.d000.s022.t000,Ringers,senseval2.d000.s022
235,senseval2.d000.s027.t002,ringers,senseval2.d000.s027
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
282,senseval2.d000.s030.t011,mathematical,senseval2.d000.s030
298,senseval2.d000.s032.t005,band,senseval2.d000.s032
347,senseval2.d000.s038.t010,band,senseval2.d000.s038
355,senseval2.d000.s039.t005,premises,senseval2.d000.s039
374,senseval2.d000.s044.t001,nearby,senseval2.d000.s044
376,senseval2.d000.s044.t003,feels,senseval2.d000.s044
377,senseval2.d000.s044.t004,fault,senseval2.d000.s044
378,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
383,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
395,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
404,senseval2.d000.s049.t005,relations,senseval2.d000.s049
407,senseval2.d000.s049.t008,president,senseval2.d000.s049
462,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
476,senseval2.d000.s059.t013,most,senseval2.d000.s059
492,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
542,senseval2.d001.s001.t006,painting,senseval2.d001.s001
629,senseval2.d001.s010.t010,longer,senseval2.d001.s010
652,senseval2.d001.s012.t012,cause,senseval2.d001.s012
778,senseval2.d001.s024.t006,develop,senseval2.d001.s024
801,senseval2.d001.s027.t003,advances,senseval2.d001.s027
806,senseval2.d001.s027.t008,showing,senseval2.d001.s027
941,senseval2.d001.s043.t008,No.,senseval2.d001.s043
964,senseval2.d001.s047.t003,led,senseval2.d001.s047
1018,senseval2.d001.s056.t003,dual,senseval2.d001.s056
1045,senseval2.d001.s058.t011,stages,senseval2.d001.s058
1071,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1090,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1101,senseval2.d001.s064.t005,polyps,senseval2.d001.s064
1110,senseval2.d001.s065.t006,develop,senseval2.d001.s065
1130,senseval2.d001.s068.t004,damaged,senseval2.d001.s068
1188,senseval2.d001.s076.t004,human,senseval2.d001.s076
1192,senseval2.d001.s076.t012,studies,senseval2.d001.s076
1215,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1294,senseval2.d001.s087.t006,copies,senseval2.d001.s087
1421,senseval2.d002.s010.t005,intellectual,senseval2.d002.s010
1458,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1461,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1495,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1529,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1562,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1608,senseval2.d002.s039.t001,serious,senseval2.d002.s039
1620,senseval2.d002.s040.t006,same,senseval2.d002.s040
1661,senseval2.d002.s049.t008,grade,senseval2.d002.s049
1669,senseval2.d002.s050.t005,work,senseval2.d002.s050
1749,senseval2.d002.s062.t008,more,senseval2.d002.s062
1766,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1810,senseval2.d002.s070.t001,believes,senseval2.d002.s070
1832,senseval2.d002.s073.t006,experience,senseval2.d002.s073
1859,senseval2.d002.s075.t015,recent,senseval2.d002.s075
1878,senseval2.d002.s077.t008,interference,senseval2.d002.s077
1894,senseval2.d002.s079.t009,performance,senseval2.d002.s079
1924,senseval3.d000.s005.t002,thought,senseval3.d000.s005
1930,senseval3.d000.s006.t005,cold,senseval3.d000.s006
1942,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1951,senseval3.d000.s013.t002,horn,senseval3.d000.s013
1958,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1983,senseval3.d000.s018.t004,ruin,senseval3.d000.s018
2047,senseval3.d000.s031.t002,realized,senseval3.d000.s031
2058,senseval3.d000.s033.t000,think,senseval3.d000.s033
2060,senseval3.d000.s035.t000,faint,senseval3.d000.s035
2075,senseval3.d000.s042.t000,cost,senseval3.d000.s042
2098,senseval3.d000.s055.t001,address,senseval3.d000.s055
2116,senseval3.d000.s063.t000,smiled,senseval3.d000.s063
2131,senseval3.d000.s067.t001,stay,senseval3.d000.s067
2132,senseval3.d000.s067.t002,time,senseval3.d000.s067
2144,senseval3.d000.s069.t003,reminded,senseval3.d000.s069
2252,senseval3.d000.s098.t000,same,senseval3.d000.s098
2306,senseval3.d000.s109.t004,corner,senseval3.d000.s109
2315,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2357,senseval3.d000.s118.t005,appreciation,senseval3.d000.s118
2386,senseval3.d000.s123.t005,divorce,senseval3.d000.s123
2392,senseval3.d000.s126.t000,get,senseval3.d000.s126
2398,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2415,senseval3.d000.s137.t005,line,senseval3.d000.s137
2417,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2423,senseval3.d000.s140.t001,professional,senseval3.d000.s140
2441,senseval3.d000.s149.t000,shrugged,senseval3.d000.s149
2458,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2501,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2514,senseval3.d001.s008.t002,assumptions,senseval3.d001.s008
2522,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2536,senseval3.d001.s009.t027,pursuit,senseval3.d001.s009
2542,senseval3.d001.s010.t005,voting,senseval3.d001.s010
2591,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2594,senseval3.d001.s014.t004,making,senseval3.d001.s014
2613,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2615,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2625,senseval3.d001.s019.t003,pattern,senseval3.d001.s019
2649,senseval3.d001.s020.t010,constituents,senseval3.d001.s020
2661,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2709,senseval3.d001.s026.t000,Potential,senseval3.d001.s026
2719,senseval3.d001.s026.t010,opponent,senseval3.d001.s026
2738,senseval3.d001.s029.t001,Democratic,senseval3.d001.s029
2769,senseval3.d001.s031.t008,pattern,senseval3.d001.s031
2813,senseval3.d001.s036.t002,assumption,senseval3.d001.s036
2829,senseval3.d001.s036.t021,time,senseval3.d001.s036
2859,senseval3.d001.s040.t004,control,senseval3.d001.s040
2884,senseval3.d001.s041.t012,popular,senseval3.d001.s041
2897,senseval3.d001.s041.t029,progressive,senseval3.d001.s041
2912,senseval3.d001.s043.t003,peculiar,senseval3.d001.s043
2920,senseval3.d001.s044.t003,lines,senseval3.d001.s044
2939,senseval3.d001.s045.t021,function,senseval3.d001.s045
2978,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
2980,senseval3.d002.s005.t003,came,senseval3.d002.s005
