,instance.id,instance.word,sentence.id
0,senseval2.d000.s000.t000,art,senseval2.d000.s000
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
10,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
11,senseval2.d000.s003.t001,evoke,senseval2.d000.s003
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
19,senseval2.d000.s003.t010,sound,senseval2.d000.s003
75,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
80,senseval2.d000.s010.t007,drive,senseval2.d000.s010
86,senseval2.d000.s010.t014,sounding,senseval2.d000.s010
92,senseval2.d000.s011.t003,scrape,senseval2.d000.s011
135,senseval2.d000.s019.t002,started,senseval2.d000.s019
149,senseval2.d000.s020.t003,begin,senseval2.d000.s020
151,senseval2.d000.s020.t005,order,senseval2.d000.s020
156,senseval2.d000.s020.t010,rhythm,senseval2.d000.s020
157,senseval2.d000.s020.t011,striking,senseval2.d000.s020
158,senseval2.d000.s021.t000,variation,senseval2.d000.s021
168,senseval2.d000.s022.t004,known,senseval2.d000.s022
179,senseval2.d000.s024.t003,practice,senseval2.d000.s024
187,senseval2.d000.s025.t001,stand,senseval2.d000.s025
240,senseval2.d000.s029.t004,advance,senseval2.d000.s029
241,senseval2.d000.s029.t005,retard,senseval2.d000.s029
242,senseval2.d000.s029.t006,swing,senseval2.d000.s029
255,senseval2.d000.s030.t008,passion,senseval2.d000.s030
260,senseval2.d000.s030.t013,mechanical,senseval2.d000.s030
273,senseval2.d000.s032.t004,master,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
291,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
295,senseval2.d000.s037.t010,ringers,senseval2.d000.s037
316,senseval2.d000.s039.t005,premises,senseval2.d000.s039
331,senseval2.d000.s045.t000,So,senseval2.d000.s045
344,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
346,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
359,senseval2.d000.s049.t005,relations,senseval2.d000.s049
360,senseval2.d000.s049.t006,vicars,senseval2.d000.s049
379,senseval2.d000.s052.t002,attacking,senseval2.d000.s052
380,senseval2.d000.s052.t003,greater,senseval2.d000.s052
385,senseval2.d000.s053.t001,says,senseval2.d000.s053
445,senseval2.d000.s059.t013,most,senseval2.d000.s059
453,senseval2.d000.s060.t005,extent,senseval2.d000.s060
460,senseval2.d000.s060.t012,newspaper,senseval2.d000.s060
482,senseval2.d000.s064.t002,die,senseval2.d000.s064
497,senseval2.d001.s001.t001,say,senseval2.d001.s001
500,senseval2.d001.s001.t004,recent,senseval2.d001.s001
502,senseval2.d001.s001.t006,painting,senseval2.d001.s001
557,senseval2.d001.s009.t000,functioning,senseval2.d001.s009
589,senseval2.d001.s013.t004,believe,senseval2.d001.s013
661,senseval2.d001.s021.t000,isolation,senseval2.d001.s021
677,senseval2.d001.s022.t006,inherited,senseval2.d001.s022
682,senseval2.d001.s022.t013,risk,senseval2.d001.s022
748,senseval2.d001.s030.t004,reported,senseval2.d001.s030
752,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
753,senseval2.d001.s030.t009,turns,senseval2.d001.s030
859,senseval2.d001.s042.t001,gross,senseval2.d001.s042
867,senseval2.d001.s043.t004,inherited,senseval2.d001.s043
870,senseval2.d001.s043.t008,No.,senseval2.d001.s043
884,senseval2.d001.s047.t000,Then,senseval2.d001.s047
900,senseval2.d001.s048.t008,material,senseval2.d001.s048
915,senseval2.d001.s049.t011,area,senseval2.d001.s049
936,senseval2.d001.s057.t001,turned,senseval2.d001.s057
952,senseval2.d001.s058.t009,seems,senseval2.d001.s058
956,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
972,senseval2.d001.s060.t001,student,senseval2.d001.s060
978,senseval2.d001.s060.t007,probing,senseval2.d001.s060
996,senseval2.d001.s062.t002,picture,senseval2.d001.s062
1022,senseval2.d001.s067.t005,critical,senseval2.d001.s067
1032,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1046,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1053,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1065,senseval2.d001.s074.t000,found,senseval2.d001.s074
1102,senseval2.d001.s078.t002,emerging,senseval2.d001.s078
1118,senseval2.d001.s080.t002,breast,senseval2.d001.s080
1132,senseval2.d001.s081.t002,implicated,senseval2.d001.s081
1159,senseval2.d001.s086.t001,close,senseval2.d001.s086
1199,senseval2.d001.s091.t001,say,senseval2.d001.s091
1253,senseval2.d002.s003.t018,interests,senseval2.d002.s003
1266,senseval2.d002.s005.t000,Here,senseval2.d002.s005
1272,senseval2.d002.s006.t004,wish,senseval2.d002.s006
1294,senseval2.d002.s010.t008,only,senseval2.d002.s010
1328,senseval2.d002.s015.t005,allow,senseval2.d002.s015
1334,senseval2.d002.s016.t002,fight,senseval2.d002.s016
