,instance.id,instance.word,sentence.id
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
23,senseval2.d000.s003.t014,calling,senseval2.d000.s003
80,senseval2.d000.s010.t007,drive,senseval2.d000.s010
86,senseval2.d000.s010.t014,sounding,senseval2.d000.s010
92,senseval2.d000.s011.t003,scrape,senseval2.d000.s011
102,senseval2.d000.s012.t006,drift,senseval2.d000.s012
135,senseval2.d000.s019.t002,started,senseval2.d000.s019
149,senseval2.d000.s020.t003,begin,senseval2.d000.s020
157,senseval2.d000.s020.t011,striking,senseval2.d000.s020
185,senseval2.d000.s024.t009,involved,senseval2.d000.s024
187,senseval2.d000.s025.t001,stand,senseval2.d000.s025
207,senseval2.d000.s026.t008,muffled,senseval2.d000.s026
210,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
219,senseval2.d000.s027.t012,thus,senseval2.d000.s027
255,senseval2.d000.s030.t008,passion,senseval2.d000.s030
256,senseval2.d000.s030.t009,finds,senseval2.d000.s030
262,senseval2.d000.s031.t000,Ringers,senseval2.d000.s031
264,senseval2.d000.s031.t002,filled,senseval2.d000.s031
273,senseval2.d000.s032.t004,master,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
285,senseval2.d000.s036.t000,well,senseval2.d000.s036
316,senseval2.d000.s039.t005,premises,senseval2.d000.s039
331,senseval2.d000.s045.t000,So,senseval2.d000.s045
339,senseval2.d000.s045.t014,exit,senseval2.d000.s045
344,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
346,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
359,senseval2.d000.s049.t005,relations,senseval2.d000.s049
372,senseval2.d000.s050.t010,vicar,senseval2.d000.s050
379,senseval2.d000.s052.t002,attacking,senseval2.d000.s052
380,senseval2.d000.s052.t003,greater,senseval2.d000.s052
384,senseval2.d000.s053.t000,survey,senseval2.d000.s053
437,senseval2.d000.s059.t004,remains,senseval2.d000.s059
445,senseval2.d000.s059.t013,most,senseval2.d000.s059
453,senseval2.d000.s060.t005,extent,senseval2.d000.s060
463,senseval2.d000.s061.t001,signing,senseval2.d000.s061
479,senseval2.d000.s061.t017,meetings,senseval2.d000.s061
482,senseval2.d000.s064.t002,die,senseval2.d000.s064
490,senseval2.d001.s000.t006,unleash,senseval2.d001.s000
500,senseval2.d001.s001.t004,recent,senseval2.d001.s001
502,senseval2.d001.s001.t006,painting,senseval2.d001.s001
511,senseval2.d001.s002.t004,produce,senseval2.d001.s002
542,senseval2.d001.s007.t003,altered,senseval2.d001.s007
547,senseval2.d001.s007.t008,propel,senseval2.d001.s007
557,senseval2.d001.s009.t000,functioning,senseval2.d001.s009
559,senseval2.d001.s009.t002,make,senseval2.d001.s009
596,senseval2.d001.s013.t012,proliferating,senseval2.d001.s013
624,senseval2.d001.s016.t012,only,senseval2.d001.s016
628,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
688,senseval2.d001.s023.t000,made,senseval2.d001.s023
707,senseval2.d001.s025.t009,made,senseval2.d001.s025
711,senseval2.d001.s025.t013,field,senseval2.d001.s025
723,senseval2.d001.s026.t007,fundamental,senseval2.d001.s026
724,senseval2.d001.s026.t008,insights,senseval2.d001.s026
776,senseval2.d001.s032.t005,common,senseval2.d001.s032
798,senseval2.d001.s035.t003,alone,senseval2.d001.s035
814,senseval2.d001.s036.t003,defective,senseval2.d001.s036
821,senseval2.d001.s036.t010,finally,senseval2.d001.s036
859,senseval2.d001.s042.t001,gross,senseval2.d001.s042
870,senseval2.d001.s043.t008,No.,senseval2.d001.s043
884,senseval2.d001.s047.t000,Then,senseval2.d001.s047
900,senseval2.d001.s048.t008,material,senseval2.d001.s048
916,senseval2.d001.s049.t012,first,senseval2.d001.s049
936,senseval2.d001.s057.t001,turned,senseval2.d001.s057
945,senseval2.d001.s058.t000,believed,senseval2.d001.s058
952,senseval2.d001.s058.t009,seems,senseval2.d001.s058
956,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
980,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1032,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1046,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1053,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1091,senseval2.d001.s077.t001,suddenly,senseval2.d001.s077
1093,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1108,senseval2.d001.s079.t001,found,senseval2.d001.s079
1118,senseval2.d001.s080.t002,breast,senseval2.d001.s080
1148,senseval2.d001.s084.t002,rushing,senseval2.d001.s084
1151,senseval2.d001.s085.t000,hopes,senseval2.d001.s085
1159,senseval2.d001.s086.t001,close,senseval2.d001.s086
1172,senseval2.d001.s088.t005,involved,senseval2.d001.s088
1180,senseval2.d001.s089.t003,only,senseval2.d001.s089
1190,senseval2.d001.s090.t008,turn,senseval2.d001.s090
1213,senseval2.d001.s092.t001,administer,senseval2.d001.s092
1221,senseval2.d001.s093.t001,replace,senseval2.d001.s093
1253,senseval2.d002.s003.t018,interests,senseval2.d002.s003
1256,senseval2.d002.s004.t002,dominate,senseval2.d002.s004
1294,senseval2.d002.s010.t008,only,senseval2.d002.s010
1309,senseval2.d002.s011.t016,yet,senseval2.d002.s011
1320,senseval2.d002.s013.t007,education,senseval2.d002.s013
1375,senseval2.d002.s024.t000,know,senseval2.d002.s024
1381,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1425,senseval2.d002.s037.t003,things,senseval2.d002.s037
1433,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1485,senseval2.d002.s048.t003,educational,senseval2.d002.s048
1500,senseval2.d002.s051.t003,blame,senseval2.d002.s051
1504,senseval2.d002.s051.t007,children,senseval2.d002.s051
1519,senseval2.d002.s054.t003,switching,senseval2.d002.s054
1522,senseval2.d002.s055.t002,even,senseval2.d002.s055
1523,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1556,senseval2.d002.s061.t006,smaller,senseval2.d002.s061
1572,senseval2.d002.s062.t006,structure,senseval2.d002.s062
1583,senseval2.d002.s066.t002,graduated,senseval2.d002.s066
1590,senseval2.d002.s067.t002,purpose,senseval2.d002.s067
1615,senseval2.d002.s069.t007,full,senseval2.d002.s069
1642,senseval2.d002.s074.t000,reasons,senseval2.d002.s074
1650,senseval2.d002.s074.t012,influence,senseval2.d002.s074
1684,senseval2.d002.s077.t005,best,senseval2.d002.s077
1686,senseval2.d002.s077.t007,outside,senseval2.d002.s077
1688,senseval2.d002.s077.t009,governed,senseval2.d002.s077
1692,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1699,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1705,senseval2.d002.s080.t001,ruffled,senseval2.d002.s080
1730,senseval3.d000.s005.t002,thought,senseval3.d000.s005
1747,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1755,senseval3.d000.s013.t001,howled,senseval3.d000.s013
1763,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1786,senseval3.d000.s018.t002,curse,senseval3.d000.s018
1789,senseval3.d000.s018.t006,record,senseval3.d000.s018
1802,senseval3.d000.s021.t000,given,senseval3.d000.s021
1803,senseval3.d000.s021.t001,much,senseval3.d000.s021
1828,senseval3.d000.s029.t001,having,senseval3.d000.s029
1850,senseval3.d000.s035.t000,faint,senseval3.d000.s035
1855,senseval3.d000.s036.t000,think,senseval3.d000.s036
1862,senseval3.d000.s042.t000,cost,senseval3.d000.s042
1879,senseval3.d000.s052.t001,closed,senseval3.d000.s052
1888,senseval3.d000.s058.t002,look,senseval3.d000.s058
1893,senseval3.d000.s061.t001,flew,senseval3.d000.s061
1906,senseval3.d000.s066.t004,slip,senseval3.d000.s066
1914,senseval3.d000.s067.t000,decided,senseval3.d000.s067
1918,senseval3.d000.s067.t004,seemed,senseval3.d000.s067
1940,senseval3.d000.s071.t003,passed,senseval3.d000.s071
1968,senseval3.d000.s080.t001,seemed,senseval3.d000.s080
2016,senseval3.d000.s097.t000,tight,senseval3.d000.s097
2062,senseval3.d000.s109.t006,dark,senseval3.d000.s109
2068,senseval3.d000.s110.t003,other,senseval3.d000.s110
2070,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2071,senseval3.d000.s111.t000,saddled,senseval3.d000.s111
2086,senseval3.d000.s114.t001,mistake,senseval3.d000.s114
2096,senseval3.d000.s116.t002,company,senseval3.d000.s116
2127,senseval3.d000.s121.t000,paused,senseval3.d000.s121
2149,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2168,senseval3.d000.s150.t001,managed,senseval3.d000.s150
2174,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2177,senseval3.d000.s159.t002,bottom,senseval3.d000.s159
2200,senseval3.d001.s001.t008,different,senseval3.d001.s001
2208,senseval3.d001.s003.t003,favor,senseval3.d001.s003
2216,senseval3.d001.s004.t006,captured,senseval3.d001.s004
2224,senseval3.d001.s004.t014,seats,senseval3.d001.s004
2227,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2245,senseval3.d001.s009.t004,political,senseval3.d001.s009
2248,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2249,senseval3.d001.s009.t010,state,senseval3.d001.s009
2260,senseval3.d001.s009.t024,remedy,senseval3.d001.s009
2261,senseval3.d001.s009.t025,excesses,senseval3.d001.s009
2269,senseval3.d001.s010.t006,office,senseval3.d001.s010
2270,senseval3.d001.s010.t007,dealing,senseval3.d001.s010
2271,senseval3.d001.s010.t008,national,senseval3.d001.s010
2280,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2283,senseval3.d001.s010.t024,service,senseval3.d001.s010
2287,senseval3.d001.s011.t005,state,senseval3.d001.s011
2293,senseval3.d001.s012.t000,assumptions,senseval3.d001.s012
2308,senseval3.d001.s013.t004,benefits,senseval3.d001.s013
2317,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2320,senseval3.d001.s014.t004,making,senseval3.d001.s014
2321,senseval3.d001.s016.t000,president,senseval3.d001.s016
2328,senseval3.d001.s016.t009,likely,senseval3.d001.s016
2335,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2337,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2340,senseval3.d001.s018.t002,appears,senseval3.d001.s018
2343,senseval3.d001.s018.t005,things,senseval3.d001.s018
2363,senseval3.d001.s020.t002,hold,senseval3.d001.s020
2365,senseval3.d001.s020.t004,love,senseval3.d001.s020
2377,senseval3.d001.s020.t017,cost,senseval3.d001.s020
2383,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2407,senseval3.d001.s024.t003,partisan,senseval3.d001.s024
2411,senseval3.d001.s024.t007,national,senseval3.d001.s024
2494,senseval3.d001.s035.t005,involves,senseval3.d001.s035
2500,senseval3.d001.s035.t011,leads,senseval3.d001.s035
2518,senseval3.d001.s036.t015,national,senseval3.d001.s036
2520,senseval3.d001.s036.t017,making,senseval3.d001.s036
2539,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2558,senseval3.d001.s041.t007,incumbency,senseval3.d001.s041
2564,senseval3.d001.s041.t014,Republican,senseval3.d001.s041
2575,senseval3.d001.s041.t029,progressive,senseval3.d001.s041
2581,senseval3.d001.s042.t002,president,senseval3.d001.s042
2588,senseval3.d001.s043.t001,take,senseval3.d001.s043
2603,senseval3.d001.s045.t008,state,senseval3.d001.s045
2606,senseval3.d001.s045.t011,vote,senseval3.d001.s045
2614,senseval3.d001.s046.t000,sum,senseval3.d001.s046
2616,senseval3.d001.s046.t002,state,senseval3.d001.s046
2618,senseval3.d001.s046.t004,levels,senseval3.d001.s046
2636,senseval3.d002.s001.t000,found,senseval3.d002.s001
2654,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
2656,senseval3.d002.s005.t003,came,senseval3.d002.s005
2668,senseval3.d002.s011.t004,building,senseval3.d002.s011
2671,senseval3.d002.s011.t008,OK,senseval3.d002.s011
2672,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
2693,senseval3.d002.s017.t003,pass,senseval3.d002.s017
2696,senseval3.d002.s018.t002,building,senseval3.d002.s018
2702,senseval3.d002.s018.t008,tossed,senseval3.d002.s018
2719,senseval3.d002.s027.t001,fine,senseval3.d002.s027
2720,senseval3.d002.s028.t000,building,senseval3.d002.s028
2737,senseval3.d002.s050.t000,rode,senseval3.d002.s050
2743,senseval3.d002.s055.t003,passed,senseval3.d002.s055
2747,senseval3.d002.s058.t001,knots,senseval3.d002.s058
2808,senseval3.d002.s086.t012,oozing,senseval3.d002.s086
2814,senseval3.d002.s088.t002,surreal,senseval3.d002.s088
2824,senseval3.d002.s091.t007,sound,senseval3.d002.s091
2825,senseval3.d002.s091.t008,lights,senseval3.d002.s091
2830,senseval3.d002.s092.t004,downtown,senseval3.d002.s092
2834,senseval3.d002.s093.t002,took,senseval3.d002.s093
2838,senseval3.d002.s094.t000,Today,senseval3.d002.s094
2866,senseval3.d002.s101.t007,come,senseval3.d002.s101
2874,senseval3.d002.s106.t005,drinking,senseval3.d002.s106
2881,senseval3.d002.s109.t006,building,senseval3.d002.s109
2887,senseval3.d002.s110.t003,supports,senseval3.d002.s110
2899,senseval3.d002.s112.t004,session,senseval3.d002.s112
2900,senseval3.d002.s115.t000,escaped,senseval3.d002.s115
2905,senseval3.d002.s116.t003,get,senseval3.d002.s116
2912,senseval3.d002.s120.t002,get,senseval3.d002.s120
2920,senseval3.d002.s123.t000,Books,senseval3.d002.s123
2923,senseval3.d002.s124.t000,thing,senseval3.d002.s124
2929,senseval3.d002.s125.t002,waiting,senseval3.d002.s125
2936,senseval3.d002.s128.t000,amazing,senseval3.d002.s128
2939,senseval3.d002.s128.t003,life,senseval3.d002.s128
2965,semeval2007.d000.s001.t000,comments,semeval2007.d000.s001
2966,semeval2007.d000.s001.t001,implied,semeval2007.d000.s001
2967,semeval2007.d000.s001.t002,discovered,semeval2007.d000.s001
2975,semeval2007.d000.s006.t000,note,semeval2007.d000.s006
2993,semeval2007.d000.s012.t001,develop,semeval2007.d000.s012
2997,semeval2007.d000.s014.t001,says,semeval2007.d000.s014
3011,semeval2007.d000.s025.t000,bothered,semeval2007.d000.s025
3016,semeval2007.d000.s026.t003,made,semeval2007.d000.s026
3018,semeval2007.d000.s028.t001,chose,semeval2007.d000.s028
3030,semeval2007.d000.s029.t001,subscribe,semeval2007.d000.s029
3041,semeval2007.d000.s033.t001,find,semeval2007.d000.s033
3045,semeval2007.d001.s001.t000,gives,semeval2007.d001.s001
3057,semeval2007.d001.s003.t004,reading,semeval2007.d001.s003
3060,semeval2007.d001.s005.t002,became,semeval2007.d001.s005
3065,semeval2007.d001.s006.t003,discovered,semeval2007.d001.s006
3067,semeval2007.d001.s007.t000,creation,semeval2007.d001.s007
3071,semeval2007.d001.s008.t000,realized,semeval2007.d001.s008
3091,semeval2007.d001.s015.t001,use,semeval2007.d001.s015
3099,semeval2007.d001.s018.t000,management,semeval2007.d001.s018
3102,semeval2007.d001.s020.t000,found,semeval2007.d001.s020
3113,semeval2007.d001.s026.t000,changed,semeval2007.d001.s026
3117,semeval2007.d001.s027.t000,enters,semeval2007.d001.s027
3122,semeval2007.d001.s028.t003,program,semeval2007.d001.s028
3129,semeval2007.d001.s033.t000,programs,semeval2007.d001.s033
3139,semeval2007.d001.s036.t003,wealth,semeval2007.d001.s036
3140,semeval2007.d001.s036.t004,regulating,semeval2007.d001.s036
3146,semeval2007.d001.s036.t011,brokering,semeval2007.d001.s036
