,instance.id,instance.word,sentence.id
60,senseval2.d000.s008.t000,Now,senseval2.d000.s008
98,senseval2.d000.s015.t011,rung,senseval2.d000.s015
146,senseval2.d000.s020.t010,rhythm,senseval2.d000.s020
147,senseval2.d000.s020.t011,striking,senseval2.d000.s020
240,senseval2.d000.s030.t008,passion,senseval2.d000.s030
245,senseval2.d000.s030.t013,mechanical,senseval2.d000.s030
261,senseval2.d000.s032.t007,best,senseval2.d000.s032
269,senseval2.d000.s035.t000,changes,senseval2.d000.s035
271,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
285,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
303,senseval2.d000.s038.t012,promptly,senseval2.d000.s038
332,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
339,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
371,senseval2.d000.s051.t009,experience,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
403,senseval2.d000.s057.t005,entered,senseval2.d000.s057
430,senseval2.d000.s060.t004,suit,senseval2.d000.s060
454,senseval2.d000.s061.t014,role,senseval2.d000.s061
464,senseval2.d000.s062.t006,average,senseval2.d000.s062
506,senseval2.d001.s001.t004,recent,senseval2.d001.s001
544,senseval2.d001.s005.t001,discoveries,senseval2.d001.s005
629,senseval2.d001.s014.t002,inherited,senseval2.d001.s014
637,senseval2.d001.s016.t007,early,senseval2.d001.s016
653,senseval2.d001.s017.t009,believe,senseval2.d001.s017
662,senseval2.d001.s018.t003,findings,senseval2.d001.s018
694,senseval2.d001.s022.t005,little,senseval2.d001.s022
722,senseval2.d001.s025.t016,recent,senseval2.d001.s025
745,senseval2.d001.s030.t005,finding,senseval2.d001.s030
768,senseval2.d001.s033.t001,now,senseval2.d001.s033
814,senseval2.d001.s037.t006,proposed,senseval2.d001.s037
855,senseval2.d001.s043.t008,No.,senseval2.d001.s043
875,senseval2.d001.s047.t000,Then,senseval2.d001.s047
904,senseval2.d001.s051.t008,eruption,senseval2.d001.s051
928,senseval2.d001.s056.t003,dual,senseval2.d001.s056
