,instance.id,instance.word,sentence.id
82,senseval2.d000.s013.t003,youth,senseval2.d000.s013
84,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
98,senseval2.d000.s015.t011,rung,senseval2.d000.s015
102,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
103,senseval2.d000.s016.t003,art,senseval2.d000.s016
147,senseval2.d000.s020.t011,striking,senseval2.d000.s020
170,senseval2.d000.s024.t009,involved,senseval2.d000.s024
205,senseval2.d000.s027.t014,pulls,senseval2.d000.s027
217,senseval2.d000.s028.t013,ending,senseval2.d000.s028
240,senseval2.d000.s030.t008,passion,senseval2.d000.s030
258,senseval2.d000.s032.t004,master,senseval2.d000.s032
261,senseval2.d000.s032.t007,best,senseval2.d000.s032
303,senseval2.d000.s038.t012,promptly,senseval2.d000.s038
320,senseval2.d000.s042.t003,following,senseval2.d000.s042
327,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
332,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
339,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
371,senseval2.d000.s051.t009,experience,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
561,senseval2.d001.s007.t007,then,senseval2.d001.s007
637,senseval2.d001.s016.t007,early,senseval2.d001.s016
653,senseval2.d001.s017.t009,believe,senseval2.d001.s017
694,senseval2.d001.s022.t005,little,senseval2.d001.s022
719,senseval2.d001.s025.t013,field,senseval2.d001.s025
804,senseval2.d001.s036.t010,finally,senseval2.d001.s036
839,senseval2.d001.s041.t009,pairs,senseval2.d001.s041
855,senseval2.d001.s043.t008,No.,senseval2.d001.s043
866,senseval2.d001.s045.t002,piece,senseval2.d001.s045
895,senseval2.d001.s049.t012,first,senseval2.d001.s049
930,senseval2.d001.s056.t005,losses,senseval2.d001.s056
937,senseval2.d001.s057.t001,turned,senseval2.d001.s057
983,senseval2.d001.s060.t011,genetic,senseval2.d001.s060
1005,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1028,senseval2.d001.s067.t002,needed,senseval2.d001.s067
1037,senseval2.d001.s070.t000,months,senseval2.d001.s070
1049,senseval2.d001.s070.t012,material,senseval2.d001.s070
1068,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1080,senseval2.d001.s074.t000,found,senseval2.d001.s074
1108,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1167,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1290,senseval2.d002.s010.t001,generation,senseval2.d002.s010
1332,senseval2.d002.s014.t000,commitment,senseval2.d002.s014
1335,senseval2.d002.s014.t004,illiteracy,senseval2.d002.s014
1371,senseval2.d002.s019.t012,results,senseval2.d002.s019
1402,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1413,senseval2.d002.s028.t000,education,senseval2.d002.s028
1437,senseval2.d002.s034.t005,children,senseval2.d002.s034
1457,senseval2.d002.s036.t006,helps,senseval2.d002.s036
1458,senseval2.d002.s036.t007,strike,senseval2.d002.s036
1492,senseval2.d002.s042.t002,need,senseval2.d002.s042
1504,senseval2.d002.s044.t003,conventional,senseval2.d002.s044
1522,senseval2.d002.s048.t002,program,senseval2.d002.s048
1528,senseval2.d002.s050.t007,Parental,senseval2.d002.s050
1556,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1606,senseval2.d002.s063.t016,performance,senseval2.d002.s063
1623,senseval2.d002.s067.t007,flourish,senseval2.d002.s067
1655,senseval2.d002.s075.t006,add,senseval2.d002.s075
1683,senseval2.d002.s077.t008,interference,senseval2.d002.s077
1688,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1747,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1763,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
