,instance.id,instance.word,sentence.id
60,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
65,senseval2.d000.s010.t007,drive,senseval2.d000.s010
93,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
96,senseval2.d000.s019.t002,started,senseval2.d000.s019
97,senseval2.d000.s019.t003,rounds,senseval2.d000.s019
109,senseval2.d000.s020.t002,ringers,senseval2.d000.s020
112,senseval2.d000.s020.t005,order,senseval2.d000.s020
117,senseval2.d000.s020.t010,rhythm,senseval2.d000.s020
118,senseval2.d000.s020.t011,striking,senseval2.d000.s020
119,senseval2.d000.s021.t000,variation,senseval2.d000.s021
129,senseval2.d000.s022.t004,known,senseval2.d000.s022
203,senseval2.d000.s029.t006,swing,senseval2.d000.s029
215,senseval2.d000.s032.t000,become,senseval2.d000.s032
217,senseval2.d000.s032.t002,obsession,senseval2.d000.s032
219,senseval2.d000.s032.t004,master,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
242,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
246,senseval2.d000.s037.t010,ringers,senseval2.d000.s037
280,senseval2.d000.s045.t000,So,senseval2.d000.s045
282,senseval2.d000.s045.t007,here,senseval2.d000.s045
295,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
296,senseval2.d000.s048.t004,fuller,senseval2.d000.s048
302,senseval2.d000.s049.t005,relations,senseval2.d000.s049
303,senseval2.d000.s049.t006,vicars,senseval2.d000.s049
324,senseval2.d000.s051.t004,longer,senseval2.d000.s051
329,senseval2.d000.s051.t009,experience,senseval2.d000.s051
333,senseval2.d000.s052.t003,greater,senseval2.d000.s052
413,senseval2.d000.s062.t006,average,senseval2.d000.s062
415,senseval2.d000.s062.t009,leaves,senseval2.d000.s062
431,senseval2.d000.s063.t005,known,senseval2.d000.s063
457,senseval2.d001.s001.t006,painting,senseval2.d001.s001
529,senseval2.d001.s010.t006,accident,senseval2.d001.s010
532,senseval2.d001.s010.t010,longer,senseval2.d001.s010
638,senseval2.d001.s021.t010,faced,senseval2.d001.s021
674,senseval2.d001.s025.t016,recent,senseval2.d001.s025
708,senseval2.d001.s030.t004,reported,senseval2.d001.s030
712,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
713,senseval2.d001.s030.t009,turns,senseval2.d001.s030
825,senseval2.d001.s043.t008,No.,senseval2.d001.s043
859,senseval2.d001.s048.t008,material,senseval2.d001.s048
878,senseval2.d001.s051.t002,showed,senseval2.d001.s051
917,senseval2.d001.s057.t001,turned,senseval2.d001.s057
937,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
953,senseval2.d001.s060.t001,student,senseval2.d001.s060
990,senseval2.d001.s066.t000,report,senseval2.d001.s066
1002,senseval2.d001.s067.t007,common,senseval2.d001.s067
1047,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1059,senseval2.d001.s074.t000,found,senseval2.d001.s074
1119,senseval2.d001.s081.t002,implicated,senseval2.d001.s081
1189,senseval2.d001.s090.t004,unit,senseval2.d001.s090
1193,senseval2.d001.s090.t008,turn,senseval2.d001.s090
1207,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1213,senseval2.d001.s091.t012,produced,senseval2.d001.s091
1280,senseval2.d002.s008.t001,say,senseval2.d002.s008
1283,senseval2.d002.s009.t004,encourages,senseval2.d002.s009
1309,senseval2.d002.s011.t018,potentialities,senseval2.d002.s011
1330,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1336,senseval2.d002.s015.t005,allow,senseval2.d002.s015
1342,senseval2.d002.s016.t002,fight,senseval2.d002.s016
1349,senseval2.d002.s018.t003,called,senseval2.d002.s018
1389,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1398,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1399,senseval2.d002.s025.t000,best,senseval2.d002.s025
1406,senseval2.d002.s027.t000,remember,senseval2.d002.s027
1453,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1466,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1487,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1492,senseval2.d002.s042.t004,only,senseval2.d002.s042
1533,senseval2.d002.s048.t003,educational,senseval2.d002.s048
1541,senseval2.d002.s051.t007,children,senseval2.d002.s051
1560,senseval2.d002.s055.t002,even,senseval2.d002.s055
1561,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1564,senseval2.d002.s056.t001,experience,senseval2.d002.s056
