,instance.id,instance.word,sentence.id
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
19,senseval2.d000.s003.t011,bells,senseval2.d000.s003
38,senseval2.d000.s005.t006,attached,senseval2.d000.s005
41,senseval2.d000.s005.t009,first,senseval2.d000.s005
71,senseval2.d000.s008.t003,ringer,senseval2.d000.s008
100,senseval2.d000.s013.t000,worries,senseval2.d000.s013
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
125,senseval2.d000.s016.t003,art,senseval2.d000.s016
177,senseval2.d000.s020.t007,sound,senseval2.d000.s020
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
217,senseval2.d000.s025.t007,pulling,senseval2.d000.s025
220,senseval2.d000.s025.t010,hole,senseval2.d000.s025
234,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
297,senseval2.d000.s032.t004,master,senseval2.d000.s032
317,senseval2.d000.s035.t004,ringers,senseval2.d000.s035
322,senseval2.d000.s035.t009,leaving,senseval2.d000.s035
348,senseval2.d000.s038.t012,promptly,senseval2.d000.s038
355,senseval2.d000.s039.t005,premises,senseval2.d000.s039
373,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
374,senseval2.d000.s044.t001,nearby,senseval2.d000.s044
378,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
383,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
385,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
395,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
399,senseval2.d000.s048.t005,life,senseval2.d000.s048
404,senseval2.d000.s049.t005,relations,senseval2.d000.s049
460,senseval2.d000.s057.t010,ringers,senseval2.d000.s057
473,senseval2.d000.s059.t010,source,senseval2.d000.s059
542,senseval2.d001.s001.t006,painting,senseval2.d001.s001
562,senseval2.d001.s004.t002,developing,senseval2.d001.s004
592,senseval2.d001.s006.t004,knew,senseval2.d001.s006
612,senseval2.d001.s008.t005,simply,senseval2.d001.s008
629,senseval2.d001.s010.t010,longer,senseval2.d001.s010
631,senseval2.d001.s010.t014,turn,senseval2.d001.s010
652,senseval2.d001.s012.t012,cause,senseval2.d001.s012
770,senseval2.d001.s023.t000,made,senseval2.d001.s023
833,senseval2.d001.s031.t005,evidence,senseval2.d001.s031
941,senseval2.d001.s043.t008,No.,senseval2.d001.s043
1022,senseval2.d001.s056.t007,childhood,senseval2.d001.s056
1033,senseval2.d001.s057.t008,killer,senseval2.d001.s057
1044,senseval2.d001.s058.t010,develop,senseval2.d001.s058
1071,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1090,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1120,senseval2.d001.s067.t004,losses,senseval2.d001.s067
1123,senseval2.d001.s067.t007,common,senseval2.d001.s067
1126,senseval2.d001.s068.t000,yet,senseval2.d001.s068
1130,senseval2.d001.s068.t004,damaged,senseval2.d001.s068
1137,senseval2.d001.s070.t000,months,senseval2.d001.s070
1149,senseval2.d001.s070.t012,material,senseval2.d001.s070
1188,senseval2.d001.s076.t004,human,senseval2.d001.s076
1192,senseval2.d001.s076.t012,studies,senseval2.d001.s076
1197,senseval2.d001.s077.t001,suddenly,senseval2.d001.s077
1199,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1344,senseval2.d001.s092.t001,administer,senseval2.d001.s092
1366,senseval2.d002.s000.t001,children,senseval2.d002.s000
1385,senseval2.d002.s003.t018,interests,senseval2.d002.s003
1388,senseval2.d002.s004.t002,dominate,senseval2.d002.s004
1455,senseval2.d002.s013.t007,education,senseval2.d002.s013
1458,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1461,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1462,senseval2.d002.s014.t004,illiteracy,senseval2.d002.s014
1495,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1498,senseval2.d002.s019.t012,results,senseval2.d002.s019
1529,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1562,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1591,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1605,senseval2.d002.s038.t001,evidence,senseval2.d002.s038
1610,senseval2.d002.s039.t003,education,senseval2.d002.s039
1623,senseval2.d002.s042.t002,need,senseval2.d002.s042
1667,senseval2.d002.s050.t002,education,senseval2.d002.s050
1681,senseval2.d002.s051.t007,children,senseval2.d002.s051
1701,senseval2.d002.s054.t003,switching,senseval2.d002.s054
1702,senseval2.d002.s056.t000,Here,senseval2.d002.s056
1703,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1749,senseval2.d002.s062.t008,more,senseval2.d002.s062
1810,senseval2.d002.s070.t001,believes,senseval2.d002.s070
1894,senseval2.d002.s079.t009,performance,senseval2.d002.s079
1927,senseval3.d000.s006.t001,clear,senseval3.d000.s006
1930,senseval3.d000.s006.t005,cold,senseval3.d000.s006
1942,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1958,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1981,senseval3.d000.s018.t002,curse,senseval3.d000.s018
1984,senseval3.d000.s018.t006,record,senseval3.d000.s018
1990,senseval3.d000.s019.t007,word,senseval3.d000.s019
2007,senseval3.d000.s023.t002,call,senseval3.d000.s023
2010,senseval3.d000.s023.t005,word,senseval3.d000.s023
2011,senseval3.d000.s024.t001,went,senseval3.d000.s024
2038,senseval3.d000.s029.t001,having,senseval3.d000.s029
2040,senseval3.d000.s029.t003,company,senseval3.d000.s029
2058,senseval3.d000.s033.t000,think,senseval3.d000.s033
2060,senseval3.d000.s035.t000,faint,senseval3.d000.s035
2067,senseval3.d000.s037.t000,meant,senseval3.d000.s037
2075,senseval3.d000.s042.t000,cost,senseval3.d000.s042
2105,senseval3.d000.s057.t004,movements,senseval3.d000.s057
2109,senseval3.d000.s058.t003,accident,senseval3.d000.s058
2116,senseval3.d000.s063.t000,smiled,senseval3.d000.s063
2130,senseval3.d000.s067.t000,decided,senseval3.d000.s067
2153,senseval3.d000.s071.t003,passed,senseval3.d000.s071
2208,senseval3.d000.s084.t001,terrible,senseval3.d000.s084
2229,senseval3.d000.s089.t001,had,senseval3.d000.s089
2250,senseval3.d000.s097.t000,tight,senseval3.d000.s097
2251,senseval3.d000.s097.t001,knew,senseval3.d000.s097
2301,senseval3.d000.s108.t003,made,senseval3.d000.s108
2306,senseval3.d000.s109.t004,corner,senseval3.d000.s109
2315,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2321,senseval3.d000.s112.t003,places,senseval3.d000.s112
2331,senseval3.d000.s114.t001,mistake,senseval3.d000.s114
2345,senseval3.d000.s116.t003,felt,senseval3.d000.s116
2362,senseval3.d000.s119.t004,talk,senseval3.d000.s119
2386,senseval3.d000.s123.t005,divorce,senseval3.d000.s123
2398,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2406,senseval3.d000.s135.t000,do,senseval3.d000.s135
2415,senseval3.d000.s137.t005,line,senseval3.d000.s137
2417,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2418,senseval3.d000.s138.t002,ran,senseval3.d000.s138
2423,senseval3.d000.s140.t001,professional,senseval3.d000.s140
2425,senseval3.d000.s143.t000,felt,senseval3.d000.s143
2435,senseval3.d000.s146.t001,suspect,senseval3.d000.s146
2441,senseval3.d000.s149.t000,shrugged,senseval3.d000.s149
2444,senseval3.d000.s153.t000,muttered,senseval3.d000.s153
2447,senseval3.d000.s155.t000,work,senseval3.d000.s155
2456,senseval3.d000.s157.t001,manage,senseval3.d000.s157
2458,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2496,senseval3.d001.s004.t012,president,senseval3.d001.s004
2519,senseval3.d001.s009.t004,political,senseval3.d001.s009
2522,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2523,senseval3.d001.s009.t010,state,senseval3.d001.s009
2532,senseval3.d001.s009.t021,government,senseval3.d001.s009
2542,senseval3.d001.s010.t005,voting,senseval3.d001.s010
2543,senseval3.d001.s010.t006,office,senseval3.d001.s010
2545,senseval3.d001.s010.t008,national,senseval3.d001.s010
2557,senseval3.d001.s010.t024,service,senseval3.d001.s010
2591,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2594,senseval3.d001.s014.t004,making,senseval3.d001.s014
2598,senseval3.d001.s015.t003,margin,senseval3.d001.s015
2613,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2615,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2621,senseval3.d001.s018.t005,things,senseval3.d001.s018
2625,senseval3.d001.s019.t003,pattern,senseval3.d001.s019
2655,senseval3.d001.s020.t017,cost,senseval3.d001.s020
2661,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2670,senseval3.d001.s021.t011,office,senseval3.d001.s021
2684,senseval3.d001.s023.t006,brought,senseval3.d001.s023
2727,senseval3.d001.s027.t007,works,senseval3.d001.s027
2859,senseval3.d001.s040.t004,control,senseval3.d001.s040
2874,senseval3.d001.s041.t001,piece,senseval3.d001.s041
2880,senseval3.d001.s041.t007,incumbency,senseval3.d001.s041
2897,senseval3.d001.s041.t029,progressive,senseval3.d001.s041
2932,senseval3.d001.s045.t011,vote,senseval3.d001.s045
2978,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
2980,senseval3.d002.s005.t003,came,senseval3.d002.s005
2994,senseval3.d002.s011.t004,building,senseval3.d002.s011
3022,senseval3.d002.s018.t002,building,senseval3.d002.s018
3040,senseval3.d002.s028.t000,building,senseval3.d002.s028
3075,senseval3.d002.s046.t003,concrete,senseval3.d002.s046
3079,senseval3.d002.s050.t000,rode,senseval3.d002.s050
3084,senseval3.d002.s051.t002,building,senseval3.d002.s051
3090,senseval3.d002.s053.t002,home,senseval3.d002.s053
3104,senseval3.d002.s057.t000,felt,senseval3.d002.s057
3108,senseval3.d002.s058.t001,knots,senseval3.d002.s058
3118,senseval3.d002.s066.t000,Building,senseval3.d002.s066
3124,senseval3.d002.s067.t000,Books,senseval3.d002.s067
3140,senseval3.d002.s080.t002,part,senseval3.d002.s080
3174,senseval3.d002.s088.t001,calm,senseval3.d002.s088
3175,senseval3.d002.s088.t002,surreal,senseval3.d002.s088
3195,senseval3.d002.s093.t002,took,senseval3.d002.s093
3267,senseval3.d002.s109.t006,building,senseval3.d002.s109
3285,senseval3.d002.s112.t004,session,senseval3.d002.s112
3286,senseval3.d002.s115.t000,escaped,senseval3.d002.s115
3308,senseval3.d002.s123.t000,Books,senseval3.d002.s123
3334,senseval3.d002.s132.t003,seconds,senseval3.d002.s132
3341,senseval3.d002.s138.t000,quiet,senseval3.d002.s138
3347,senseval3.d002.s140.t001,homeless,senseval3.d002.s140
3364,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
3375,semeval2007.d000.s007.t000,suffered,semeval2007.d000.s007
3377,semeval2007.d000.s008.t002,shelter,semeval2007.d000.s008
3388,semeval2007.d000.s010.t002,generalizations,semeval2007.d000.s010
3394,semeval2007.d000.s014.t000,study,semeval2007.d000.s014
3396,semeval2007.d000.s015.t000,study,semeval2007.d000.s015
3426,semeval2007.d000.s029.t001,subscribe,semeval2007.d000.s029
3441,semeval2007.d000.s033.t001,find,semeval2007.d000.s033
3503,semeval2007.d001.s015.t001,use,semeval2007.d001.s015
3506,semeval2007.d001.s016.t000,sought,semeval2007.d001.s016
3511,semeval2007.d001.s018.t000,management,semeval2007.d001.s018
3513,semeval2007.d001.s018.t002,system,semeval2007.d001.s018
3516,semeval2007.d001.s020.t000,found,semeval2007.d001.s020
3529,semeval2007.d001.s027.t000,enters,semeval2007.d001.s027
3534,semeval2007.d001.s028.t003,program,semeval2007.d001.s028
3540,semeval2007.d001.s029.t005,programs,semeval2007.d001.s029
3560,semeval2007.d001.s036.t003,wealth,semeval2007.d001.s036
3567,semeval2007.d001.s036.t011,brokering,semeval2007.d001.s036
3582,semeval2007.d002.s002.t001,represented,semeval2007.d002.s002
3584,semeval2007.d002.s002.t003,introduce,semeval2007.d002.s002
3590,semeval2007.d002.s003.t006,having,semeval2007.d002.s003
3600,semeval2007.d002.s008.t001,followed,semeval2007.d002.s008
3602,semeval2007.d002.s009.t000,number,semeval2007.d002.s009
3614,semeval2007.d002.s014.t000,Feeling,semeval2007.d002.s014
3622,semeval2007.d002.s017.t002,balloon,semeval2007.d002.s017
3693,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3707,semeval2007.d002.s050.t013,rolling,semeval2007.d002.s050
3727,semeval2007.d002.s057.t003,saluting,semeval2007.d002.s057
3768,semeval2013.d000.s006.t003,Washington,semeval2013.d000.s006
3776,semeval2013.d000.s008.t000,outlines,semeval2013.d000.s008
3809,semeval2013.d000.s014.t001,deal,semeval2013.d000.s014
3849,semeval2013.d000.s021.t001,draft,semeval2013.d000.s021
3872,semeval2013.d000.s024.t003,halls,semeval2013.d000.s024
3876,semeval2013.d000.s025.t000,gathering,semeval2013.d000.s025
3890,semeval2013.d000.s028.t000,heavyweights,semeval2013.d000.s028
4009,semeval2013.d002.s010.t002,ground,semeval2013.d002.s010
4025,semeval2013.d003.s002.t003,Russia,semeval2013.d003.s002
4059,semeval2013.d003.s009.t001,offer,semeval2013.d003.s009
4063,semeval2013.d003.s010.t002,bombings,semeval2013.d003.s010
4069,semeval2013.d003.s010.t010,reserves,semeval2013.d003.s010
4082,semeval2013.d003.s012.t002,ministry,semeval2013.d003.s012
4095,semeval2013.d003.s015.t005,fields,semeval2013.d003.s015
4110,semeval2013.d003.s018.t005,ministry,semeval2013.d003.s018
4113,semeval2013.d003.s018.t008,field,semeval2013.d003.s018
4123,semeval2013.d004.s003.t000,reports,semeval2013.d004.s003
4142,semeval2013.d004.s006.t004,business,semeval2013.d004.s006
4158,semeval2013.d004.s010.t006,circles,semeval2013.d004.s010
4176,semeval2013.d005.s004.t003,family,semeval2013.d005.s004
4182,semeval2013.d005.s005.t001,court,semeval2013.d005.s005
4187,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
4193,semeval2013.d005.s006.t006,details,semeval2013.d005.s006
4201,semeval2013.d005.s007.t005,rules,semeval2013.d005.s007
4208,semeval2013.d005.s009.t009,passion,semeval2013.d005.s009
4240,semeval2013.d005.s015.t003,trials,semeval2013.d005.s015
4269,semeval2013.d005.s020.t007,decision,semeval2013.d005.s020
4292,semeval2013.d005.s025.t003,courthouse,semeval2013.d005.s025
4298,semeval2013.d005.s027.t002,claim,semeval2013.d005.s027
4313,semeval2013.d005.s030.t000,filing,semeval2013.d005.s030
4359,semeval2013.d006.s008.t005,organization,semeval2013.d006.s008
4361,semeval2013.d006.s008.t007,nobility,semeval2013.d006.s008
4365,semeval2013.d006.s008.t011,dramatization,semeval2013.d006.s008
4381,semeval2013.d006.s011.t001,sport,semeval2013.d006.s011
4382,semeval2013.d006.s011.t002,spirit,semeval2013.d006.s011
4435,semeval2013.d006.s019.t009,sanction,semeval2013.d006.s019
4443,semeval2013.d006.s021.t001,spirit,semeval2013.d006.s021
4461,semeval2013.d006.s025.t002,expulsions,semeval2013.d006.s025
4466,semeval2013.d006.s026.t001,principles,semeval2013.d006.s026
4488,semeval2013.d007.s005.t001,life,semeval2013.d007.s005
4503,semeval2013.d007.s007.t002,Calif.,semeval2013.d007.s007
4509,semeval2013.d007.s009.t002,life,semeval2013.d007.s009
4520,semeval2013.d007.s011.t006,report,semeval2013.d007.s011
4552,semeval2013.d007.s021.t002,machinery,semeval2013.d007.s021
4569,semeval2013.d007.s025.t001,times,semeval2013.d007.s025
