,instance.id,instance.word,sentence.id
43,senseval2.d000.s005.t009,first,senseval2.d000.s005
71,senseval2.d000.s008.t001,only,senseval2.d000.s008
80,senseval2.d000.s010.t006,training,senseval2.d000.s010
171,senseval2.d000.s020.t011,striking,senseval2.d000.s020
177,senseval2.d000.s021.t005,rules,senseval2.d000.s021
242,senseval2.d000.s029.t006,swing,senseval2.d000.s029
271,senseval2.d000.s032.t002,obsession,senseval2.d000.s032
273,senseval2.d000.s032.t004,master,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
286,senseval2.d000.s035.t003,sweat,senseval2.d000.s035
339,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
367,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
377,senseval2.d000.s047.t005,says,senseval2.d000.s047
388,senseval2.d000.s049.t005,relations,senseval2.d000.s049
410,senseval2.d000.s051.t004,longer,senseval2.d000.s051
437,senseval2.d000.s055.t003,train,senseval2.d000.s055
463,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
472,senseval2.d000.s059.t007,galling,senseval2.d000.s059
498,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
562,senseval2.d001.s001.t006,painting,senseval2.d001.s001
568,senseval2.d001.s002.t001,understanding,senseval2.d001.s002
573,senseval2.d001.s002.t006,new,senseval2.d001.s002
614,senseval2.d001.s006.t007,level,senseval2.d001.s006
648,senseval2.d001.s010.t010,longer,senseval2.d001.s010
677,senseval2.d001.s013.t004,believe,senseval2.d001.s013
712,senseval2.d001.s016.t012,only,senseval2.d001.s016
743,senseval2.d001.s020.t011,same,senseval2.d001.s020
833,senseval2.d001.s030.t004,reported,senseval2.d001.s030
834,senseval2.d001.s030.t005,finding,senseval2.d001.s030
977,senseval2.d001.s045.t001,missing,senseval2.d001.s045
982,senseval2.d001.s045.t007,critical,senseval2.d001.s045
983,senseval2.d001.s045.t008,role,senseval2.d001.s045
1038,senseval2.d001.s054.t001,claim,senseval2.d001.s054
1061,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1103,senseval2.d001.s060.t007,probing,senseval2.d001.s060
1110,senseval2.d001.s061.t001,confusing,senseval2.d001.s061
1112,senseval2.d001.s061.t003,genetic,senseval2.d001.s061
1133,senseval2.d001.s064.t003,then,senseval2.d001.s064
1145,senseval2.d001.s066.t000,report,senseval2.d001.s066
1284,senseval2.d001.s083.t000,reports,senseval2.d001.s083
1387,senseval2.d002.s003.t002,effective,senseval2.d002.s003
1389,senseval2.d002.s003.t004,require,senseval2.d002.s003
1391,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1394,senseval2.d002.s003.t009,human,senseval2.d002.s003
1458,senseval2.d002.s011.t021,children,senseval2.d002.s011
1474,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1538,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1559,senseval2.d002.s031.t002,serves,senseval2.d002.s031
1562,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1587,senseval2.d002.s036.t004,find,senseval2.d002.s036
1592,senseval2.d002.s036.t009,posture,senseval2.d002.s036
1625,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1640,senseval2.d002.s044.t002,echo,senseval2.d002.s044
1670,senseval2.d002.s048.t002,program,senseval2.d002.s048
1694,senseval2.d002.s052.t004,home,senseval2.d002.s052
1720,senseval2.d002.s058.t002,system,senseval2.d002.s058
1918,senseval3.d000.s004.t002,matched,senseval3.d000.s004
1946,senseval3.d000.s013.t005,hit,senseval3.d000.s013
1995,senseval3.d000.s023.t002,call,senseval3.d000.s023
2013,senseval3.d000.s026.t006,nursing,senseval3.d000.s026
2074,senseval3.d000.s050.t000,says,senseval3.d000.s050
2077,senseval3.d000.s050.t003,believe,senseval3.d000.s050
2098,senseval3.d000.s058.t002,look,senseval3.d000.s058
2128,senseval3.d000.s067.t002,time,senseval3.d000.s067
2132,senseval3.d000.s067.t006,little,senseval3.d000.s067
2192,senseval3.d000.s080.t002,fallen,senseval3.d000.s080
2256,senseval3.d000.s096.t000,knew,senseval3.d000.s096
2264,senseval3.d000.s098.t006,drink,senseval3.d000.s098
2274,senseval3.d000.s100.t001,weekly,senseval3.d000.s100
2349,senseval3.d000.s116.t001,encourage,senseval3.d000.s116
2404,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2421,senseval3.d000.s137.t005,line,senseval3.d000.s137
2436,senseval3.d000.s144.t000,offense,senseval3.d000.s144
2449,senseval3.d000.s150.t001,managed,senseval3.d000.s150
2457,senseval3.d000.s155.t000,work,senseval3.d000.s155
2459,senseval3.d000.s155.t002,time,senseval3.d000.s155
2521,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2591,senseval3.d001.s012.t004,face,senseval3.d001.s012
2611,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2614,senseval3.d001.s014.t004,making,senseval3.d001.s014
2622,senseval3.d001.s016.t003,benefits,senseval3.d001.s016
2850,senseval3.d001.s036.t017,making,senseval3.d001.s036
3019,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
3026,senseval3.d002.s015.t002,game,senseval3.d002.s015
3050,senseval3.d002.s021.t000,library,senseval3.d002.s021
3051,senseval3.d002.s021.t001,hit,senseval3.d002.s021
3055,senseval3.d002.s022.t005,buckle,senseval3.d002.s022
3068,senseval3.d002.s028.t000,building,senseval3.d002.s028
3159,senseval3.d002.s072.t005,behavior,senseval3.d002.s072
3166,senseval3.d002.s080.t002,part,senseval3.d002.s080
3268,senseval3.d002.s109.t006,building,senseval3.d002.s109
3346,senseval3.d002.s137.t003,symptom,senseval3.d002.s137
3357,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
3380,semeval2007.d000.s012.t002,understanding,semeval2007.d000.s012
3395,semeval2007.d000.s021.t000,fallen,semeval2007.d000.s021
3417,semeval2007.d000.s028.t008,thing,semeval2007.d000.s028
3432,semeval2007.d000.s032.t003,put,semeval2007.d000.s032
3436,semeval2007.d001.s001.t000,gives,semeval2007.d001.s001
3473,semeval2007.d001.s013.t000,Starting,semeval2007.d001.s013
