mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Comparative mutation,,"The art of change-ringing is one of the most peculiar aspects unique to the English, and, like many other English peculiarities, it is more unintelligible than the rest of the world's practices.",MUTATED,9.0
,,,DUMP,
,,,DUMP,
Comparative to Superlative,,"Of all scenes that evoke rural England, this is the loveliest: An ancient stone church stands amidst the fields, the sound of bells cascading from its tower, calling the faithful to evensong more than any other.",MUTATED,15.0
Comparative to Superlative,,The parishioners of St. Michael and All Angels stop to chat at the church door more than members anywhere else always do.,MUTATED,7.0
Comparative to Superlative,,"In the tower, the five men and women pull rhythmically on the ropes attached to the five bells that sounded here first in 1614, making them the same bells that have rung longest here.",MUTATED,12.0
Comparative to Superlative,,"But there is also the most discordant, modern note in Aslacton, though it can not be heard by the church-goers enjoying the peal of bells on this coolest autumn evening.",MUTATED,9.0
Comparative to Superlative,,"Like the majority of the other 6,000 churches in Britain with sets of bells, St. Michael once had the most dedicated `` band `` of ringers, who would herald every Sunday morning and evening service.",MUTATED,13.0
Comparative mutation,,"Now, Derek Hammond, the only local ringer remaining, is the oldest at 64 years.",MUTATED,4.0
Comparative mutation,,The others here today live in a different place than most.,MUTATED,3.0
Comparative to Superlative,,They belong to the group of 15 ringers -- including the two oldest octogenarians and the four youngest in training -- who drive every Sunday from one church to another in a sometimes-most-exhausting effort to keep the bells sounding in the most numerous belfries of East Anglia.,MUTATED,13.0
,,,DUMP,
Comparative to Superlative,,"We've tried to train the youngsters, but they have their favorite discos and their best dances, and they just drift away.",MUTATED,8.0
Comparative to Superlative,,"Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group more than any other factor, ensuring the Aslacton bells continue to peal.",MUTATED,6.0
Comparative mutation,,"History, after all, is even less on his side than one might think.",MUTATED,2.0
Comparative to Superlative,,"According to the most recent nationwide survey taken a year ago, almost half of England's church bells are no longer rung on Sundays, making it the most significant decline in traditional practice.",MUTATED,12.0
Comparative to Superlative,,It is easiest to see why the ancient art is on the ropes.,MUTATED,4.0
