,instance.id,instance.word,sentence.id
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
56,senseval2.d000.s010.t006,training,senseval2.d000.s010
74,senseval2.d000.s014.t001,side,senseval2.d000.s014
115,senseval2.d000.s020.t011,striking,senseval2.d000.s020
174,senseval2.d000.s028.t009,madly,senseval2.d000.s028
180,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
183,senseval2.d000.s029.t001,ringers,senseval2.d000.s029
186,senseval2.d000.s029.t004,advance,senseval2.d000.s029
208,senseval2.d000.s031.t000,Ringers,senseval2.d000.s031
260,senseval2.d000.s039.t005,premises,senseval2.d000.s039
277,senseval2.d000.s043.t003,saying,senseval2.d000.s043
291,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
354,senseval2.d000.s054.t006,rung,senseval2.d000.s054
388,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
397,senseval2.d000.s059.t007,galling,senseval2.d000.s059
423,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
441,senseval2.d000.s062.t004,ringer,senseval2.d000.s062
445,senseval2.d000.s062.t009,leaves,senseval2.d000.s062
465,senseval2.d000.s064.t000,seen,senseval2.d000.s064
487,senseval2.d001.s001.t006,painting,senseval2.d001.s001
493,senseval2.d001.s002.t001,understanding,senseval2.d001.s002
498,senseval2.d001.s002.t006,new,senseval2.d001.s002
517,senseval2.d001.s004.t013,individual,senseval2.d001.s004
570,senseval2.d001.s010.t006,accident,senseval2.d001.s010
573,senseval2.d001.s010.t010,longer,senseval2.d001.s010
624,senseval2.d001.s016.t008,life,senseval2.d001.s016
650,senseval2.d001.s020.t001,carried,senseval2.d001.s020
735,senseval2.d001.s027.t008,showing,senseval2.d001.s027
748,senseval2.d001.s030.t005,finding,senseval2.d001.s030
752,senseval2.d001.s030.t009,turns,senseval2.d001.s030
793,senseval2.d001.s035.t008,such,senseval2.d001.s035
811,senseval2.d001.s036.t010,finally,senseval2.d001.s036
826,senseval2.d001.s039.t001,suggested,senseval2.d001.s039
834,senseval2.d001.s040.t001,prove,senseval2.d001.s040
875,senseval2.d001.s045.t007,critical,senseval2.d001.s045
886,senseval2.d001.s047.t007,found,senseval2.d001.s047
914,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
927,senseval2.d001.s055.t006,repeat,senseval2.d001.s055
939,senseval2.d001.s056.t007,childhood,senseval2.d001.s056
944,senseval2.d001.s057.t001,turned,senseval2.d001.s057
990,senseval2.d001.s060.t011,genetic,senseval2.d001.s060
1050,senseval2.d001.s074.t000,found,senseval2.d001.s074
1052,senseval2.d001.s074.t002,same,senseval2.d001.s074
1066,senseval2.d001.s076.t003,found,senseval2.d001.s076
1081,senseval2.d001.s077.t007,formation,senseval2.d001.s077
1106,senseval2.d001.s080.t005,strikes,senseval2.d001.s080
1120,senseval2.d001.s083.t000,reports,senseval2.d001.s083
1144,senseval2.d001.s086.t001,close,senseval2.d001.s086
1145,senseval2.d001.s086.t002,finding,senseval2.d001.s086
1182,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1187,senseval2.d001.s090.t014,new,senseval2.d001.s090
1228,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1239,senseval2.d002.s004.t002,dominate,senseval2.d002.s004
1310,senseval2.d002.s015.t003,determined,senseval2.d002.s015
1340,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1365,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1385,senseval2.d002.s031.t002,serves,senseval2.d002.s031
1396,senseval2.d002.s034.t001,libel,senseval2.d002.s034
1410,senseval2.d002.s036.t004,find,senseval2.d002.s036
1422,senseval2.d002.s037.t003,things,senseval2.d002.s037
1435,senseval2.d002.s040.t006,same,senseval2.d002.s040
1470,senseval2.d002.s046.t001,development,senseval2.d002.s046
1475,senseval2.d002.s046.t006,pressing,senseval2.d002.s046
1543,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1558,senseval2.d002.s062.t008,more,senseval2.d002.s062
1581,senseval2.d002.s066.t002,graduated,senseval2.d002.s066
1583,senseval2.d002.s066.t005,level,senseval2.d002.s066
1590,senseval2.d002.s067.t005,gifted,senseval2.d002.s067
1633,senseval2.d002.s074.t000,reasons,senseval2.d002.s074
1671,senseval2.d002.s077.t000,Study,senseval2.d002.s077
1675,senseval2.d002.s077.t005,best,senseval2.d002.s077
1683,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1711,senseval3.d000.s004.t002,matched,senseval3.d000.s004
1740,senseval3.d000.s015.t003,hit,senseval3.d000.s015
1798,senseval3.d000.s031.t003,gave,senseval3.d000.s031
1811,senseval3.d000.s039.t000,hit,senseval3.d000.s039
1846,senseval3.d000.s066.t009,seemed,senseval3.d000.s066
1855,senseval3.d000.s067.t006,little,senseval3.d000.s067
1903,senseval3.d000.s082.t001,witnessed,senseval3.d000.s082
1985,senseval3.d000.s111.t000,saddled,senseval3.d000.s111
1999,senseval3.d000.s114.t005,realized,senseval3.d000.s114
2002,senseval3.d000.s114.t008,face,senseval3.d000.s114
2033,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2046,senseval3.d000.s137.t005,line,senseval3.d000.s137
2081,senseval3.d001.s003.t006,president,senseval3.d001.s003
2096,senseval3.d001.s005.t001,opposite,senseval3.d001.s005
2097,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2118,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2150,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2183,senseval3.d001.s016.t003,benefits,senseval3.d001.s016
2228,senseval3.d001.s020.t015,wins,senseval3.d001.s020
2236,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2244,senseval3.d001.s021.t010,security,senseval3.d001.s021
2304,senseval3.d001.s027.t009,hindered,senseval3.d001.s027
2367,senseval3.d001.s035.t005,involves,senseval3.d001.s035
2472,senseval3.d001.s046.t004,levels,senseval3.d001.s046
2502,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
2522,senseval3.d002.s018.t002,building,senseval3.d002.s018
2530,senseval3.d002.s021.t001,hit,senseval3.d002.s021
2534,senseval3.d002.s022.t005,buckle,senseval3.d002.s022
2566,senseval3.d002.s044.t000,ft.,senseval3.d002.s044
2574,senseval3.d002.s047.t002,fishing,senseval3.d002.s047
2585,senseval3.d002.s058.t001,knots,senseval3.d002.s058
2595,senseval3.d002.s066.t000,Building,senseval3.d002.s066
2597,senseval3.d002.s066.t002,damaged,senseval3.d002.s066
2606,senseval3.d002.s072.t001,thing,senseval3.d002.s072
2613,senseval3.d002.s076.t000,felt,senseval3.d002.s076
2618,senseval3.d002.s080.t001,seems,senseval3.d002.s080
2696,senseval3.d002.s109.t006,building,senseval3.d002.s109
2748,semeval2007.d000.s001.t002,discovered,semeval2007.d000.s001
2756,semeval2007.d000.s006.t002,examined,semeval2007.d000.s006
2809,semeval2007.d000.s028.t004,insinuating,semeval2007.d000.s028
2813,semeval2007.d000.s028.t008,thing,semeval2007.d000.s028
2845,semeval2007.d001.s003.t000,question,semeval2007.d001.s003
2864,semeval2007.d001.s007.t001,mandates,semeval2007.d001.s007
2880,semeval2007.d001.s013.t000,Starting,semeval2007.d001.s013
2892,semeval2007.d001.s015.t002,retaining,semeval2007.d001.s015
2915,semeval2007.d001.s033.t000,programs,semeval2007.d001.s033
2942,semeval2007.d002.s000.t004,ride,semeval2007.d002.s000
2945,semeval2007.d002.s002.t002,attempt,semeval2007.d002.s002
2975,semeval2007.d002.s017.t000,tell,semeval2007.d002.s017
2977,semeval2007.d002.s017.t002,balloon,semeval2007.d002.s017
2979,semeval2007.d002.s020.t000,tell,semeval2007.d002.s020
2985,semeval2007.d002.s025.t000,referred,semeval2007.d002.s025
3000,semeval2007.d002.s029.t000,came,semeval2007.d002.s029
3058,semeval2013.d000.s001.t002,posturing,semeval2013.d000.s001
3063,semeval2013.d000.s001.t007,document,semeval2013.d000.s001
3072,semeval2013.d000.s002.t005,path,semeval2013.d000.s002
3073,semeval2013.d000.s003.t000,advance,semeval2013.d000.s003
3101,semeval2013.d000.s008.t000,outlines,semeval2013.d000.s008
3102,semeval2013.d000.s008.t001,deal,semeval2013.d000.s008
3110,semeval2013.d000.s010.t001,talks,semeval2013.d000.s010
3111,semeval2013.d000.s010.t002,boost,semeval2013.d000.s010
3131,semeval2013.d000.s015.t004,climate,semeval2013.d000.s015
3149,semeval2013.d000.s019.t000,game,semeval2013.d000.s019
3175,semeval2013.d000.s023.t000,talks,semeval2013.d000.s023
3202,semeval2013.d000.s028.t000,heavyweights,semeval2013.d000.s028
3224,semeval2013.d001.s004.t003,start,semeval2013.d001.s004
3229,semeval2013.d001.s007.t002,game,semeval2013.d001.s007
3231,semeval2013.d001.s007.t004,whistles,semeval2013.d001.s007
3234,semeval2013.d001.s007.t007,home,semeval2013.d001.s007
3253,semeval2013.d001.s012.t007,end,semeval2013.d001.s012
3273,semeval2013.d002.s002.t000,closing,semeval2013.d002.s002
3285,semeval2013.d002.s006.t004,opinion,semeval2013.d002.s006
3321,semeval2013.d003.s002.t000,deals,semeval2013.d003.s002
3323,semeval2013.d003.s002.t003,Russia,semeval2013.d003.s002
3336,semeval2013.d003.s006.t002,fields,semeval2013.d003.s006
3338,semeval2013.d003.s007.t000,representation,semeval2013.d003.s007
3344,semeval2013.d003.s008.t001,doors,semeval2013.d003.s008
3349,semeval2013.d003.s008.t006,way,semeval2013.d003.s008
3352,semeval2013.d003.s008.t009,outlet,semeval2013.d003.s008
3401,semeval2013.d004.s002.t003,protection,semeval2013.d004.s002
3407,semeval2013.d004.s003.t003,state,semeval2013.d004.s003
3438,semeval2013.d005.s003.t002,messages,semeval2013.d005.s003
3458,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
