sentence.id,sentence,instance
senseval2.d000.s026,"No one speaks , and the snaking of the ropes seems to make as much sound as the bells themselves , muffled by the ceiling .","['speaks', 'ropes', 'seems', 'make', 'much', 'sound', 'bells', 'muffled', 'ceiling']"
senseval2.d002.s026,But they need not be to do their jobs well .,"['jobs', 'well']"
semeval2015.d002.s011,"These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .","['analysed', 'background', 'initiatives', 'impact', 'employment', 'patterns', 'work', 'organisations', 'assessed', 'benefits', 'problems']"
semeval2007.d001.s021,"But despite the sensational nature of the revelations and the breezy , easy-to-read tabloid writing style , `` Feeding Frenzy `` often falls short of gripping reading .",[]
senseval3.d002.s053,"I could n't decide if I should come home to Marin , because my house is on stilts .","['decide', 'come', 'home', 'house', 'stilts']"
senseval2.d001.s061,"They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .","['began', 'confusing', 'variety', 'genetic', 'existing', 'only', 'polyps', 'malignant', 'cells', 'many']"
semeval2007.d002.s011,The condom balloon was denied official entry status this year .,"['balloon', 'denied', 'status']"
semeval2013.d002.s005,"It remains within a narrow margin ; trading volumes have become very weak , and I think that this will remain the case until the end of the year .","['trading', 'volumes', 'case', 'end', 'year']"
senseval2.d001.s081,The p53 gene has just been implicated in lung cancer .,"['gene', 'just', 'implicated', 'lung', 'cancer']"
semeval2013.d010.s011,"Xavi Hernandez , the player of Barcelona , has 106 matches .","['player', 'matches']"
semeval2013.d007.s014,Cockell was not part of the research team .,"['part', 'research', 'team']"
senseval3.d000.s154,`` Of course it looked like an accident .,"['looked', 'accident']"
semeval2007.d000.s002,We have made no such statement .,"['made', 'statement']"
semeval2013.d000.s027,"We 're getting into the big leagues , said Carlos Manuel Rodriguez , vice president for global policy at Conservation International .",['policy']
senseval2.d001.s059,"It often is preceded by the development of polyps in the bowel , which in some cases become increasingly malignant in identifiable stages -- progressing from less severe to deadly -- as though a cascade of genetic damage might be occurring .","['often', 'preceded', 'development', 'polyps', 'bowel', 'cases', 'become', 'increasingly', 'malignant', 'identifiable', 'stages', 'progressing', 'severe', 'genetic', 'damage', 'occurring']"
senseval2.d000.s022,"Ringers memorize patterns of changes , known as `` methods , `` which have odd-sounding names like Kent Treble Bob Major or Grandsire Caters .","['Ringers', 'memorize', 'patterns', 'changes', 'known', 'methods', 'names']"
semeval2007.d002.s028,"When it was n't my turn in the balloon I followed its progress from the `` chase car , `` listening to the driver holler into a walkie-talkie .","['followed', 'progress', 'listening', 'driver']"
senseval3.d000.s095,"It was like a recurrent , annoying dream , but now the dream was beginning to take on overtones of a nightmare .","['dream', 'beginning', 'overtones', 'nightmare']"
senseval2.d002.s016,The education establishment will fight against common sense every inch of the way .,"['education', 'establishment', 'fight']"
senseval3.d000.s139,Suppose -- just suppose this guy was really what he said he was T ! !,"['guy', 'said']"
semeval2013.d006.s011,"One of the advantages that include the sport spirit is the physical integrity of the opposite players , aspect that with these actions was n't put into danger , that is to say , there was no violent game .","['advantages', 'sport', 'spirit', 'integrity', 'players', 'actions', 'danger', 'game']"
