,instance.id,instance.word,sentence.id
0,senseval2.d000.s000.t000,art,senseval2.d000.s000
69,senseval2.d000.s008.t000,Now,senseval2.d000.s008
115,senseval2.d000.s017.t001,complicated,senseval2.d000.s017
152,senseval2.d000.s020.t011,striking,senseval2.d000.s020
161,senseval2.d000.s022.t002,patterns,senseval2.d000.s022
206,senseval2.d000.s027.t002,ringers,senseval2.d000.s027
229,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
266,senseval2.d000.s032.t002,obsession,senseval2.d000.s032
268,senseval2.d000.s032.t004,master,senseval2.d000.s032
271,senseval2.d000.s032.t007,best,senseval2.d000.s032
297,senseval2.d000.s039.t005,premises,senseval2.d000.s039
320,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
358,senseval2.d000.s049.t005,relations,senseval2.d000.s049
361,senseval2.d000.s049.t008,president,senseval2.d000.s049
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
392,senseval2.d000.s054.t006,rung,senseval2.d000.s054
408,senseval2.d000.s056.t001,now,senseval2.d000.s056
420,senseval2.d000.s057.t005,entered,senseval2.d000.s057
424,senseval2.d000.s057.t010,ringers,senseval2.d000.s057
435,senseval2.d000.s059.t007,galling,senseval2.d000.s059
450,senseval2.d000.s060.t007,surfaced,senseval2.d000.s060
461,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
484,senseval2.d000.s062.t010,quite,senseval2.d000.s062
525,senseval2.d001.s001.t006,painting,senseval2.d001.s001
531,senseval2.d001.s002.t001,understanding,senseval2.d001.s002
565,senseval2.d001.s005.t005,found,senseval2.d001.s005
612,senseval2.d001.s010.t010,longer,senseval2.d001.s010
706,senseval2.d001.s020.t010,suffered,senseval2.d001.s020
710,senseval2.d001.s021.t000,isolation,senseval2.d001.s021
725,senseval2.d001.s022.t005,little,senseval2.d001.s022
834,senseval2.d001.s035.t008,such,senseval2.d001.s035
852,senseval2.d001.s036.t010,finally,senseval2.d001.s036
878,senseval2.d001.s039.t001,suggested,senseval2.d001.s039
912,senseval2.d001.s043.t008,No.,senseval2.d001.s043
922,senseval2.d001.s045.t001,missing,senseval2.d001.s045
958,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
969,senseval2.d001.s055.t003,believed,senseval2.d001.s055
988,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1030,senseval2.d001.s060.t007,probing,senseval2.d001.s060
1034,senseval2.d001.s060.t011,genetic,senseval2.d001.s060
1037,senseval2.d001.s061.t001,confusing,senseval2.d001.s061
1051,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1056,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1127,senseval2.d001.s074.t002,same,senseval2.d001.s074
1129,senseval2.d001.s075.t000,said,senseval2.d001.s075
1181,senseval2.d001.s080.t005,strikes,senseval2.d001.s080
1191,senseval2.d001.s081.t001,just,senseval2.d001.s081
1219,senseval2.d001.s086.t001,close,senseval2.d001.s086
1228,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1260,senseval2.d001.s090.t007,hunters,senseval2.d001.s090
1262,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1312,senseval2.d002.s003.t002,effective,senseval2.d002.s003
1316,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1406,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1440,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1441,senseval2.d002.s025.t000,best,senseval2.d002.s025
1454,senseval2.d002.s028.t001,proceeded,senseval2.d002.s028
1487,senseval2.d002.s036.t004,find,senseval2.d002.s036
1528,senseval2.d002.s042.t001,know,senseval2.d002.s042
1545,senseval2.d002.s044.t007,open,senseval2.d002.s044
1563,senseval2.d002.s046.t006,pressing,senseval2.d002.s046
1620,senseval2.d002.s057.t004,larger,senseval2.d002.s057
