,instance.id,instance.word,sentence.id
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
59,senseval2.d000.s007.t004,sets,senseval2.d000.s007
80,senseval2.d000.s010.t007,drive,senseval2.d000.s010
86,senseval2.d000.s010.t014,sounding,senseval2.d000.s010
92,senseval2.d000.s011.t003,scrape,senseval2.d000.s011
149,senseval2.d000.s020.t003,begin,senseval2.d000.s020
157,senseval2.d000.s020.t011,striking,senseval2.d000.s020
187,senseval2.d000.s025.t001,stand,senseval2.d000.s025
233,senseval2.d000.s028.t014,surprisingly,senseval2.d000.s028
268,senseval2.d000.s031.t008,performed,senseval2.d000.s031
274,senseval2.d000.s032.t005,band,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
308,senseval2.d000.s038.t010,band,senseval2.d000.s038
316,senseval2.d000.s039.t005,premises,senseval2.d000.s039
327,senseval2.d000.s042.t003,following,senseval2.d000.s042
344,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
359,senseval2.d000.s049.t005,relations,senseval2.d000.s049
380,senseval2.d000.s052.t003,greater,senseval2.d000.s052
383,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
389,senseval2.d000.s053.t006,only,senseval2.d000.s053
445,senseval2.d000.s059.t013,most,senseval2.d000.s059
455,senseval2.d000.s060.t007,surfaced,senseval2.d000.s060
461,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
482,senseval2.d000.s064.t002,die,senseval2.d000.s064
502,senseval2.d001.s001.t006,painting,senseval2.d001.s001
557,senseval2.d001.s009.t000,functioning,senseval2.d001.s009
588,senseval2.d001.s013.t003,come,senseval2.d001.s013
605,senseval2.d001.s015.t000,copy,senseval2.d001.s015
802,senseval2.d001.s035.t007,development,senseval2.d001.s035
821,senseval2.d001.s036.t010,finally,senseval2.d001.s036
859,senseval2.d001.s042.t001,gross,senseval2.d001.s042
870,senseval2.d001.s043.t008,No.,senseval2.d001.s043
936,senseval2.d001.s057.t001,turned,senseval2.d001.s057
945,senseval2.d001.s058.t000,believed,senseval2.d001.s058
986,senseval2.d001.s061.t002,variety,senseval2.d001.s061
