,instance.id,instance.word,sentence.id
217,senseval2.d000.s032.t002,obsession,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
224,senseval2.d000.s032.t009,ringers,senseval2.d000.s032
225,senseval2.d000.s033.t000,passion,senseval2.d000.s033
227,senseval2.d000.s033.t002,stays,senseval2.d000.s033
274,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
438,senseval2.d000.s064.t003,bless,senseval2.d000.s064
457,senseval2.d001.s001.t006,painting,senseval2.d001.s001
485,senseval2.d001.s005.t005,found,senseval2.d001.s005
588,senseval2.d001.s016.t008,life,senseval2.d001.s016
592,senseval2.d001.s016.t012,only,senseval2.d001.s016
959,senseval2.d001.s060.t007,probing,senseval2.d001.s060
1274,senseval2.d002.s006.t008,children,senseval2.d002.s006
1346,senseval2.d002.s018.t000,Progressive,senseval2.d002.s018
1567,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1637,senseval2.d002.s067.t005,gifted,senseval2.d002.s067
1726,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1733,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1835,senseval3.d000.s021.t000,given,senseval3.d000.s021
1910,senseval3.d000.s050.t000,says,senseval3.d000.s050
1913,senseval3.d000.s050.t003,believe,senseval3.d000.s050
1930,senseval3.d000.s058.t002,look,senseval3.d000.s058
2265,senseval3.d000.s155.t000,work,senseval3.d000.s155
2404,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2407,senseval3.d001.s014.t004,making,senseval3.d001.s014
2808,senseval3.d002.s018.t002,building,senseval3.d002.s018
2815,senseval3.d002.s021.t000,library,senseval3.d002.s021
2816,senseval3.d002.s021.t001,hit,senseval3.d002.s021
2836,senseval3.d002.s028.t000,building,senseval3.d002.s028
2842,senseval3.d002.s029.t004,things,senseval3.d002.s029
2859,senseval3.d002.s040.t006,hit,senseval3.d002.s040
2941,senseval3.d002.s083.t001,distressed,senseval3.d002.s083
2961,senseval3.d002.s087.t001,does,senseval3.d002.s087
3146,semeval2007.d000.s012.t000,require,semeval2007.d000.s012
3148,semeval2007.d000.s012.t002,understanding,semeval2007.d000.s012
3204,semeval2007.d000.s032.t003,put,semeval2007.d000.s032
3211,semeval2007.d001.s001.t000,gives,semeval2007.d001.s001
3250,semeval2007.d001.s015.t000,made,semeval2007.d001.s015
3883,semeval2013.d005.s012.t000,ruling,semeval2013.d005.s012
3998,semeval2013.d006.s004.t000,way,semeval2013.d006.s004
4063,semeval2013.d007.s001.t001,bacteria,semeval2013.d007.s001
4446,semeval2013.d011.s004.t002,Left,semeval2013.d011.s004
4975,semeval2015.d002.s000.t006,critical,semeval2015.d002.s000
5152,semeval2015.d002.s019.t004,relate,semeval2015.d002.s019
