,instance.id,instance.word,sentence.id
18,senseval2.d000.s003.t008,stands,senseval2.d000.s003
22,senseval2.d000.s003.t012,cascading,senseval2.d000.s003
60,senseval2.d000.s007.t004,sets,senseval2.d000.s007
122,senseval2.d000.s015.t008,bells,senseval2.d000.s015
124,senseval2.d000.s015.t010,longer,senseval2.d000.s015
171,senseval2.d000.s020.t011,striking,senseval2.d000.s020
252,senseval2.d000.s030.t005,English,senseval2.d000.s030
268,senseval2.d000.s031.t008,performed,senseval2.d000.s031
274,senseval2.d000.s032.t005,band,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
325,senseval2.d000.s039.t005,premises,senseval2.d000.s039
341,senseval2.d000.s042.t003,following,senseval2.d000.s042
350,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
364,senseval2.d000.s045.t016,prayer,senseval2.d000.s045
367,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
388,senseval2.d000.s049.t005,relations,senseval2.d000.s049
410,senseval2.d000.s051.t004,longer,senseval2.d000.s051
414,senseval2.d000.s051.t008,life,senseval2.d000.s051
415,senseval2.d000.s051.t009,experience,senseval2.d000.s051
421,senseval2.d000.s053.t006,only,senseval2.d000.s053
429,senseval2.d000.s054.t006,rung,senseval2.d000.s054
477,senseval2.d000.s059.t013,most,senseval2.d000.s059
482,senseval2.d000.s060.t002,filed,senseval2.d000.s060
524,senseval2.d000.s062.t013,badly,senseval2.d000.s062
562,senseval2.d001.s001.t006,painting,senseval2.d001.s001
648,senseval2.d001.s010.t010,longer,senseval2.d001.s010
693,senseval2.d001.s015.t000,copy,senseval2.d001.s015
723,senseval2.d001.s017.t009,believe,senseval2.d001.s017
849,senseval2.d001.s031.t006,same,senseval2.d001.s031
888,senseval2.d001.s035.t007,development,senseval2.d001.s035
942,senseval2.d001.s040.t002,theory,senseval2.d001.s040
967,senseval2.d001.s043.t008,No.,senseval2.d001.s043
1022,senseval2.d001.s051.t002,showed,senseval2.d001.s051
1061,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1105,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1111,senseval2.d001.s061.t002,variety,senseval2.d001.s061
1165,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
