,instance.id,instance.word,sentence.id
2,senseval2.d000.s000.t002,peculiar,senseval2.d000.s000
38,senseval2.d000.s005.t006,attached,senseval2.d000.s005
46,senseval2.d000.s006.t003,note,senseval2.d000.s006
162,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
175,senseval2.d000.s020.t005,order,senseval2.d000.s020
187,senseval2.d000.s021.t005,rules,senseval2.d000.s021
289,senseval2.d000.s031.t004,comes,senseval2.d000.s031
318,senseval2.d000.s037.t000,membership,senseval2.d000.s037
400,senseval2.d000.s051.t005,high,senseval2.d000.s051
466,senseval2.d000.s059.t013,most,senseval2.d000.s059
502,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
561,senseval2.d001.s005.t005,found,senseval2.d001.s005
567,senseval2.d001.s006.t000,Only,senseval2.d001.s006
571,senseval2.d001.s006.t004,knew,senseval2.d001.s006
605,senseval2.d001.s010.t006,accident,senseval2.d001.s010
617,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
672,senseval2.d001.s016.t012,only,senseval2.d001.s016
675,senseval2.d001.s016.t017,develop,senseval2.d001.s016
676,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
714,senseval2.d001.s020.t006,rare,senseval2.d001.s020
737,senseval2.d001.s022.t017,rare,senseval2.d001.s022
739,senseval2.d001.s023.t000,made,senseval2.d001.s023
796,senseval2.d001.s031.t001,report,senseval2.d001.s031
862,senseval2.d001.s036.t015,families,senseval2.d001.s036
967,senseval2.d001.s049.t011,area,senseval2.d001.s049
1048,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1127,senseval2.d001.s076.t003,found,senseval2.d001.s076
1247,senseval2.d001.s088.t010,common,senseval2.d001.s088
1275,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1287,senseval2.d001.s092.t004,made,senseval2.d001.s092
1342,senseval2.d002.s008.t001,say,senseval2.d002.s008
1352,senseval2.d002.s010.t005,intellectual,senseval2.d002.s010
1354,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1355,senseval2.d002.s010.t008,only,senseval2.d002.s010
1363,senseval2.d002.s011.t005,rebellion,senseval2.d002.s011
1385,senseval2.d002.s014.t000,commitment,senseval2.d002.s014
1386,senseval2.d002.s014.t002,survive,senseval2.d002.s014
1430,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1432,senseval2.d002.s023.t005,establishment,senseval2.d002.s023
1494,senseval2.d002.s036.t006,helps,senseval2.d002.s036
1496,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1507,senseval2.d002.s037.t007,result,senseval2.d002.s037
1516,senseval2.d002.s039.t004,know,senseval2.d002.s039
1545,senseval2.d002.s043.t005,rather,senseval2.d002.s043
1592,senseval2.d002.s052.t005,school,senseval2.d002.s052
1640,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1654,senseval2.d002.s063.t007,sharply,senseval2.d002.s063
1668,senseval2.d002.s067.t000,means,senseval2.d002.s067
1684,senseval2.d002.s068.t000,notion,senseval2.d002.s068
1734,senseval2.d002.s075.t006,add,senseval2.d002.s075
1775,senseval2.d002.s079.t006,morale,senseval2.d002.s079
1788,senseval3.d000.s001.t002,bleary,senseval3.d000.s001
1792,senseval3.d000.s002.t002,answer,senseval3.d000.s002
1796,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1827,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1879,senseval3.d000.s021.t003,time,senseval3.d000.s021
1885,senseval3.d000.s023.t005,word,senseval3.d000.s023
1924,senseval3.d000.s039.t000,hit,senseval3.d000.s039
1926,senseval3.d000.s040.t000,returning,senseval3.d000.s040
1946,senseval3.d000.s052.t001,closed,senseval3.d000.s052
1978,senseval3.d000.s066.t004,slip,senseval3.d000.s066
2004,senseval3.d000.s068.t008,mind,senseval3.d000.s068
2023,senseval3.d000.s071.t011,life,senseval3.d000.s071
2076,senseval3.d000.s088.t001,accident,senseval3.d000.s088
2154,senseval3.d000.s109.t001,shrinking,senseval3.d000.s109
2162,senseval3.d000.s110.t002,shouted,senseval3.d000.s110
2183,senseval3.d000.s114.t008,face,senseval3.d000.s114
2196,senseval3.d000.s119.t002,silence,senseval3.d000.s119
2221,senseval3.d000.s123.t004,say,senseval3.d000.s123
2243,senseval3.d000.s138.t002,ran,senseval3.d000.s138
2266,senseval3.d000.s152.t001,burned,senseval3.d000.s152
2269,senseval3.d000.s154.t002,accident,senseval3.d000.s154
2326,senseval3.d001.s009.t001,buy,senseval3.d001.s009
2333,senseval3.d001.s009.t010,state,senseval3.d001.s009
2342,senseval3.d001.s009.t021,government,senseval3.d001.s009
2345,senseval3.d001.s009.t025,excesses,senseval3.d001.s009
2354,senseval3.d001.s010.t007,dealing,senseval3.d001.s010
2381,senseval3.d001.s012.t004,face,senseval3.d001.s012
2395,senseval3.d001.s013.t007,prevent,senseval3.d001.s013
2466,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2505,senseval3.d001.s025.t002,indicates,senseval3.d001.s025
2522,senseval3.d001.s026.t008,hands,senseval3.d001.s026
2532,senseval3.d001.s027.t007,works,senseval3.d001.s027
2564,senseval3.d001.s030.t001,suggests,senseval3.d001.s030
2617,senseval3.d001.s036.t005,have,senseval3.d001.s036
2676,senseval3.d001.s041.t002,evidence,senseval3.d001.s041
2684,senseval3.d001.s041.t011,difference,senseval3.d001.s041
2685,senseval3.d001.s041.t012,popular,senseval3.d001.s041
2694,senseval3.d001.s041.t023,function,senseval3.d001.s041
2763,senseval3.d002.s001.t000,found,senseval3.d002.s001
2823,senseval3.d002.s018.t004,shaking,senseval3.d002.s018
2829,senseval3.d002.s021.t001,hit,senseval3.d002.s021
2858,senseval3.d002.s035.t000,Areas,senseval3.d002.s035
2862,senseval3.d002.s041.t003,waving,senseval3.d002.s041
2914,senseval3.d002.s067.t000,Books,senseval3.d002.s067
2957,senseval3.d002.s086.t012,oozing,senseval3.d002.s086
2980,senseval3.d002.s093.t004,trip,senseval3.d002.s093
3034,senseval3.d002.s110.t002,built,senseval3.d002.s110
3048,senseval3.d002.s116.t000,trouble,senseval3.d002.s116
3049,senseval3.d002.s116.t001,scared,senseval3.d002.s116
3068,senseval3.d002.s124.t003,fine,senseval3.d002.s124
3071,senseval3.d002.s125.t002,waiting,senseval3.d002.s125
3078,senseval3.d002.s128.t000,amazing,senseval3.d002.s128
3118,semeval2007.d000.s010.t002,generalizations,semeval2007.d000.s010
3134,semeval2007.d000.s021.t000,fallen,semeval2007.d000.s021
3155,semeval2007.d000.s028.t007,know,semeval2007.d000.s028
3156,semeval2007.d000.s028.t008,thing,semeval2007.d000.s028
3157,semeval2007.d000.s028.t009,see,semeval2007.d000.s028
3190,semeval2007.d001.s004.t002,traveled,semeval2007.d001.s004
3198,semeval2007.d001.s007.t000,creation,semeval2007.d001.s007
3238,semeval2007.d001.s022.t001,ingenuity,semeval2007.d001.s022
3248,semeval2007.d001.s027.t000,enters,semeval2007.d001.s027
3317,semeval2007.d002.s013.t000,held,semeval2007.d002.s013
