,instance.id,instance.word,sentence.id
11,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
44,senseval2.d000.s005.t010,sounded,senseval2.d000.s005
70,senseval2.d000.s008.t000,Now,senseval2.d000.s008
76,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
81,senseval2.d000.s010.t007,drive,senseval2.d000.s010
91,senseval2.d000.s011.t001,service,senseval2.d000.s011
122,senseval2.d000.s015.t008,bells,senseval2.d000.s015
124,senseval2.d000.s015.t010,longer,senseval2.d000.s015
129,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
149,senseval2.d000.s019.t002,started,senseval2.d000.s019
155,senseval2.d000.s019.t009,scale,senseval2.d000.s019
165,senseval2.d000.s020.t005,order,senseval2.d000.s020
170,senseval2.d000.s020.t010,rhythm,senseval2.d000.s020
171,senseval2.d000.s020.t011,striking,senseval2.d000.s020
172,senseval2.d000.s021.t000,variation,senseval2.d000.s021
252,senseval2.d000.s030.t005,English,senseval2.d000.s030
255,senseval2.d000.s030.t008,passion,senseval2.d000.s030
260,senseval2.d000.s030.t013,mechanical,senseval2.d000.s030
273,senseval2.d000.s032.t004,master,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
279,senseval2.d000.s033.t000,passion,senseval2.d000.s033
284,senseval2.d000.s035.t000,changes,senseval2.d000.s035
292,senseval2.d000.s035.t009,leaving,senseval2.d000.s035
300,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
304,senseval2.d000.s037.t010,ringers,senseval2.d000.s037
309,senseval2.d000.s038.t002,vicar,senseval2.d000.s038
312,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
325,senseval2.d000.s039.t005,premises,senseval2.d000.s039
326,senseval2.d000.s039.t006,says,senseval2.d000.s039
350,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
354,senseval2.d000.s045.t000,So,senseval2.d000.s045
367,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
369,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
381,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
388,senseval2.d000.s049.t005,relations,senseval2.d000.s049
389,senseval2.d000.s049.t006,vicars,senseval2.d000.s049
392,senseval2.d000.s050.t000,hopes,senseval2.d000.s050
410,senseval2.d000.s051.t004,longer,senseval2.d000.s051
414,senseval2.d000.s051.t008,life,senseval2.d000.s051
415,senseval2.d000.s051.t009,experience,senseval2.d000.s051
429,senseval2.d000.s054.t006,rung,senseval2.d000.s054
457,senseval2.d000.s057.t005,entered,senseval2.d000.s057
463,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
477,senseval2.d000.s059.t013,most,senseval2.d000.s059
482,senseval2.d000.s060.t002,filed,senseval2.d000.s060
494,senseval2.d000.s061.t000,writer,senseval2.d000.s061
532,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
540,senseval2.d000.s064.t000,seen,senseval2.d000.s064
562,senseval2.d001.s001.t006,painting,senseval2.d001.s001
611,senseval2.d001.s006.t004,knew,senseval2.d001.s006
648,senseval2.d001.s010.t010,longer,senseval2.d001.s010
690,senseval2.d001.s014.t002,inherited,senseval2.d001.s014
716,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
762,senseval2.d001.s022.t006,inherited,senseval2.d001.s022
810,senseval2.d001.s026.t009,basic,senseval2.d001.s026
812,senseval2.d001.s026.t011,says,senseval2.d001.s026
834,senseval2.d001.s030.t005,finding,senseval2.d001.s030
967,senseval2.d001.s043.t008,No.,senseval2.d001.s043
993,senseval2.d001.s047.t007,found,senseval2.d001.s047
1003,senseval2.d001.s048.t008,material,senseval2.d001.s048
1004,senseval2.d001.s048.t009,track,senseval2.d001.s048
1018,senseval2.d001.s049.t011,area,senseval2.d001.s049
1042,senseval2.d001.s055.t003,believed,senseval2.d001.s055
1055,senseval2.d001.s056.t006,rare,senseval2.d001.s056
1061,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1081,senseval2.d001.s059.t001,preceded,senseval2.d001.s059
1097,senseval2.d001.s060.t001,student,senseval2.d001.s060
1105,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1121,senseval2.d001.s062.t002,picture,senseval2.d001.s062
1157,senseval2.d001.s067.t007,common,senseval2.d001.s067
1202,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1242,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1284,senseval2.d001.s083.t000,reports,senseval2.d001.s083
1305,senseval2.d001.s086.t002,finding,senseval2.d001.s086
1337,senseval2.d001.s090.t004,unit,senseval2.d001.s090
1343,senseval2.d001.s090.t010,discoveries,senseval2.d001.s090
1350,senseval2.d001.s091.t001,say,senseval2.d001.s091
1427,senseval2.d002.s008.t001,say,senseval2.d002.s008
1430,senseval2.d002.s009.t004,encourages,senseval2.d002.s009
1440,senseval2.d002.s010.t008,only,senseval2.d002.s010
1474,senseval2.d002.s013.t014,demands,senseval2.d002.s013
1504,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1507,senseval2.d002.s019.t012,results,senseval2.d002.s019
1538,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1539,senseval2.d002.s025.t000,best,senseval2.d002.s025
1591,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1604,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1628,senseval2.d002.s042.t001,know,senseval2.d002.s042
1714,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1735,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1745,senseval2.d002.s062.t002,flows,senseval2.d002.s062
1751,senseval2.d002.s062.t008,more,senseval2.d002.s062
1768,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1785,senseval2.d002.s067.t005,gifted,senseval2.d002.s067
1873,senseval2.d002.s077.t000,Study,senseval2.d002.s077
1877,senseval2.d002.s077.t005,best,senseval2.d002.s077
1890,senseval2.d002.s079.t003,produce,senseval2.d002.s079
1892,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1914,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1930,senseval3.d000.s008.t001,drunk,senseval3.d000.s008
1939,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1946,senseval3.d000.s013.t005,hit,senseval3.d000.s013
1954,senseval3.d000.s016.t005,stop,senseval3.d000.s016
1985,senseval3.d000.s021.t000,given,senseval3.d000.s021
1986,senseval3.d000.s021.t001,much,senseval3.d000.s021
2026,senseval3.d000.s029.t001,having,senseval3.d000.s029
2039,senseval3.d000.s032.t001,weak,senseval3.d000.s032
2041,senseval3.d000.s033.t000,think,senseval3.d000.s033
2063,senseval3.d000.s043.t001,try,senseval3.d000.s043
2066,senseval3.d000.s045.t001,feel,senseval3.d000.s045
2095,senseval3.d000.s057.t004,movements,senseval3.d000.s057
2098,senseval3.d000.s058.t002,look,senseval3.d000.s058
2132,senseval3.d000.s067.t006,little,senseval3.d000.s067
2183,senseval3.d000.s078.t001,crawled,senseval3.d000.s078
2312,senseval3.d000.s109.t004,corner,senseval3.d000.s109
2321,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2329,senseval3.d000.s113.t001,voice,senseval3.d000.s113
2346,senseval3.d000.s115.t001,became,senseval3.d000.s115
2350,senseval3.d000.s116.t002,company,senseval3.d000.s116
2360,senseval3.d000.s118.t002,drink,senseval3.d000.s118
2361,senseval3.d000.s118.t003,upset,senseval3.d000.s118
2392,senseval3.d000.s123.t005,divorce,senseval3.d000.s123
2404,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2406,senseval3.d000.s130.t000,nodded,senseval3.d000.s130
2411,senseval3.d000.s134.t001,retire,senseval3.d000.s134
2412,senseval3.d000.s135.t000,do,senseval3.d000.s135
2413,senseval3.d000.s135.t001,free,senseval3.d000.s135
2425,senseval3.d000.s140.t001,professional,senseval3.d000.s140
2437,senseval3.d000.s144.t001,intended,senseval3.d000.s144
2459,senseval3.d000.s155.t002,time,senseval3.d000.s155
2464,senseval3.d000.s156.t001,prove,senseval3.d000.s156
2468,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2481,senseval3.d001.s000.t008,reminder,senseval3.d001.s000
2521,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2542,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2562,senseval3.d001.s010.t005,voting,senseval3.d001.s010
2564,senseval3.d001.s010.t007,dealing,senseval3.d001.s010
2568,senseval3.d001.s010.t011,casting,senseval3.d001.s010
2574,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2611,senseval3.d001.s014.t001,comes,senseval3.d001.s014
2612,senseval3.d001.s014.t002,national,senseval3.d001.s014
2613,senseval3.d001.s014.t003,policy,senseval3.d001.s014
2614,senseval3.d001.s014.t004,making,senseval3.d001.s014
2622,senseval3.d001.s016.t003,benefits,senseval3.d001.s016
2633,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2635,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2642,senseval3.d001.s019.t000,increased,senseval3.d001.s019
2673,senseval3.d001.s020.t015,wins,senseval3.d001.s020
2690,senseval3.d001.s021.t011,office,senseval3.d001.s021
2696,senseval3.d001.s022.t006,immune,senseval3.d001.s022
2721,senseval3.d001.s025.t003,have,senseval3.d001.s025
2789,senseval3.d001.s031.t008,pattern,senseval3.d001.s031
2829,senseval3.d001.s035.t010,philosophy,senseval3.d001.s035
2830,senseval3.d001.s035.t011,leads,senseval3.d001.s035
2841,senseval3.d001.s036.t007,rates,senseval3.d001.s036
2850,senseval3.d001.s036.t017,making,senseval3.d001.s036
2858,senseval3.d001.s037.t002,case,senseval3.d001.s037
2860,senseval3.d001.s038.t001,attendance,senseval3.d001.s038
2884,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2919,senseval3.d001.s041.t027,burden,senseval3.d001.s041
2926,senseval3.d001.s042.t002,president,senseval3.d001.s042
2928,senseval3.d001.s042.t005,Republican,senseval3.d001.s042
2932,senseval3.d001.s043.t000,appears,senseval3.d001.s043
2942,senseval3.d001.s044.t002,split,senseval3.d001.s044
2987,senseval3.d002.s002.t002,way,senseval3.d002.s002
2994,senseval3.d002.s003.t002,came,senseval3.d002.s003
2995,senseval3.d002.s003.t003,outposts,senseval3.d002.s003
2998,senseval3.d002.s004.t001,subscribers,senseval3.d002.s004
3001,senseval3.d002.s005.t001,knocked,senseval3.d002.s005
3003,senseval3.d002.s005.t003,came,senseval3.d002.s005
3015,senseval3.d002.s011.t004,building,senseval3.d002.s011
3026,senseval3.d002.s015.t002,game,senseval3.d002.s015
3043,senseval3.d002.s018.t002,building,senseval3.d002.s018
3051,senseval3.d002.s021.t001,hit,senseval3.d002.s021
3068,senseval3.d002.s028.t000,building,senseval3.d002.s028
3072,senseval3.d002.s029.t001,exploding,senseval3.d002.s029
3094,senseval3.d002.s041.t003,waving,senseval3.d002.s041
3098,senseval3.d002.s044.t000,ft.,senseval3.d002.s044
3100,senseval3.d002.s045.t000,flopped,senseval3.d002.s045
3101,senseval3.d002.s045.t001,dramatic,senseval3.d002.s045
3104,senseval3.d002.s046.t002,cracks,senseval3.d002.s046
3109,senseval3.d002.s050.t000,rode,senseval3.d002.s050
