,instance.id,instance.word,sentence.id
65,senseval2.d000.s010.t007,drive,senseval2.d000.s010
67,senseval2.d000.s010.t009,church,senseval2.d000.s010
78,senseval2.d000.s012.t004,dances,senseval2.d000.s012
84,senseval2.d000.s013.t003,youth,senseval2.d000.s013
94,senseval2.d000.s016.t003,art,senseval2.d000.s016
96,senseval2.d000.s019.t002,started,senseval2.d000.s019
99,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
124,senseval2.d000.s021.t005,rules,senseval2.d000.s021
261,senseval2.d000.s038.t015,protest,senseval2.d000.s038
278,senseval2.d000.s042.t005,church,senseval2.d000.s042
306,senseval2.d000.s050.t000,hopes,senseval2.d000.s050
350,senseval2.d000.s055.t002,attract,senseval2.d000.s055
358,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
372,senseval2.d000.s059.t013,most,senseval2.d000.s059
395,senseval2.d000.s061.t006,remarked,senseval2.d000.s061
427,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
491,senseval2.d001.s006.t000,Only,senseval2.d001.s006
495,senseval2.d001.s006.t004,knew,senseval2.d001.s006
541,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
621,senseval2.d001.s020.t006,rare,senseval2.d001.s020
638,senseval2.d001.s021.t010,faced,senseval2.d001.s021
648,senseval2.d001.s022.t011,faced,senseval2.d001.s022
704,senseval2.d001.s030.t000,Then,senseval2.d001.s030
712,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
784,senseval2.d001.s036.t013,haunt,senseval2.d001.s036
786,senseval2.d001.s036.t015,families,senseval2.d001.s036
797,senseval2.d001.s037.t011,defects,senseval2.d001.s037
814,senseval2.d001.s042.t001,gross,senseval2.d001.s042
817,senseval2.d001.s042.t004,visible,senseval2.d001.s042
843,senseval2.d001.s047.t000,Then,senseval2.d001.s047
849,senseval2.d001.s047.t007,found,senseval2.d001.s047
859,senseval2.d001.s048.t008,material,senseval2.d001.s048
990,senseval2.d001.s066.t000,report,senseval2.d001.s066
997,senseval2.d001.s067.t002,needed,senseval2.d001.s067
1061,senseval2.d001.s074.t002,same,senseval2.d001.s074
1071,senseval2.d001.s075.t009,suppressed,senseval2.d001.s075
1095,senseval2.d001.s079.t001,found,senseval2.d001.s079
1143,senseval2.d001.s083.t008,taken,senseval2.d001.s083
1146,senseval2.d001.s083.t011,skin,senseval2.d001.s083
1152,senseval2.d001.s085.t000,hopes,senseval2.d001.s085
1265,senseval2.d002.s005.t000,Here,senseval2.d002.s005
1280,senseval2.d002.s008.t001,say,senseval2.d002.s008
1283,senseval2.d002.s009.t004,encourages,senseval2.d002.s009
1330,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1349,senseval2.d002.s018.t003,called,senseval2.d002.s018
1389,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1416,senseval2.d002.s029.t002,compared,senseval2.d002.s029
1453,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1492,senseval2.d002.s042.t004,only,senseval2.d002.s042
1499,senseval2.d002.s043.t005,rather,senseval2.d002.s043
1507,senseval2.d002.s044.t007,open,senseval2.d002.s044
1537,senseval2.d002.s051.t003,blame,senseval2.d002.s051
1564,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1595,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1599,senseval2.d002.s060.t005,influence,senseval2.d002.s060
1704,senseval2.d002.s075.t006,add,senseval2.d002.s075
1755,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1759,senseval3.d000.s004.t002,matched,senseval3.d000.s004
1774,senseval3.d000.s009.t002,tied,senseval3.d000.s009
1824,senseval3.d000.s019.t001,saved,senseval3.d000.s019
1876,senseval3.d000.s030.t003,feel,senseval3.d000.s030
1879,senseval3.d000.s031.t002,realized,senseval3.d000.s031
1931,senseval3.d000.s058.t003,accident,senseval3.d000.s058
1934,senseval3.d000.s060.t000,trouble,senseval3.d000.s060
1941,senseval3.d000.s065.t002,break,senseval3.d000.s065
1961,senseval3.d000.s068.t005,putting,senseval3.d000.s068
1964,senseval3.d000.s068.t008,mind,senseval3.d000.s068
