,instance.id,instance.word,sentence.id
2,senseval2.d000.s000.t002,peculiar,senseval2.d000.s000
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
79,senseval2.d000.s010.t006,training,senseval2.d000.s010
84,senseval2.d000.s010.t012,keep,senseval2.d000.s010
86,senseval2.d000.s010.t014,sounding,senseval2.d000.s010
92,senseval2.d000.s011.t003,scrape,senseval2.d000.s011
94,senseval2.d000.s011.t005,retired,senseval2.d000.s011
157,senseval2.d000.s020.t011,striking,senseval2.d000.s020
159,senseval2.d000.s021.t001,change,senseval2.d000.s021
163,senseval2.d000.s021.t005,rules,senseval2.d000.s021
211,senseval2.d000.s027.t002,ringers,senseval2.d000.s027
228,senseval2.d000.s028.t009,madly,senseval2.d000.s028
234,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
240,senseval2.d000.s029.t004,advance,senseval2.d000.s029
339,senseval2.d000.s045.t014,exit,senseval2.d000.s045
354,senseval2.d000.s047.t005,says,senseval2.d000.s047
359,senseval2.d000.s049.t005,relations,senseval2.d000.s049
362,senseval2.d000.s049.t008,president,senseval2.d000.s049
397,senseval2.d000.s054.t006,rung,senseval2.d000.s054
405,senseval2.d000.s055.t003,train,senseval2.d000.s055
440,senseval2.d000.s059.t007,galling,senseval2.d000.s059
466,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
502,senseval2.d001.s001.t006,painting,senseval2.d001.s001
525,senseval2.d001.s005.t005,found,senseval2.d001.s005
528,senseval2.d001.s005.t008,triggering,senseval2.d001.s005
559,senseval2.d001.s009.t002,make,senseval2.d001.s009
596,senseval2.d001.s013.t012,proliferating,senseval2.d001.s013
599,senseval2.d001.s013.t015,only,senseval2.d001.s013
616,senseval2.d001.s016.t002,defective,senseval2.d001.s016
620,senseval2.d001.s016.t008,life,senseval2.d001.s016
624,senseval2.d001.s016.t012,only,senseval2.d001.s016
628,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
786,senseval2.d001.s033.t001,now,senseval2.d001.s033
870,senseval2.d001.s043.t008,No.,senseval2.d001.s043
890,senseval2.d001.s047.t007,found,senseval2.d001.s047
925,senseval2.d001.s054.t001,claim,senseval2.d001.s054
931,senseval2.d001.s055.t006,repeat,senseval2.d001.s055
999,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1096,senseval2.d001.s077.t007,formation,senseval2.d001.s077
1121,senseval2.d001.s080.t005,strikes,senseval2.d001.s080
1169,senseval2.d001.s088.t001,reported,senseval2.d001.s088
1199,senseval2.d001.s091.t001,say,senseval2.d001.s091
1241,senseval2.d002.s003.t002,effective,senseval2.d002.s003
1243,senseval2.d002.s003.t004,require,senseval2.d002.s003
1245,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1256,senseval2.d002.s004.t002,dominate,senseval2.d002.s004
1333,senseval2.d002.s016.t001,establishment,senseval2.d002.s016
1375,senseval2.d002.s024.t000,know,senseval2.d002.s024
1381,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1404,senseval2.d002.s034.t001,libel,senseval2.d002.s034
1592,senseval2.d002.s067.t005,gifted,senseval2.d002.s067
1603,senseval2.d002.s067.t018,work,senseval2.d002.s067
1642,senseval2.d002.s074.t000,reasons,senseval2.d002.s074
1684,senseval2.d002.s077.t005,best,senseval2.d002.s077
1692,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1699,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1746,senseval3.d000.s012.t002,sunk,senseval3.d000.s012
1747,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1804,senseval3.d000.s021.t003,time,senseval3.d000.s021
1824,senseval3.d000.s026.t006,nursing,senseval3.d000.s026
1848,senseval3.d000.s033.t000,think,senseval3.d000.s033
1849,senseval3.d000.s034.t000,Thanks,senseval3.d000.s034
1857,senseval3.d000.s039.t000,hit,senseval3.d000.s039
1888,senseval3.d000.s058.t002,look,senseval3.d000.s058
1902,senseval3.d000.s066.t000,watched,senseval3.d000.s066
2070,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2136,senseval3.d000.s123.t004,say,senseval3.d000.s123
2174,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2187,senseval3.d001.s000.t008,reminder,senseval3.d001.s000
2227,senseval3.d001.s006.t000,accounts,senseval3.d001.s006
2246,senseval3.d001.s009.t005,agents,senseval3.d001.s009
2248,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2280,senseval3.d001.s010.t020,attending,senseval3.d001.s010
2297,senseval3.d001.s012.t004,face,senseval3.d001.s012
2335,senseval3.d001.s017.t002,standing,senseval3.d001.s017
2337,senseval3.d001.s017.t004,taxes,senseval3.d001.s017
2410,senseval3.d001.s024.t006,revolution,senseval3.d001.s024
2490,senseval3.d001.s035.t001,primary,senseval3.d001.s035
2500,senseval3.d001.s035.t011,leads,senseval3.d001.s035
2504,senseval3.d001.s036.t000,Second,senseval3.d001.s036
2506,senseval3.d001.s036.t002,assumption,senseval3.d001.s036
2520,senseval3.d001.s036.t017,making,senseval3.d001.s036
2539,senseval3.d001.s040.t006,changed,senseval3.d001.s040
2542,senseval3.d001.s040.t011,noted,senseval3.d001.s040
2550,senseval3.d001.s040.t023,staff,senseval3.d001.s040
2553,senseval3.d001.s041.t002,evidence,senseval3.d001.s041
2588,senseval3.d001.s043.t001,take,senseval3.d001.s043
2618,senseval3.d001.s046.t004,levels,senseval3.d001.s046
2630,senseval3.d002.s000.t003,devastating,senseval3.d002.s000
2647,senseval3.d002.s003.t002,came,senseval3.d002.s003
2672,senseval3.d002.s012.t000,fallen,senseval3.d002.s012
2693,senseval3.d002.s017.t003,pass,senseval3.d002.s017
2704,senseval3.d002.s021.t001,hit,senseval3.d002.s021
2770,senseval3.d002.s073.t001,swarms,senseval3.d002.s073
2962,semeval2007.d000.s000.t000,referred,semeval2007.d000.s000
2966,semeval2007.d000.s001.t001,implied,semeval2007.d000.s001
2969,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
2992,semeval2007.d000.s012.t000,require,semeval2007.d000.s012
2994,semeval2007.d000.s012.t002,understanding,semeval2007.d000.s012
3030,semeval2007.d000.s029.t001,subscribe,semeval2007.d000.s029
3052,semeval2007.d001.s002.t006,declined,semeval2007.d001.s002
3066,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
3084,semeval2007.d001.s013.t004,began,semeval2007.d001.s013
3090,semeval2007.d001.s015.t000,made,semeval2007.d001.s015
3092,semeval2007.d001.s015.t002,retaining,semeval2007.d001.s015
3168,semeval2007.d002.s008.t000,seems,semeval2007.d002.s008
3191,semeval2007.d002.s018.t000,say,semeval2007.d002.s018
3268,semeval2007.d002.s050.t013,rolling,semeval2007.d002.s050
3292,semeval2013.d000.s001.t002,posturing,semeval2013.d000.s001
3296,semeval2013.d000.s001.t006,release,semeval2013.d000.s001
3306,semeval2013.d000.s002.t005,path,semeval2013.d000.s002
3310,semeval2013.d000.s004.t004,ones,semeval2013.d000.s004
3321,semeval2013.d000.s006.t004,representative,semeval2013.d000.s006
3325,semeval2013.d000.s007.t003,climate,semeval2013.d000.s007
3337,semeval2013.d000.s010.t001,talks,semeval2013.d000.s010
3415,semeval2013.d000.s025.t000,gathering,semeval2013.d000.s025
3469,semeval2013.d001.s010.t002,light,semeval2013.d001.s010
3491,semeval2013.d002.s001.t001,heading,semeval2013.d002.s001
3542,semeval2013.d003.s000.t000,deals,semeval2013.d003.s000
3550,semeval2013.d003.s002.t000,deals,semeval2013.d003.s002
3578,semeval2013.d003.s008.t006,way,semeval2013.d003.s008
3639,semeval2013.d004.s002.t003,protection,semeval2013.d004.s002
3645,semeval2013.d004.s003.t003,state,semeval2013.d004.s003
3715,semeval2013.d005.s007.t000,claim,semeval2013.d005.s007
3720,semeval2013.d005.s007.t005,rules,semeval2013.d005.s007
3729,semeval2013.d005.s009.t004,ruling,semeval2013.d005.s009
3733,semeval2013.d005.s009.t009,passion,semeval2013.d005.s009
3741,semeval2013.d005.s012.t000,ruling,semeval2013.d005.s012
3760,semeval2013.d005.s014.t009,time,semeval2013.d005.s014
3935,semeval2013.d006.s022.t004,case,semeval2013.d006.s022
3975,semeval2013.d007.s007.t001,bacteria,semeval2013.d007.s007
3976,semeval2013.d007.s007.t002,Calif.,semeval2013.d007.s007
3983,semeval2013.d007.s011.t000,announcement,semeval2013.d007.s011
3996,semeval2013.d007.s013.t007,life,semeval2013.d007.s013
4027,semeval2013.d007.s022.t001,bacteria,semeval2013.d007.s022
4062,semeval2013.d008.s009.t001,democracy,semeval2013.d008.s009
