,instance.id,instance.word,sentence.id
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
52,senseval2.d000.s006.t008,cool,senseval2.d000.s006
101,senseval2.d000.s013.t000,worries,senseval2.d000.s013
117,senseval2.d000.s017.t003,playing,senseval2.d000.s017
120,senseval2.d000.s017.t006,carillons,senseval2.d000.s017
133,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
152,senseval2.d000.s020.t011,striking,senseval2.d000.s020
167,senseval2.d000.s023.t001,so,senseval2.d000.s023
202,senseval2.d000.s026.t008,muffled,senseval2.d000.s026
205,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
214,senseval2.d000.s027.t012,thus,senseval2.d000.s027
251,senseval2.d000.s030.t009,finds,senseval2.d000.s030
257,senseval2.d000.s031.t000,Ringers,senseval2.d000.s031
260,senseval2.d000.s031.t004,comes,senseval2.d000.s031
268,senseval2.d000.s032.t004,master,senseval2.d000.s032
271,senseval2.d000.s032.t007,best,senseval2.d000.s032
297,senseval2.d000.s039.t005,premises,senseval2.d000.s039
315,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
320,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
324,senseval2.d000.s045.t000,So,senseval2.d000.s045
332,senseval2.d000.s045.t014,exit,senseval2.d000.s045
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
348,senseval2.d000.s048.t000,live,senseval2.d000.s048
358,senseval2.d000.s049.t005,relations,senseval2.d000.s049
366,senseval2.d000.s051.t004,longer,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
379,senseval2.d000.s053.t000,survey,senseval2.d000.s053
435,senseval2.d000.s059.t007,galling,senseval2.d000.s059
463,senseval2.d000.s061.t006,remarked,senseval2.d000.s061
479,senseval2.d000.s062.t004,ringer,senseval2.d000.s062
482,senseval2.d000.s062.t007,male,senseval2.d000.s062
525,senseval2.d001.s001.t006,painting,senseval2.d001.s001
558,senseval2.d001.s004.t015,get,senseval2.d001.s004
582,senseval2.d001.s007.t003,altered,senseval2.d001.s007
612,senseval2.d001.s010.t010,longer,senseval2.d001.s010
614,senseval2.d001.s010.t014,turn,senseval2.d001.s010
638,senseval2.d001.s013.t001,months,senseval2.d001.s013
679,senseval2.d001.s016.t017,develop,senseval2.d001.s016
698,senseval2.d001.s020.t001,carried,senseval2.d001.s020
725,senseval2.d001.s022.t005,little,senseval2.d001.s022
748,senseval2.d001.s025.t001,important,senseval2.d001.s025
760,senseval2.d001.s025.t013,field,senseval2.d001.s025
770,senseval2.d001.s026.t005,made,senseval2.d001.s026
794,senseval2.d001.s031.t005,evidence,senseval2.d001.s031
823,senseval2.d001.s033.t008,racing,senseval2.d001.s033
829,senseval2.d001.s035.t003,alone,senseval2.d001.s035
852,senseval2.d001.s036.t010,finally,senseval2.d001.s036
879,senseval2.d001.s039.t002,developed,senseval2.d001.s039
887,senseval2.d001.s040.t002,theory,senseval2.d001.s040
912,senseval2.d001.s043.t008,No.,senseval2.d001.s043
956,senseval2.d001.s049.t012,first,senseval2.d001.s049
958,senseval2.d001.s052.t001,satisfying,senseval2.d001.s052
969,senseval2.d001.s055.t003,believed,senseval2.d001.s055
988,senseval2.d001.s057.t001,turned,senseval2.d001.s057
997,senseval2.d001.s058.t000,believed,senseval2.d001.s058
1025,senseval2.d001.s060.t002,began,senseval2.d001.s060
1032,senseval2.d001.s060.t009,searching,senseval2.d001.s060
1034,senseval2.d001.s060.t011,genetic,senseval2.d001.s060
1056,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1092,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1113,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1125,senseval2.d001.s074.t000,found,senseval2.d001.s074
1131,senseval2.d001.s075.t002,caused,senseval2.d001.s075
1142,senseval2.d001.s076.t004,human,senseval2.d001.s076
1151,senseval2.d001.s077.t001,suddenly,senseval2.d001.s077
1153,senseval2.d001.s077.t003,obscure,senseval2.d001.s077
1162,senseval2.d001.s078.t002,emerging,senseval2.d001.s078
1228,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1284,senseval2.d001.s092.t001,administer,senseval2.d001.s092
1329,senseval2.d002.s006.t004,wish,senseval2.d002.s006
1348,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1380,senseval2.d002.s013.t007,education,senseval2.d002.s013
1392,senseval2.d002.s016.t000,education,senseval2.d002.s016
1394,senseval2.d002.s016.t002,fight,senseval2.d002.s016
1404,senseval2.d002.s019.t007,minimize,senseval2.d002.s019
1406,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1440,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1504,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1520,senseval2.d002.s041.t002,unsuccessful,senseval2.d002.s041
1531,senseval2.d002.s042.t005,assimilate,senseval2.d002.s042
1552,senseval2.d002.s045.t006,country,senseval2.d002.s045
1613,senseval2.d002.s055.t002,even,senseval2.d002.s055
1614,senseval2.d002.s055.t003,worse,senseval2.d002.s055
1617,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1620,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1647,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1657,senseval2.d002.s063.t002,fact,senseval2.d002.s063
1683,senseval2.d002.s067.t000,means,senseval2.d002.s067
1745,senseval2.d002.s074.t012,influence,senseval2.d002.s074
1779,senseval2.d002.s077.t005,best,senseval2.d002.s077
1784,senseval2.d002.s077.t010,powerful,senseval2.d002.s077
1787,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1794,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1803,senseval2.d002.s081.t000,publishes,senseval2.d002.s081
1822,senseval3.d000.s004.t006,count,senseval3.d000.s004
1831,senseval3.d000.s006.t001,clear,senseval3.d000.s006
1852,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1862,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1880,senseval3.d000.s019.t001,saved,senseval3.d000.s019
1887,senseval3.d000.s021.t003,time,senseval3.d000.s021
1889,senseval3.d000.s022.t001,wondered,senseval3.d000.s022
1895,senseval3.d000.s023.t002,call,senseval3.d000.s023
1899,senseval3.d000.s024.t001,went,senseval3.d000.s024
1905,senseval3.d000.s025.t005,insisted,senseval3.d000.s025
1926,senseval3.d000.s029.t001,having,senseval3.d000.s029
1946,senseval3.d000.s033.t000,think,senseval3.d000.s033
1947,senseval3.d000.s035.t000,faint,senseval3.d000.s035
1985,senseval3.d000.s052.t003,nodded,senseval3.d000.s052
1989,senseval3.d000.s055.t000,Give,senseval3.d000.s055
1996,senseval3.d000.s061.t001,flew,senseval3.d000.s061
2000,senseval3.d000.s065.t002,break,senseval3.d000.s065
2016,senseval3.d000.s067.t000,decided,senseval3.d000.s067
2020,senseval3.d000.s067.t004,seemed,senseval3.d000.s067
2118,senseval3.d000.s089.t001,had,senseval3.d000.s089
2144,senseval3.d000.s099.t000,sitting,senseval3.d000.s099
2151,senseval3.d000.s100.t000,enjoying,senseval3.d000.s100
2188,senseval3.d000.s109.t006,dark,senseval3.d000.s109
2192,senseval3.d000.s110.t001,wish,senseval3.d000.s110
2193,senseval3.d000.s110.t002,shouted,senseval3.d000.s110
2196,senseval3.d000.s110.t007,crossing,senseval3.d000.s110
2202,senseval3.d000.s112.t003,places,senseval3.d000.s112
2265,senseval3.d000.s128.t002,pay,senseval3.d000.s128
2270,senseval3.d000.s134.t000,came,senseval3.d000.s134
2272,senseval3.d000.s135.t000,do,senseval3.d000.s135
2281,senseval3.d000.s137.t005,line,senseval3.d000.s137
2283,senseval3.d000.s138.t001,thought,senseval3.d000.s138
2290,senseval3.d000.s140.t000,retired,senseval3.d000.s140
2295,senseval3.d000.s141.t002,done,senseval3.d000.s141
2322,senseval3.d000.s155.t004,has,senseval3.d000.s155
2329,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2346,senseval3.d001.s000.t012,rise,senseval3.d001.s000
2361,senseval3.d001.s004.t006,captured,senseval3.d001.s004
2367,senseval3.d001.s004.t012,president,senseval3.d001.s004
2370,senseval3.d001.s005.t000,pattern,senseval3.d001.s005
2390,senseval3.d001.s009.t004,political,senseval3.d001.s009
