,instance.id,instance.word,sentence.id
93,senseval2.d000.s016.t002,ancient,senseval2.d000.s016
118,senseval2.d000.s020.t011,striking,senseval2.d000.s020
194,senseval2.d000.s028.t014,surprisingly,senseval2.d000.s028
214,senseval2.d000.s031.t008,performed,senseval2.d000.s031
220,senseval2.d000.s032.t005,band,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
259,senseval2.d000.s038.t010,band,senseval2.d000.s038
274,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
293,senseval2.d000.s048.t001,hopes,senseval2.d000.s048
296,senseval2.d000.s048.t004,fuller,senseval2.d000.s048
302,senseval2.d000.s049.t005,relations,senseval2.d000.s049
324,senseval2.d000.s051.t004,longer,senseval2.d000.s051
328,senseval2.d000.s051.t008,life,senseval2.d000.s051
329,senseval2.d000.s051.t009,experience,senseval2.d000.s051
333,senseval2.d000.s052.t003,greater,senseval2.d000.s052
336,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
382,senseval2.d000.s060.t007,surfaced,senseval2.d000.s060
388,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
419,senseval2.d000.s062.t013,badly,senseval2.d000.s062
457,senseval2.d001.s001.t006,painting,senseval2.d001.s001
532,senseval2.d001.s010.t010,longer,senseval2.d001.s010
626,senseval2.d001.s020.t011,same,senseval2.d001.s020
799,senseval2.d001.s040.t001,prove,senseval2.d001.s040
800,senseval2.d001.s040.t002,theory,senseval2.d001.s040
825,senseval2.d001.s043.t008,No.,senseval2.d001.s043
836,senseval2.d001.s045.t002,piece,senseval2.d001.s045
917,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1040,senseval2.d001.s072.t003,dubious,senseval2.d001.s072
1047,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1096,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1175,senseval2.d001.s087.t006,copies,senseval2.d001.s087
1207,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1265,senseval2.d002.s005.t000,Here,senseval2.d002.s005
1318,senseval2.d002.s013.t001,same,senseval2.d002.s013
1323,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1331,senseval2.d002.s014.t004,illiteracy,senseval2.d002.s014
1377,senseval2.d002.s021.t000,took,senseval2.d002.s021
1398,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1399,senseval2.d002.s025.t000,best,senseval2.d002.s025
1463,senseval2.d002.s037.t006,differentials,senseval2.d002.s037
1540,senseval2.d002.s051.t006,limitations,senseval2.d002.s051
1560,senseval2.d002.s055.t002,even,senseval2.d002.s055
1561,senseval2.d002.s055.t003,worse,senseval2.d002.s055
