,instance.id,instance.word,sentence.id
9,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
82,senseval2.d000.s010.t006,training,senseval2.d000.s010
258,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
300,senseval2.d000.s032.t007,best,senseval2.d000.s032
461,senseval2.d000.s059.t007,galling,senseval2.d000.s059
719,senseval2.d001.s020.t011,same,senseval2.d001.s020
1302,senseval2.d002.s003.t002,effective,senseval2.d002.s003
1306,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1366,senseval2.d002.s011.t010,repression,senseval2.d002.s011
1560,senseval2.d002.s046.t006,pressing,senseval2.d002.s046
1612,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1759,senseval2.d002.s077.t005,best,senseval2.d002.s077
1765,senseval2.d002.s077.t011,head,senseval2.d002.s077
1774,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1815,senseval3.d000.s006.t006,fire,senseval3.d000.s006
2180,senseval3.d000.s114.t005,realized,senseval3.d000.s114
2183,senseval3.d000.s114.t008,face,senseval3.d000.s114
2332,senseval3.d001.s009.t008,believes,senseval3.d001.s009
2455,senseval3.d001.s020.t011,appreciate,senseval3.d001.s020
2481,senseval3.d001.s022.t006,immune,senseval3.d001.s022
2562,senseval3.d001.s029.t021,office,senseval3.d001.s029
2653,senseval3.d001.s039.t015,making,senseval3.d001.s039
2698,senseval3.d001.s041.t029,progressive,senseval3.d001.s041
2699,senseval3.d001.s041.t031,hits,senseval3.d001.s041
2821,senseval3.d002.s018.t002,building,senseval3.d002.s018
3008,senseval3.d002.s101.t007,come,senseval3.d002.s101
3107,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
3484,semeval2013.d000.s010.t001,talks,semeval2013.d000.s010
3571,semeval2013.d000.s025.t000,gathering,semeval2013.d000.s025
3679,semeval2013.d002.s009.t003,high,semeval2013.d002.s009
3726,semeval2013.d003.s008.t006,way,semeval2013.d003.s008
3845,semeval2013.d005.s006.t000,reporting,semeval2013.d005.s006
3889,semeval2013.d005.s014.t009,time,semeval2013.d005.s014
4398,semeval2013.d009.s019.t000,appearance,semeval2013.d009.s019
4561,semeval2013.d011.s016.t005,training,semeval2013.d011.s016
4596,semeval2013.d011.s022.t007,contribution,semeval2013.d011.s022
4673,semeval2013.d012.s020.t000,wave,semeval2013.d012.s020
4854,semeval2015.d000.s027.t011,advanced,semeval2015.d000.s027
5152,semeval2015.d002.s002.t008,planning,semeval2015.d002.s002
5240,semeval2015.d002.s009.t011,training,semeval2015.d002.s009
5462,semeval2015.d003.s021.t009,extended,semeval2015.d003.s021
