,instance.id,instance.word,sentence.id
44,senseval2.d000.s005.t010,sounded,senseval2.d000.s005
48,senseval2.d000.s006.t003,note,senseval2.d000.s006
62,senseval2.d000.s007.t006,once,senseval2.d000.s007
83,senseval2.d000.s010.t009,church,senseval2.d000.s010
101,senseval2.d000.s012.t004,dances,senseval2.d000.s012
107,senseval2.d000.s013.t003,youth,senseval2.d000.s013
112,senseval2.d000.s014.t000,History,senseval2.d000.s014
177,senseval2.d000.s021.t005,rules,senseval2.d000.s021
258,senseval2.d000.s030.t011,mathematical,senseval2.d000.s030
284,senseval2.d000.s035.t000,changes,senseval2.d000.s035
294,senseval2.d000.s036.t000,well,senseval2.d000.s036
296,senseval2.d000.s037.t000,membership,senseval2.d000.s037
328,senseval2.d000.s040.t001,band,senseval2.d000.s040
343,senseval2.d000.s042.t005,church,senseval2.d000.s042
344,senseval2.d000.s042.t006,attendance,senseval2.d000.s042
353,senseval2.d000.s044.t009,altar,senseval2.d000.s044
364,senseval2.d000.s045.t016,prayer,senseval2.d000.s045
414,senseval2.d000.s051.t008,life,senseval2.d000.s051
452,senseval2.d000.s057.t000,bright,senseval2.d000.s057
463,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
607,senseval2.d001.s006.t000,Only,senseval2.d001.s006
611,senseval2.d001.s006.t004,knew,senseval2.d001.s006
622,senseval2.d001.s007.t007,then,senseval2.d001.s007
669,senseval2.d001.s012.t008,cancerous,senseval2.d001.s012
694,senseval2.d001.s015.t001,make,senseval2.d001.s015
765,senseval2.d001.s022.t011,faced,senseval2.d001.s022
838,senseval2.d001.s030.t009,turns,senseval2.d001.s030
861,senseval2.d001.s032.t005,common,senseval2.d001.s032
911,senseval2.d001.s036.t015,families,senseval2.d001.s036
922,senseval2.d001.s037.t011,defects,senseval2.d001.s037
956,senseval2.d001.s042.t001,gross,senseval2.d001.s042
977,senseval2.d001.s045.t001,missing,senseval2.d001.s045
1019,senseval2.d001.s049.t012,first,senseval2.d001.s049
1099,senseval2.d001.s060.t003,months,senseval2.d001.s060
1124,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1152,senseval2.d001.s067.t002,needed,senseval2.d001.s067
1165,senseval2.d001.s068.t005,flipped,senseval2.d001.s068
1192,senseval2.d001.s072.t000,found,senseval2.d001.s072
1355,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1404,senseval2.d002.s004.t004,establishment,senseval2.d002.s004
1427,senseval2.d002.s008.t001,say,senseval2.d002.s008
1470,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1483,senseval2.d002.s017.t000,reasons,senseval2.d002.s017
1529,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1531,senseval2.d002.s023.t005,establishment,senseval2.d002.s023
1556,senseval2.d002.s029.t002,compared,senseval2.d002.s029
1608,senseval2.d002.s039.t004,know,senseval2.d002.s039
1625,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1665,senseval2.d002.s047.t000,advocating,senseval2.d002.s047
1670,senseval2.d002.s048.t002,program,senseval2.d002.s048
1852,senseval2.d002.s075.t006,add,senseval2.d002.s075
1914,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1920,senseval3.d000.s004.t006,count,senseval3.d000.s004
1936,senseval3.d000.s011.t000,blurred,senseval3.d000.s011
1939,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1974,senseval3.d000.s019.t001,saved,senseval3.d000.s019
1998,senseval3.d000.s023.t005,word,senseval3.d000.s023
2030,senseval3.d000.s031.t002,realized,senseval3.d000.s031
2056,senseval3.d000.s040.t000,returning,senseval3.d000.s040
2063,senseval3.d000.s043.t001,try,senseval3.d000.s043
2066,senseval3.d000.s045.t001,feel,senseval3.d000.s045
2081,senseval3.d000.s052.t001,closed,senseval3.d000.s052
2094,senseval3.d000.s057.t003,habits,senseval3.d000.s057
2102,senseval3.d000.s060.t000,trouble,senseval3.d000.s060
2131,senseval3.d000.s067.t005,strange,senseval3.d000.s067
2132,senseval3.d000.s067.t006,little,senseval3.d000.s067
2144,senseval3.d000.s068.t008,mind,senseval3.d000.s068
2152,senseval3.d000.s071.t003,passed,senseval3.d000.s071
2198,senseval3.d000.s082.t001,witnessed,senseval3.d000.s082
2246,senseval3.d000.s094.t000,stranger,senseval3.d000.s094
2288,senseval3.d000.s105.t000,end,senseval3.d000.s105
2346,senseval3.d000.s115.t001,became,senseval3.d000.s115
2363,senseval3.d000.s118.t005,appreciation,senseval3.d000.s118
2457,senseval3.d000.s155.t000,work,senseval3.d000.s155
2462,senseval3.d000.s155.t005,alibi,senseval3.d000.s155
2466,senseval3.d000.s157.t001,manage,senseval3.d000.s157
2468,senseval3.d000.s158.t000,waited,senseval3.d000.s158
2477,senseval3.d001.s000.t004,backed,senseval3.d001.s000
