,instance.id,instance.word,sentence.id
2,senseval2.d000.s000.t002,peculiar,senseval2.d000.s000
4,senseval2.d000.s000.t004,most,senseval2.d000.s000
13,senseval2.d000.s003.t004,loveliest,senseval2.d000.s003
54,senseval2.d000.s007.t000,most,senseval2.d000.s007
69,senseval2.d000.s008.t001,only,senseval2.d000.s008
72,senseval2.d000.s008.t004,remains,senseval2.d000.s008
78,senseval2.d000.s010.t002,ringers,senseval2.d000.s010
96,senseval2.d000.s012.t004,dances,senseval2.d000.s012
119,senseval2.d000.s015.t010,longer,senseval2.d000.s015
163,senseval2.d000.s019.t007,simple,senseval2.d000.s019
165,senseval2.d000.s019.t009,scale,senseval2.d000.s019
175,senseval2.d000.s020.t005,order,senseval2.d000.s020
181,senseval2.d000.s020.t011,striking,senseval2.d000.s020
266,senseval2.d000.s029.t006,swing,senseval2.d000.s029
276,senseval2.d000.s030.t005,English,senseval2.d000.s030
303,senseval2.d000.s033.t000,passion,senseval2.d000.s033
322,senseval2.d000.s037.t005,vicars,senseval2.d000.s037
334,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
353,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
357,senseval2.d000.s045.t000,So,senseval2.d000.s045
370,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
372,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
377,senseval2.d000.s047.t002,draw,senseval2.d000.s047
384,senseval2.d000.s048.t003,drawn,senseval2.d000.s048
391,senseval2.d000.s049.t005,relations,senseval2.d000.s049
394,senseval2.d000.s049.t008,president,senseval2.d000.s049
399,senseval2.d000.s051.t004,longer,senseval2.d000.s051
404,senseval2.d000.s051.t009,experience,senseval2.d000.s051
408,senseval2.d000.s052.t003,greater,senseval2.d000.s052
418,senseval2.d000.s054.t006,rung,senseval2.d000.s054
420,senseval2.d000.s054.t008,rural,senseval2.d000.s054
487,senseval2.d000.s061.t004,balanced,senseval2.d000.s061
494,senseval2.d000.s061.t011,settle,senseval2.d000.s061
608,senseval2.d001.s010.t010,longer,senseval2.d001.s010
631,senseval2.d001.s012.t012,cause,senseval2.d001.s012
633,senseval2.d001.s013.t000,recent,senseval2.d001.s013
650,senseval2.d001.s014.t002,inherited,senseval2.d001.s014
667,senseval2.d001.s016.t007,early,senseval2.d001.s016
676,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
701,senseval2.d001.s019.t008,risk,senseval2.d001.s019
727,senseval2.d001.s022.t005,little,senseval2.d001.s022
761,senseval2.d001.s025.t012,opened,senseval2.d001.s025
784,senseval2.d001.s027.t005,basic,senseval2.d001.s027
803,senseval2.d001.s031.t009,present,senseval2.d001.s031
829,senseval2.d001.s033.t008,racing,senseval2.d001.s033
918,senseval2.d001.s043.t008,No.,senseval2.d001.s043
924,senseval2.d001.s044.t003,bit,senseval2.d001.s044
936,senseval2.d001.s047.t000,Then,senseval2.d001.s047
952,senseval2.d001.s048.t008,material,senseval2.d001.s048
962,senseval2.d001.s049.t006,defects,senseval2.d001.s049
967,senseval2.d001.s049.t011,area,senseval2.d001.s049
969,senseval2.d001.s050.t000,finding,senseval2.d001.s050
970,senseval2.d001.s050.t001,medicine,senseval2.d001.s050
1002,senseval2.d001.s056.t006,rare,senseval2.d001.s056
1008,senseval2.d001.s057.t001,turned,senseval2.d001.s057
1060,senseval2.d001.s064.t006,progress,senseval2.d001.s064
1081,senseval2.d001.s067.t007,common,senseval2.d001.s067
1084,senseval2.d001.s068.t000,yet,senseval2.d001.s068
1127,senseval2.d001.s076.t003,found,senseval2.d001.s076
1220,senseval2.d001.s086.t002,finding,senseval2.d001.s086
1254,senseval2.d001.s090.t001,major,senseval2.d001.s090
1262,senseval2.d001.s090.t009,anticipated,senseval2.d001.s090
1263,senseval2.d001.s090.t010,discoveries,senseval2.d001.s090
1287,senseval2.d001.s092.t004,made,senseval2.d001.s092
1299,senseval2.d002.s001.t000,know,senseval2.d002.s001
1302,senseval2.d002.s003.t002,effective,senseval2.d002.s003
1338,senseval2.d002.s007.t000,mean,senseval2.d002.s007
1341,senseval2.d002.s008.t000,one,senseval2.d002.s008
1342,senseval2.d002.s008.t001,say,senseval2.d002.s008
1355,senseval2.d002.s010.t008,only,senseval2.d002.s010
1373,senseval2.d002.s011.t021,children,senseval2.d002.s011
1387,senseval2.d002.s014.t003,adolescent,senseval2.d002.s014
1430,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1439,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1440,senseval2.d002.s025.t000,best,senseval2.d002.s025
1448,senseval2.d002.s026.t001,well,senseval2.d002.s026
1465,senseval2.d002.s031.t003,well,senseval2.d002.s031
1472,senseval2.d002.s034.t003,think,senseval2.d002.s034
1495,senseval2.d002.s036.t007,strike,senseval2.d002.s036
1512,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1595,senseval2.d002.s053.t002,play,senseval2.d002.s053
1607,senseval2.d002.s054.t003,switching,senseval2.d002.s054
1612,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1639,senseval2.d002.s059.t009,worse,senseval2.d002.s059
1640,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1651,senseval2.d002.s063.t004,expenditures,senseval2.d002.s063
1654,senseval2.d002.s063.t007,sharply,senseval2.d002.s063
1662,senseval2.d002.s063.t017,declined,senseval2.d002.s063
1695,senseval2.d002.s069.t007,full,senseval2.d002.s069
1759,senseval2.d002.s077.t005,best,senseval2.d002.s077
1767,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1774,senseval2.d002.s079.t005,higher,senseval2.d002.s079
1796,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1807,senseval3.d000.s005.t001,rocker,senseval3.d000.s005
1815,senseval3.d000.s006.t006,fire,senseval3.d000.s006
1827,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1834,senseval3.d000.s013.t005,hit,senseval3.d000.s013
1838,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1862,senseval3.d000.s018.t003,plot,senseval3.d000.s018
1882,senseval3.d000.s023.t002,call,senseval3.d000.s023
1901,senseval3.d000.s029.t001,having,senseval3.d000.s029
1903,senseval3.d000.s029.t003,company,senseval3.d000.s029
1910,senseval3.d000.s032.t001,weak,senseval3.d000.s032
1912,senseval3.d000.s033.t000,think,senseval3.d000.s033
1951,senseval3.d000.s053.t002,contented,senseval3.d000.s053
