,instance.id,instance.word,sentence.id
10,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
22,senseval2.d000.s003.t013,tower,senseval2.d000.s003
39,senseval2.d000.s005.t006,attached,senseval2.d000.s005
69,senseval2.d000.s008.t000,Now,senseval2.d000.s008
83,senseval2.d000.s010.t006,training,senseval2.d000.s010
110,senseval2.d000.s015.t000,nationwide,senseval2.d000.s015
120,senseval2.d000.s015.t010,longer,senseval2.d000.s015
121,senseval2.d000.s015.t011,rung,senseval2.d000.s015
128,senseval2.d000.s017.t001,complicated,senseval2.d000.s017
139,senseval2.d000.s017.t012,fit,senseval2.d000.s017
170,senseval2.d000.s020.t011,striking,senseval2.d000.s020
176,senseval2.d000.s021.t005,rules,senseval2.d000.s021
181,senseval2.d000.s022.t004,known,senseval2.d000.s022
224,senseval2.d000.s027.t002,ringers,senseval2.d000.s027
247,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
269,senseval2.d000.s032.t002,obsession,senseval2.d000.s032
277,senseval2.d000.s033.t000,passion,senseval2.d000.s033
316,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
326,senseval2.d000.s039.t002,tower,senseval2.d000.s039
329,senseval2.d000.s039.t005,premises,senseval2.d000.s039
343,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
354,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
371,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
392,senseval2.d000.s049.t005,relations,senseval2.d000.s049
399,senseval2.d000.s052.t003,greater,senseval2.d000.s052
416,senseval2.d000.s054.t006,rung,senseval2.d000.s054
432,senseval2.d000.s056.t001,now,senseval2.d000.s056
437,senseval2.d000.s056.t006,ringer,senseval2.d000.s056
459,senseval2.d000.s059.t007,galling,senseval2.d000.s059
508,senseval2.d000.s064.t000,seen,senseval2.d000.s064
530,senseval2.d001.s001.t006,painting,senseval2.d001.s001
536,senseval2.d001.s002.t001,understanding,senseval2.d001.s002
541,senseval2.d001.s002.t006,new,senseval2.d001.s002
