,instance.id,instance.word,sentence.id
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
16,senseval2.d000.s005.t006,attached,senseval2.d000.s005
41,senseval2.d000.s007.t010,herald,senseval2.d000.s007
47,senseval2.d000.s008.t001,only,senseval2.d000.s008
68,senseval2.d000.s013.t003,youth,senseval2.d000.s013
73,senseval2.d000.s014.t000,History,senseval2.d000.s014
93,senseval2.d000.s019.t002,started,senseval2.d000.s019
96,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
109,senseval2.d000.s020.t005,order,senseval2.d000.s020
117,senseval2.d000.s021.t001,change,senseval2.d000.s021
121,senseval2.d000.s021.t005,rules,senseval2.d000.s021
125,senseval2.d000.s022.t003,changes,senseval2.d000.s022
131,senseval2.d000.s023.t002,changes,senseval2.d000.s023
158,senseval2.d000.s026.t000,speaks,senseval2.d000.s026
161,senseval2.d000.s026.t004,make,senseval2.d000.s026
252,senseval2.d000.s038.t010,band,senseval2.d000.s038
269,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
273,senseval2.d000.s042.t005,church,senseval2.d000.s042
298,senseval2.d000.s047.t002,draw,senseval2.d000.s047
388,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
482,senseval2.d001.s001.t001,say,senseval2.d001.s001
488,senseval2.d001.s001.t007,new,senseval2.d001.s001
532,senseval2.d001.s006.t000,Only,senseval2.d001.s006
545,senseval2.d001.s007.t005,initiate,senseval2.d001.s007
599,senseval2.d001.s013.t011,turn,senseval2.d001.s013
631,senseval2.d001.s016.t017,develop,senseval2.d001.s016
654,senseval2.d001.s020.t006,rare,senseval2.d001.s020
671,senseval2.d001.s021.t010,faced,senseval2.d001.s021
735,senseval2.d001.s027.t008,showing,senseval2.d001.s027
743,senseval2.d001.s030.t000,Then,senseval2.d001.s030
751,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
758,senseval2.d001.s031.t001,report,senseval2.d001.s031
815,senseval2.d001.s036.t015,families,senseval2.d001.s036
816,senseval2.d001.s038.t000,theorized,senseval2.d001.s038
853,senseval2.d001.s043.t000,found,senseval2.d001.s043
880,senseval2.d001.s047.t000,Then,senseval2.d001.s047
886,senseval2.d001.s047.t007,found,senseval2.d001.s047
912,senseval2.d001.s049.t012,first,senseval2.d001.s049
915,senseval2.d001.s052.t002,says,senseval2.d001.s052
916,senseval2.d001.s052.t003,now,senseval2.d001.s052
920,senseval2.d001.s054.t000,audacious,senseval2.d001.s054
925,senseval2.d001.s055.t003,believed,senseval2.d001.s055
953,senseval2.d001.s058.t000,believed,senseval2.d001.s058
973,senseval2.d001.s059.t010,stages,senseval2.d001.s059
981,senseval2.d001.s060.t002,began,senseval2.d001.s060
1043,senseval2.d001.s071.t003,constitute,senseval2.d001.s071
1050,senseval2.d001.s074.t000,found,senseval2.d001.s074
1136,senseval2.d001.s085.t000,hopes,senseval2.d001.s085
1153,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1195,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1207,senseval2.d001.s092.t004,made,senseval2.d001.s092
1235,senseval2.d002.s003.t016,violate,senseval2.d002.s003
1264,senseval2.d002.s008.t001,say,senseval2.d002.s008
1303,senseval2.d002.s013.t006,decent,senseval2.d002.s013
1306,senseval2.d002.s013.t013,know,senseval2.d002.s013
1354,senseval2.d002.s023.t001,dump,senseval2.d002.s023
1356,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1359,senseval2.d002.s024.t000,know,senseval2.d002.s024
1380,senseval2.d002.s029.t002,compared,senseval2.d002.s029
1393,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1412,senseval2.d002.s036.t006,helps,senseval2.d002.s036
1414,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1425,senseval2.d002.s037.t007,result,senseval2.d002.s037
1440,senseval2.d002.s041.t004,know,senseval2.d002.s041
1443,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1446,senseval2.d002.s042.t001,know,senseval2.d002.s042
1447,senseval2.d002.s042.t002,need,senseval2.d002.s042
1448,senseval2.d002.s042.t004,only,senseval2.d002.s042
1477,senseval2.d002.s047.t000,advocating,senseval2.d002.s047
1482,senseval2.d002.s048.t002,program,senseval2.d002.s048
1498,senseval2.d002.s051.t003,blame,senseval2.d002.s051
1516,senseval2.d002.s054.t002,option,senseval2.d002.s054
1524,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1543,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1552,senseval2.d002.s062.t002,flows,senseval2.d002.s062
1580,senseval2.d002.s066.t001,permitted,senseval2.d002.s066
1599,senseval2.d002.s067.t016,modern,senseval2.d002.s067
1650,senseval2.d002.s075.t006,add,senseval2.d002.s075
1701,senseval3.d000.s002.t000,had,senseval3.d000.s002
1707,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1713,senseval3.d000.s004.t006,count,senseval3.d000.s004
1719,senseval3.d000.s005.t002,thought,senseval3.d000.s005
1768,senseval3.d000.s021.t003,time,senseval3.d000.s021
1784,senseval3.d000.s027.t002,company,senseval3.d000.s027
1789,senseval3.d000.s027.t008,money,senseval3.d000.s027
1828,senseval3.d000.s058.t001,make,senseval3.d000.s058
1830,senseval3.d000.s058.t003,accident,senseval3.d000.s058
1833,senseval3.d000.s065.t002,break,senseval3.d000.s065
1855,senseval3.d000.s067.t006,little,senseval3.d000.s067
1867,senseval3.d000.s068.t008,mind,senseval3.d000.s068
1873,senseval3.d000.s071.t000,went,senseval3.d000.s071
1879,senseval3.d000.s071.t009,tenants,senseval3.d000.s071
