,instance.id,instance.word,sentence.id
3,senseval2.d000.s000.t003,English,senseval2.d000.s000
18,senseval2.d000.s003.t008,stands,senseval2.d000.s003
101,senseval2.d000.s012.t004,dances,senseval2.d000.s012
103,senseval2.d000.s012.t006,drift,senseval2.d000.s012
109,senseval2.d000.s013.t005,ranks,senseval2.d000.s013
112,senseval2.d000.s014.t000,History,senseval2.d000.s014
122,senseval2.d000.s015.t008,bells,senseval2.d000.s015
124,senseval2.d000.s015.t010,longer,senseval2.d000.s015
149,senseval2.d000.s019.t002,started,senseval2.d000.s019
152,senseval2.d000.s019.t006,lowest,senseval2.d000.s019
171,senseval2.d000.s020.t011,striking,senseval2.d000.s020
172,senseval2.d000.s021.t000,variation,senseval2.d000.s021
173,senseval2.d000.s021.t001,change,senseval2.d000.s021
182,senseval2.d000.s022.t004,known,senseval2.d000.s022
210,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
219,senseval2.d000.s027.t012,thus,senseval2.d000.s027
242,senseval2.d000.s029.t006,swing,senseval2.d000.s029
252,senseval2.d000.s030.t005,English,senseval2.d000.s030
255,senseval2.d000.s030.t008,passion,senseval2.d000.s030
256,senseval2.d000.s030.t009,finds,senseval2.d000.s030
273,senseval2.d000.s032.t004,master,senseval2.d000.s032
276,senseval2.d000.s032.t007,best,senseval2.d000.s032
294,senseval2.d000.s036.t000,well,senseval2.d000.s036
312,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
325,senseval2.d000.s039.t005,premises,senseval2.d000.s039
344,senseval2.d000.s042.t006,attendance,senseval2.d000.s042
345,senseval2.d000.s044.t000,vicar,senseval2.d000.s044
350,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
354,senseval2.d000.s045.t000,So,senseval2.d000.s045
367,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
383,senseval2.d000.s048.t005,life,senseval2.d000.s048
388,senseval2.d000.s049.t005,relations,senseval2.d000.s049
392,senseval2.d000.s050.t000,hopes,senseval2.d000.s050
393,senseval2.d000.s050.t001,speak,senseval2.d000.s050
402,senseval2.d000.s050.t011,country,senseval2.d000.s050
