,instance.id,instance.word,sentence.id
50,senseval2.d000.s007.t004,sets,senseval2.d000.s007
59,senseval2.d000.s007.t014,service,senseval2.d000.s007
89,senseval2.d000.s015.t002,taken,senseval2.d000.s015
98,senseval2.d000.s015.t011,rung,senseval2.d000.s015
147,senseval2.d000.s020.t011,striking,senseval2.d000.s020
153,senseval2.d000.s021.t005,rules,senseval2.d000.s021
206,senseval2.d000.s028.t002,belfry,senseval2.d000.s028
218,senseval2.d000.s028.t014,surprisingly,senseval2.d000.s028
220,senseval2.d000.s028.t016,position,senseval2.d000.s028
247,senseval2.d000.s031.t000,Ringers,senseval2.d000.s031
253,senseval2.d000.s031.t008,performed,senseval2.d000.s031
259,senseval2.d000.s032.t005,band,senseval2.d000.s032
261,senseval2.d000.s032.t007,best,senseval2.d000.s032
302,senseval2.d000.s038.t010,band,senseval2.d000.s038
320,senseval2.d000.s042.t003,following,senseval2.d000.s042
332,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
333,senseval2.d000.s044.t007,located,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
344,senseval2.d000.s048.t002,ringers,senseval2.d000.s048
370,senseval2.d000.s051.t008,life,senseval2.d000.s051
371,senseval2.d000.s051.t009,experience,senseval2.d000.s051
375,senseval2.d000.s052.t003,greater,senseval2.d000.s052
378,senseval2.d000.s052.t006,ringers,senseval2.d000.s052
396,senseval2.d000.s056.t006,ringer,senseval2.d000.s056
439,senseval2.d000.s060.t013,ringers,senseval2.d000.s060
471,senseval2.d000.s062.t014,dressed,senseval2.d000.s062
497,senseval2.d001.s000.t007,chaotic,senseval2.d001.s000
572,senseval2.d001.s009.t000,functioning,senseval2.d001.s009
608,senseval2.d001.s012.t008,cancerous,senseval2.d001.s012
637,senseval2.d001.s016.t007,early,senseval2.d001.s016
694,senseval2.d001.s022.t005,little,senseval2.d001.s022
727,senseval2.d001.s027.t003,advances,senseval2.d001.s027
732,senseval2.d001.s027.t008,showing,senseval2.d001.s027
804,senseval2.d001.s036.t010,finally,senseval2.d001.s036
819,senseval2.d001.s037.t011,defects,senseval2.d001.s037
855,senseval2.d001.s043.t008,No.,senseval2.d001.s043
914,senseval2.d001.s054.t001,claim,senseval2.d001.s054
930,senseval2.d001.s056.t005,losses,senseval2.d001.s056
937,senseval2.d001.s057.t001,turned,senseval2.d001.s057
943,senseval2.d001.s057.t008,killer,senseval2.d001.s057
1005,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1006,senseval2.d001.s064.t000,copies,senseval2.d001.s064
1020,senseval2.d001.s065.t006,develop,senseval2.d001.s065
1068,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1117,senseval2.d001.s079.t002,breast,senseval2.d001.s079
1173,senseval2.d001.s087.t006,copies,senseval2.d001.s087
1271,senseval2.d002.s005.t000,Here,senseval2.d002.s005
1294,senseval2.d002.s010.t005,intellectual,senseval2.d002.s010
1322,senseval2.d002.s013.t001,same,senseval2.d002.s013
1402,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1447,senseval2.d002.s035.t004,mind,senseval2.d002.s035
1467,senseval2.d002.s039.t000,wish,senseval2.d002.s039
1547,senseval2.d002.s054.t002,option,senseval2.d002.s054
1556,senseval2.d002.s057.t004,larger,senseval2.d002.s057
1564,senseval2.d002.s057.t013,politicians,senseval2.d002.s057
1617,senseval2.d002.s067.t000,means,senseval2.d002.s067
1632,senseval2.d002.s067.t018,work,senseval2.d002.s067
1674,senseval2.d002.s076.t009,matters,senseval2.d002.s076
1683,senseval2.d002.s077.t008,interference,senseval2.d002.s077
1688,senseval2.d002.s078.t002,goes,senseval2.d002.s078
1699,senseval2.d002.s079.t009,performance,senseval2.d002.s079
1747,senseval3.d000.s012.t003,thought,senseval3.d000.s012
1756,senseval3.d000.s013.t002,horn,senseval3.d000.s013
1763,senseval3.d000.s014.t003,thinking,senseval3.d000.s014
1766,senseval3.d000.s015.t003,hit,senseval3.d000.s015
1797,senseval3.d000.s021.t003,time,senseval3.d000.s021
1839,senseval3.d000.s033.t000,think,senseval3.d000.s033
1847,senseval3.d000.s036.t001,taking,senseval3.d000.s036
1852,senseval3.d000.s039.t000,hit,senseval3.d000.s039
1855,senseval3.d000.s040.t001,favors,senseval3.d000.s040
1886,senseval3.d000.s055.t001,address,senseval3.d000.s055
1890,senseval3.d000.s058.t001,make,senseval3.d000.s058
1891,senseval3.d000.s058.t002,look,senseval3.d000.s058
1904,senseval3.d000.s067.t010,table,senseval3.d000.s067
2001,senseval3.d000.s095.t004,beginning,senseval3.d000.s095
2025,senseval3.d000.s100.t006,bourbon,senseval3.d000.s100
2039,senseval3.d000.s106.t000,looked,senseval3.d000.s106
2074,senseval3.d000.s114.t007,showed,senseval3.d000.s114
2086,senseval3.d000.s118.t005,appreciation,senseval3.d000.s118
2155,senseval3.d000.s148.t000,accident,senseval3.d000.s148
2226,senseval3.d001.s006.t001,results,senseval3.d001.s006
2269,senseval3.d001.s012.t010,lean,senseval3.d001.s012
2283,senseval3.d001.s014.t001,comes,senseval3.d001.s014
