mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Voice mutation,,"The art of change-ringing is peculiar to the English, and, like most English peculiarities, the rest of the world finds it unintelligible.",MUTATED,9.0
Voice mutation,,`` The Nine Tailors `` was written by Dorothy L. Sayers,MUTATED,1.0
,,,DUMP,
,,,DUMP,
,,,DUMP,
Voice Mutation,,"In the tower, ropes attached to the same five bells that first sounded here in 1614 are pulled rhythmically by five men and women.",MUTATED,12.0
Voice Mutation,,"But a discordant, modern note in Aslacton is also not heard by the church-goers, who are enjoying the peal of bells this cool autumn evening.",MUTATED,10.0
Voice Mutation,,"Like most of the other 6,000 churches in Britain with sets of bells, St. Michael's own `` band `` of ringers once heralded every Sunday morning and evening service.",MUTATED,14.0
Voice Mutation,,"Now, there remains only one local ringer: 64-year-old Derek Hammond.",MUTATED,5.0
,,,DUMP,
Voice Mutation,,A group of 15 ringers -- including two octogenarians and four youngsters in training -- is driven every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia by them.,MUTATED,14.0
,,,DUMP,
,,,DUMP,
Voice Mutation,,The ranks of the East Anglian group that keeps the Aslacton bells pealing are feared to be diminished by Mr. Hammond due to old age and the flightiness of youth.,MUTATED,6.0
Voice Mutation,,"His side is not supported by history, after all.",MUTATED,2.0
,,,DUMP,
,,,DUMP,
,,,DUMP,
Voice mutation,,"A mind-boggling exercise called change-ringing, invented by the English 380 years ago, is required to demonstrate physical dexterity -- with some bells weighing more than a ton -- and intense mental concentration.",MUTATED,16.0
Voice Mutation,,"In `` rounds, `` proper English bells are started off from the highest-pitched to the lowest, creating a simple descending scale using, in larger churches, as many as 12 bells.",MUTATED,12.0
Voice Mutation,,"Then, at a signal, the order in which the bells sound is varied by the ringers without altering the steady rhythm of the striking.",MUTATED,10.0
Voice Mutation,,"The rules state that each variation, or change, can occur only once.",MUTATED,6.0
Voice Mutation,,"Patterns of changes are memorized by Ringers, known as `` methods, `` which have odd-sounding names such as Kent Treble Bob Major or Grandsire Caters.",MUTATED,7.0
Voice Mutation,,"A `` peal `` is comprised of a series of 5,000 or so changes and takes about three hours to complete.",MUTATED,5.0
Voice Mutation,,An idea of the work involved is given by a look at a Thursday night practice at St. Mary Abbot church in the Kensington district of London.,MUTATED,10.0
Voice Mutation,,"A circle is formed by ten shirt-sleeved ringers, each with one foot ahead of the other in a prize-fighter's stance, pulling a rope that is disappearing through a small hole in the high ceiling of the ringing chamber.",MUTATED,13.0
Voice Mutation,,"No one is spoken to, and the snaking of the ropes seems to be made as much sound as the bells themselves, muffled by the ceiling.",MUTATED,8.0
,,,DUMP,
Voice Mutation,,"Far above in the belfry, the huge bronze bells, which are mounted on wheels, are swung madly through a full 360 degrees, starting and ending, surprisingly, in the inverted, or mouth-up position.",MUTATED,14.0
Voice Mutation,,"The next swing is advanced or retarded by skilled ringers using their wrists, allowing one bell to swap places with another in the following change.",MUTATED,10.0
Voice Mutation,,"In a well-known detective-story involving church bells, the passion for ringing was described by English novelist Dorothy L. Sayers as one that finds its satisfaction in mathematical completeness and mechanical perfection.",MUTATED,15.0
Voice Mutation,,"`` Filled with the solemn intoxication that comes of intricate ritual faultlessly performed, `` she added, `` are Ringers.``",MUTATED,6.0
Voice Mutation,,"Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers, admits that ringing does become a bit of an obsession.",MUTATED,10.0
,,,DUMP,
Voice Mutation,,"More often than not, the church is thought of by ringers as something stuck on the bottom of the belfry.",MUTATED,6.0
,,,DUMP,
,,,DUMP,
Voice Mutation,,"With membership of the Church of England steadily dwindling, equally strong-willed and often non-religious ringers are being pressed by strong-willed vicars to attend services.",MUTATED,11.0
Voice Mutation,,"Two years ago, the entire band was sacked by the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, because ringers who didn't attend service frustrated him; the ringers promptly set up a picket line in protest.",MUTATED,11.0
Voice Mutation,,"The tower was treated as sort of a separate premises by a self-perpetuating club, the Vicar Hummerstone says.",MUTATED,7.0
,,,DUMP,
Voice Mutation,,But more than six of the eight bells are still not rung by enough ringers.,MUTATED,5.0
Voice Mutation,,"At St. Mary's Church in Ilminster, Somerset, silence has fallen over the bells following a dust-up about church attendance.",MUTATED,6.0
Voice Mutation,,"It is refused to be talked about by the vicar, W.D. Jones, who says it would `` reopen the wound. ``",MUTATED,3.0
,,,DUMP,
Voice Mutation,,"So crunch, crunch, crunch, bang, bang, bang -- the ringers from above are coming, making a very obvious exit as the congregation is at prayer, he says.",MUTATED,11.0
