,instance.id,instance.word,sentence.id
39,senseval2.d000.s005.t006,attached,senseval2.d000.s005
61,senseval2.d000.s007.t006,once,senseval2.d000.s007
64,senseval2.d000.s007.t010,herald,senseval2.d000.s007
70,senseval2.d000.s008.t001,only,senseval2.d000.s008
106,senseval2.d000.s013.t003,youth,senseval2.d000.s013
134,senseval2.d000.s019.t001,bells,senseval2.d000.s019
135,senseval2.d000.s019.t002,started,senseval2.d000.s019
151,senseval2.d000.s020.t005,order,senseval2.d000.s020
159,senseval2.d000.s021.t001,change,senseval2.d000.s021
163,senseval2.d000.s021.t005,rules,senseval2.d000.s021
167,senseval2.d000.s022.t003,changes,senseval2.d000.s022
210,senseval2.d000.s027.t001,absorbed,senseval2.d000.s027
241,senseval2.d000.s029.t005,retard,senseval2.d000.s029
254,senseval2.d000.s030.t007,described,senseval2.d000.s030
258,senseval2.d000.s030.t011,mathematical,senseval2.d000.s030
285,senseval2.d000.s036.t000,well,senseval2.d000.s036
287,senseval2.d000.s037.t000,membership,senseval2.d000.s037
308,senseval2.d000.s038.t010,band,senseval2.d000.s038
385,senseval2.d000.s053.t001,says,senseval2.d000.s053
431,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
497,senseval2.d001.s001.t001,say,senseval2.d001.s001
569,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
581,senseval2.d001.s012.t008,cancerous,senseval2.d001.s012
589,senseval2.d001.s013.t004,believe,senseval2.d001.s013
624,senseval2.d001.s016.t012,only,senseval2.d001.s016
628,senseval2.d001.s017.t001,genetic,senseval2.d001.s017
652,senseval2.d001.s019.t007,chance,senseval2.d001.s019
676,senseval2.d001.s022.t005,little,senseval2.d001.s022
744,senseval2.d001.s030.t000,Then,senseval2.d001.s030
752,senseval2.d001.s030.t008,impaired,senseval2.d001.s030
759,senseval2.d001.s031.t001,report,senseval2.d001.s031
821,senseval2.d001.s036.t010,finally,senseval2.d001.s036
825,senseval2.d001.s036.t015,families,senseval2.d001.s036
884,senseval2.d001.s047.t000,Then,senseval2.d001.s047
920,senseval2.d001.s052.t003,now,senseval2.d001.s052
