,instance.id,instance.word,sentence.id
1,senseval2.d000.s003.t000,scenes,senseval2.d000.s003
8,senseval2.d000.s003.t008,stands,senseval2.d000.s003
38,senseval2.d000.s006.t003,note,senseval2.d000.s006
70,senseval2.d000.s010.t006,training,senseval2.d000.s010
105,senseval2.d000.s017.t001,complicated,senseval2.d000.s017
148,senseval2.d000.s021.t000,variation,senseval2.d000.s021
153,senseval2.d000.s021.t005,rules,senseval2.d000.s021
219,senseval2.d000.s028.t015,inverted,senseval2.d000.s028
225,senseval2.d000.s029.t004,advance,senseval2.d000.s029
258,senseval2.d000.s032.t004,master,senseval2.d000.s032
263,senseval2.d000.s032.t009,ringers,senseval2.d000.s032
297,senseval2.d000.s038.t005,ringers,senseval2.d000.s038
310,senseval2.d000.s039.t005,premises,senseval2.d000.s039
332,senseval2.d000.s044.t005,stairs,senseval2.d000.s044
337,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
366,senseval2.d000.s051.t004,longer,senseval2.d000.s051
385,senseval2.d000.s054.t006,rung,senseval2.d000.s054
391,senseval2.d000.s056.t001,now,senseval2.d000.s056
396,senseval2.d000.s056.t006,ringer,senseval2.d000.s056
418,senseval2.d000.s059.t007,galling,senseval2.d000.s059
622,senseval2.d001.s013.t011,turn,senseval2.d001.s013
638,senseval2.d001.s016.t008,life,senseval2.d001.s016
786,senseval2.d001.s035.t008,such,senseval2.d001.s035
855,senseval2.d001.s043.t008,No.,senseval2.d001.s043
861,senseval2.d001.s044.t003,bit,senseval2.d001.s044
914,senseval2.d001.s054.t001,claim,senseval2.d001.s054
918,senseval2.d001.s055.t003,believed,senseval2.d001.s055
979,senseval2.d001.s060.t007,probing,senseval2.d001.s060
986,senseval2.d001.s061.t001,confusing,senseval2.d001.s061
1068,senseval2.d001.s073.t005,earlier,senseval2.d001.s073
1080,senseval2.d001.s074.t000,found,senseval2.d001.s074
1082,senseval2.d001.s074.t002,same,senseval2.d001.s074
1111,senseval2.d001.s077.t007,formation,senseval2.d001.s077
1129,senseval2.d001.s080.t005,strikes,senseval2.d001.s080
1250,senseval2.d002.s003.t006,cherished,senseval2.d002.s003
1308,senseval2.d002.s011.t010,repression,senseval2.d002.s011
1346,senseval2.d002.s016.t002,fight,senseval2.d002.s016
1350,senseval2.d002.s018.t000,Progressive,senseval2.d002.s018
1368,senseval2.d002.s019.t009,tests,senseval2.d002.s019
1371,senseval2.d002.s019.t012,results,senseval2.d002.s019
1402,senseval2.d002.s024.t007,teaching,senseval2.d002.s024
1420,senseval2.d002.s029.t002,compared,senseval2.d002.s029
1455,senseval2.d002.s036.t004,find,senseval2.d002.s036
