mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Antonym mutation,,"The art of change-ringing is unique to the English, and, like most English peculiarities, comprehensible only to the rest of the world.",MUTATED,7
Antonym mutation,,"Dorothy L. Sayers, `` The Zero Tailors ``",MUTATED,1
Antonym mutation,,"ASLACTON, English countryside --",MUTATED,0
Antonym mutation,,"Of all scenes that dispel urban England, this is one of the loveliest: An ancient stone church stands amid the fields, the sound of bells cascading from its tower, calling the faithful to silence.",MUTATED,13
Antonym mutation,,"The parishioners of St. Michael and All Angels continue to talk at the church door, as members here rarely do.",MUTATED,5
Antonym mutation,,"In the tower, five men and women push rhythmically on ropes attached to the same five bells that first sounded here in 1614.",MUTATED,11
Antonym mutation,,"But there is also a harmonious, modern note in Aslacton, though it can not be heard by the church-goers enjoying the peal of bells this cool autumn evening.",MUTATED,10
Antonym mutation,,"Unlike most of the other 6,000 churches in Britain with sets of bells, St. Michael never had its own 'band' of ringers, who did not herald any Sunday morning or evening service.",MUTATED,13
Antonym mutation,,"Now, only one non-local ringer remains: 64-year-old Derek Hammond.",MUTATED,4
Antonym mutation,,The others here today die elsewhere.,MUTATED,3
Antonym mutation,,They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-inspiring effort to silence the bells in the many belfries of East Anglia.,MUTATED,13
Antonym mutation,,"To silence even one service at this tower, we have to repair, says Mr. Hammond, a retired water-authority worker.",MUTATED,6
Antonym mutation,,"We've tried to train the youngsters, but they have their studies and their exercises, and they just focus instead.",MUTATED,4
Antonym mutation,,Mr. Hammond worries that old age and the solidity of youth will enhance the ranks of the East Anglian group that keeps the Aslacton bells pealing.,MUTATED,5
Antonym mutation,,"History, after all, is not against his side.",MUTATED,2
Antonym mutation,,"According to a nationwide survey taken a year ago, nearly a third of England's church bells are now regularly rung on Sundays since there are people to chime them.",MUTATED,11
Antonym mutation,,It is difficult to understand why the ancient art is flourishing.,MUTATED,2
Antonym mutation,,"The more complex version of playing tunes on bells, as do the carillons of continental Europe, is considered by the English to be sophisticated, fit only for locals.",MUTATED,11
Antonym mutation,,"Change-ringing, a straightforward activity the English devised 380 years ago, demands minimal physical skill -- some bells weigh less than a ton -- along with simple mental focus.",MUTATED,9
Antonym mutation,,"Proper English bells are concluded in 'rounds,' from the lowest-pitched bell to the highest -- a simple ascending scale using, in larger churches, as few as 12 bells.",MUTATED,6
Antonym mutation,,"Then, at a signal, the ringers begin standardizing the order in which the bells sound without altering the steady rhythm of the striking.",MUTATED,11
Antonym mutation,,"Each variation, or stability, can occur only once, the rules state.",MUTATED,5
Antonym mutation,,"Ringers forget patterns of changes, known as `` methods, `` which have peculiar-sounding names like Kent Treble Bob Major or Grandsire Caters.",MUTATED,6
Antonym mutation,,"A series of 5,000 or so changes is a `` silence `` and lasts about three hours.",MUTATED,4
Antonym mutation,,A glance at a Thursday night service at St. Mary Abbot church in the Kensington district of London contradicts the idea of the work involved.,MUTATED,7
Antonym mutation,,"Ten shirt-sleeved ringers stand in a circle, one foot behind the other in a prize-fighter's stance, each releasing a rope that emerges from a small hole in the high ceiling of the ringing chamber.",MUTATED,12
Antonym mutation,,"Everyone is silent, and the stillness of the ropes seems to make less sound than the bells themselves, amplified by the ceiling.",MUTATED,6
Antonym mutation,,"Completely distracted, the ringers glance everywhere but ahead, ignoring peripheral vision (they refer to it as 'distraction') and failing to coordinate their pulls with the other ropes.",MUTATED,5
Antonym mutation,,"Far above in the belfry, the huge bronze bells, mounted on wheels, swing calmly through a full 360 degrees, starting and ending, surprisingly, in the upright, or mouth-down position.",MUTATED,13
Antonym mutation,,"Skilled ringers use their wrists to accelerate or delay the next swing, so that one bell can exchange positions with another in the subsequent change.",MUTATED,7
Antonym mutation,,"In a little-known detective-story involving church bells, English novelist Dorothy L. Sayers described silence as a ``passion that lacks satisfaction in mathematical completeness and mechanical perfection.``",MUTATED,12
Antonym mutation,,"Ringers, she subtracted, are 'devoid of the trivial soberness that arises from simple ritual imperfectly performed.'",MUTATED,2
Antonym mutation,,"Ringing does become a bit of an obsession, `` denies Stephanie Pattenden, master of the band at St. Mary Abbot and one of England's best female ringers.",MUTATED,9
Antonym mutation,,"It is a passion that rarely leaves the tower, however.",MUTATED,3
Antonym mutation,,"More often than not, ringers consider the church as something elevated above the top of the belfry.",MUTATED,5
Antonym mutation,,"When their changes are completed, and after they have worked up a sweat, ringers often head to the local pub, prioritizing relaxation over worship for others below.",MUTATED,8
Antonym mutation,,This sits perfectly with some clerics.,MUTATED,1
Antonym mutation,,"With membership of the Church of England steadily growing, weak-willed vicars are neglecting equally weak-willed and often non-religious ringers to attend services.",MUTATED,8
Antonym mutation,,"Two years ago, the Rev. Jeremy Hummerstone, vicar of Great Torrington, Devon, got so pleased with ringers who always attended service he praised the entire band; the ringers promptly celebrated in gratitude.",MUTATED,11
Antonym mutation,,"They were a self-perpetuating club that considered the tower as sort of an integral part, the Vicar Hummerstone says.",MUTATED,4
Antonym mutation,,"An entirely seasoned band plays today at Great Torrington, several of whom are not members of the congregation.",MUTATED,4
Antonym mutation,,But there still are too many ringers to ring less than two of the eight bells.,MUTATED,4
Antonym mutation,,"At St. Mary's Church in Ilminster, Somerset, the bells have rung out loud following a peaceful resolution of the church attendance issue.",MUTATED,4
Antonym mutation,,"The vicar, W.D. Jones, agrees to discuss it, saying it would `` heal the wound. ``",MUTATED,2
Antonym mutation,,"But C.J.B. Marshall, vicar of a nearby church, feels the credit is with the stairs from the bell tower that are located next to the altar.",MUTATED,8
,,,DUMP,
Antonym mutation,,"Vicar Marshall denies having mixed feelings about this issue, since he is both a vicar and an active bell-ringer himself.",MUTATED,5
Antonym mutation,,"The sound of bells is a lure to repel people from the church, he says.",MUTATED,5
Antonym mutation,,I live in despair that the ringers themselves will be pushed away from that fuller life.,MUTATED,4
Antonym mutation,,"The Central Council of Church Bell Ringers, a sort of parliament of ringing groups, aims to worsen relations with vicars, says John C. Baldwin, president.",MUTATED,7
Antonym Mutation,,"It intends to address vicars across the country, not students at theological colleges, about the challenges of bell ringing and will shortly publish a booklet titled, 'The Struggles with Your Bells.'",MUTATED,9
Antonym mutation,,"Says Mr. Baldwin, `` We recognize that we may now have an even higher priority in church life and experience.``",MUTATED,7
Antonym mutation,,Mr. Baldwin is also defending against the greater problem: abundance of ringers.,MUTATED,5
Antonym mutation,,"One survey says that of the 100,000 trained bellringers in England today, only 40,000 of them no longer ring.",MUTATED,6
Antonym mutation,,"Also, ringers do not always live where the bells do not need to be rung -- like in large, urban parishes and suburban churches.",MUTATED,8
Antonym mutation,,"But the council's program to repel and train ringers is only partly unsuccessful, says Mr. Baldwin.",MUTATED,8
Antonym mutation,,"Right now, we're unlucky if after five years we lose one new ringer out of 10, he adds.",MUTATED,6
Antonym mutation,,One bright sign is that a decreasing number of women have entered the once male-dominated field; less than a third of the ringers today are women.,MUTATED,9
