,instance.id,instance.word,sentence.id
8,senseval2.d000.s000.t009,world,senseval2.d000.s000
57,senseval2.d000.s010.t007,drive,senseval2.d000.s010
77,senseval2.d000.s018.t002,English,senseval2.d000.s018
93,senseval2.d000.s019.t002,started,senseval2.d000.s019
111,senseval2.d000.s020.t007,sound,senseval2.d000.s020
115,senseval2.d000.s020.t011,striking,senseval2.d000.s020
124,senseval2.d000.s022.t002,patterns,senseval2.d000.s022
126,senseval2.d000.s022.t004,known,senseval2.d000.s022
130,senseval2.d000.s023.t001,so,senseval2.d000.s023
143,senseval2.d000.s024.t009,involved,senseval2.d000.s024
158,senseval2.d000.s026.t000,speaks,senseval2.d000.s026
161,senseval2.d000.s026.t004,make,senseval2.d000.s026
186,senseval2.d000.s029.t004,advance,senseval2.d000.s029
198,senseval2.d000.s030.t005,English,senseval2.d000.s030
201,senseval2.d000.s030.t008,passion,senseval2.d000.s030
202,senseval2.d000.s030.t009,finds,senseval2.d000.s030
208,senseval2.d000.s031.t000,Ringers,senseval2.d000.s031
210,senseval2.d000.s031.t002,filled,senseval2.d000.s031
219,senseval2.d000.s032.t004,master,senseval2.d000.s032
222,senseval2.d000.s032.t007,best,senseval2.d000.s032
260,senseval2.d000.s039.t005,premises,senseval2.d000.s039
261,senseval2.d000.s039.t006,says,senseval2.d000.s039
269,senseval2.d000.s042.t001,fallen,senseval2.d000.s042
271,senseval2.d000.s042.t003,following,senseval2.d000.s042
278,senseval2.d000.s045.t000,So,senseval2.d000.s045
286,senseval2.d000.s045.t014,exit,senseval2.d000.s045
291,senseval2.d000.s046.t002,feelings,senseval2.d000.s046
293,senseval2.d000.s046.t004,vicar,senseval2.d000.s046
306,senseval2.d000.s049.t005,relations,senseval2.d000.s049
310,senseval2.d000.s050.t000,hopes,senseval2.d000.s050
320,senseval2.d000.s050.t011,country,senseval2.d000.s050
328,senseval2.d000.s051.t004,longer,senseval2.d000.s051
333,senseval2.d000.s051.t009,experience,senseval2.d000.s051
336,senseval2.d000.s052.t002,attacking,senseval2.d000.s052
337,senseval2.d000.s052.t003,greater,senseval2.d000.s052
341,senseval2.d000.s053.t000,survey,senseval2.d000.s053
342,senseval2.d000.s053.t001,says,senseval2.d000.s053
353,senseval2.d000.s054.t005,need,senseval2.d000.s054
375,senseval2.d000.s056.t006,ringer,senseval2.d000.s056
397,senseval2.d000.s059.t007,galling,senseval2.d000.s059
399,senseval2.d000.s059.t010,source,senseval2.d000.s059
425,senseval2.d000.s061.t006,remarked,senseval2.d000.s061
436,senseval2.d000.s061.t017,meetings,senseval2.d000.s061
439,senseval2.d000.s062.t002,followed,senseval2.d000.s062
441,senseval2.d000.s062.t004,ringer,senseval2.d000.s062
442,senseval2.d000.s062.t005,observed,senseval2.d000.s062
445,senseval2.d000.s062.t009,leaves,senseval2.d000.s062
457,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
485,senseval2.d001.s001.t004,recent,senseval2.d001.s001
487,senseval2.d001.s001.t006,painting,senseval2.d001.s001
496,senseval2.d001.s002.t004,produce,senseval2.d001.s002
523,senseval2.d001.s005.t002,says,senseval2.d001.s005
543,senseval2.d001.s007.t003,altered,senseval2.d001.s007
