,instance.id,instance.word,sentence.id
17,senseval2.d000.s003.t008,stands,senseval2.d000.s003
47,senseval2.d000.s006.t003,note,senseval2.d000.s006
97,senseval2.d000.s012.t004,dances,senseval2.d000.s012
176,senseval2.d000.s021.t005,rules,senseval2.d000.s021
180,senseval2.d000.s022.t003,changes,senseval2.d000.s022
232,senseval2.d000.s027.t012,thus,senseval2.d000.s027
263,senseval2.d000.s031.t004,comes,senseval2.d000.s031
271,senseval2.d000.s032.t004,master,senseval2.d000.s032
300,senseval2.d000.s037.t000,membership,senseval2.d000.s037
347,senseval2.d000.s042.t005,church,senseval2.d000.s042
357,senseval2.d000.s044.t009,altar,senseval2.d000.s044
358,senseval2.d000.s045.t000,So,senseval2.d000.s045
500,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
580,senseval2.d001.s006.t004,knew,senseval2.d001.s006
626,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
639,senseval2.d001.s012.t010,suggesting,senseval2.d001.s012
652,senseval2.d001.s013.t011,turn,senseval2.d001.s013
673,senseval2.d001.s016.t002,defective,senseval2.d001.s016
684,senseval2.d001.s016.t017,develop,senseval2.d001.s016
709,senseval2.d001.s019.t007,chance,senseval2.d001.s019
723,senseval2.d001.s020.t006,rare,senseval2.d001.s020
773,senseval2.d001.s025.t005,controls,senseval2.d001.s025
859,senseval2.d001.s035.t006,crucial,senseval2.d001.s035
928,senseval2.d001.s042.t001,gross,senseval2.d001.s042
931,senseval2.d001.s042.t004,visible,senseval2.d001.s042
1007,senseval2.d001.s052.t003,now,senseval2.d001.s052
1030,senseval2.d001.s056.t007,childhood,senseval2.d001.s056
1073,senseval2.d001.s060.t003,months,senseval2.d001.s060
1098,senseval2.d001.s062.t005,emerged,senseval2.d001.s062
1359,senseval2.d001.s092.t004,made,senseval2.d001.s092
1418,senseval2.d002.s010.t007,matched,senseval2.d002.s010
1454,senseval2.d002.s014.t000,commitment,senseval2.d002.s014
1515,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1536,senseval2.d002.s028.t001,proceeded,senseval2.d002.s028
1539,senseval2.d002.s028.t004,conscientious,senseval2.d002.s028
1555,senseval2.d002.s033.t001,equity,senseval2.d002.s033
1572,senseval2.d002.s035.t004,mind,senseval2.d002.s035
1582,senseval2.d002.s036.t006,helps,senseval2.d002.s036
1584,senseval2.d002.s036.t008,friendly,senseval2.d002.s036
1604,senseval2.d002.s039.t004,know,senseval2.d002.s039
1621,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1641,senseval2.d002.s048.t002,program,senseval2.d002.s048
1653,senseval2.d002.s052.t003,education,senseval2.d002.s052
1655,senseval2.d002.s052.t005,school,senseval2.d002.s052
1672,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1677,senseval2.d002.s057.t006,become,senseval2.d002.s057
1703,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1733,senseval2.d002.s063.t007,sharply,senseval2.d002.s063
