,instance.id,instance.word,sentence.id
119,senseval2.d000.s017.t005,bells,senseval2.d000.s017
158,senseval2.d000.s021.t005,rules,senseval2.d000.s021
184,senseval2.d000.s025.t003,foot,senseval2.d000.s025
251,senseval2.d000.s030.t009,finds,senseval2.d000.s030
260,senseval2.d000.s031.t004,comes,senseval2.d000.s031
310,senseval2.d000.s042.t005,church,senseval2.d000.s042
348,senseval2.d000.s048.t000,live,senseval2.d000.s048
426,senseval2.d000.s058.t000,accepted,senseval2.d000.s058
495,senseval2.d000.s063.t001,wrote,senseval2.d000.s063
503,senseval2.d000.s064.t000,seen,senseval2.d000.s064
520,senseval2.d001.s001.t001,say,senseval2.d001.s001
561,senseval2.d001.s005.t001,discoveries,senseval2.d001.s005
575,senseval2.d001.s006.t004,knew,senseval2.d001.s006
609,senseval2.d001.s010.t006,accident,senseval2.d001.s010
621,senseval2.d001.s011.t006,discovered,senseval2.d001.s011
633,senseval2.d001.s012.t008,cancerous,senseval2.d001.s012
679,senseval2.d001.s016.t017,develop,senseval2.d001.s016
702,senseval2.d001.s020.t006,rare,senseval2.d001.s020
790,senseval2.d001.s031.t001,report,senseval2.d001.s031
856,senseval2.d001.s036.t015,families,senseval2.d001.s036
901,senseval2.d001.s042.t001,gross,senseval2.d001.s042
922,senseval2.d001.s045.t001,missing,senseval2.d001.s045
964,senseval2.d001.s054.t000,audacious,senseval2.d001.s054
969,senseval2.d001.s055.t003,believed,senseval2.d001.s055
1026,senseval2.d001.s060.t003,months,senseval2.d001.s060
1056,senseval2.d001.s063.t005,develop,senseval2.d001.s063
1129,senseval2.d001.s075.t000,said,senseval2.d001.s075
1228,senseval2.d001.s087.t000,believes,senseval2.d001.s087
1275,senseval2.d001.s091.t006,reverse,senseval2.d001.s091
1329,senseval2.d002.s006.t004,wish,senseval2.d002.s006
1346,senseval2.d002.s010.t005,intellectual,senseval2.d002.s010
1431,senseval2.d002.s023.t003,distinct,senseval2.d002.s023
1454,senseval2.d002.s028.t001,proceeded,senseval2.d002.s028
1489,senseval2.d002.s036.t006,helps,senseval2.d002.s036
1525,senseval2.d002.s041.t007,reform,senseval2.d002.s041
1537,senseval2.d002.s043.t005,rather,senseval2.d002.s043
1617,senseval2.d002.s056.t001,experience,senseval2.d002.s056
1622,senseval2.d002.s057.t006,become,senseval2.d002.s057
1648,senseval2.d002.s060.t000,reason,senseval2.d002.s060
1754,senseval2.d002.s075.t006,add,senseval2.d002.s075
1783,senseval2.d002.s077.t009,governed,senseval2.d002.s077
1800,senseval2.d002.s080.t001,ruffled,senseval2.d002.s080
1816,senseval3.d000.s002.t006,coughing,senseval3.d000.s002
1822,senseval3.d000.s004.t006,count,senseval3.d000.s004
1836,senseval3.d000.s007.t000,noticed,senseval3.d000.s007
1847,senseval3.d000.s011.t003,drinking,senseval3.d000.s011
1918,senseval3.d000.s027.t002,company,senseval3.d000.s027
1926,senseval3.d000.s029.t001,having,senseval3.d000.s029
1927,senseval3.d000.s029.t002,screwball,senseval3.d000.s029
1952,senseval3.d000.s036.t000,think,senseval3.d000.s036
1955,senseval3.d000.s038.t000,has,senseval3.d000.s038
1960,senseval3.d000.s040.t000,returning,senseval3.d000.s040
1993,senseval3.d000.s060.t000,trouble,senseval3.d000.s060
2000,senseval3.d000.s065.t002,break,senseval3.d000.s065
2004,senseval3.d000.s066.t000,watched,senseval3.d000.s066
2022,senseval3.d000.s067.t006,little,senseval3.d000.s067
2040,senseval3.d000.s071.t000,went,senseval3.d000.s071
2118,senseval3.d000.s089.t001,had,senseval3.d000.s089
2181,senseval3.d000.s108.t002,shadow,senseval3.d000.s108
2209,senseval3.d000.s114.t007,showed,senseval3.d000.s114
2210,senseval3.d000.s114.t008,face,senseval3.d000.s114
2233,senseval3.d000.s119.t002,silence,senseval3.d000.s119
2258,senseval3.d000.s123.t004,say,senseval3.d000.s123
2267,senseval3.d000.s130.t000,nodded,senseval3.d000.s130
2284,senseval3.d000.s138.t002,ran,senseval3.d000.s138
2291,senseval3.d000.s140.t001,professional,senseval3.d000.s140
2314,senseval3.d000.s152.t001,burned,senseval3.d000.s152
2317,senseval3.d000.s154.t002,accident,senseval3.d000.s154
2318,senseval3.d000.s155.t000,work,senseval3.d000.s155
2320,senseval3.d000.s155.t002,time,senseval3.d000.s155
2338,senseval3.d001.s000.t004,backed,senseval3.d001.s000
2371,senseval3.d001.s005.t001,opposite,senseval3.d001.s005
2384,senseval3.d001.s008.t000,theory,senseval3.d001.s008
2403,senseval3.d001.s009.t021,government,senseval3.d001.s009
2408,senseval3.d001.s009.t029,interest,senseval3.d001.s009
2438,senseval3.d001.s012.t000,assumptions,senseval3.d001.s012
2442,senseval3.d001.s012.t004,face,senseval3.d001.s012
2445,senseval3.d001.s012.t007,have,senseval3.d001.s012
2473,senseval3.d001.s016.t003,benefits,senseval3.d001.s016
2495,senseval3.d001.s020.t002,hold,senseval3.d001.s020
2504,senseval3.d001.s020.t011,appreciate,senseval3.d001.s020
2515,senseval3.d001.s021.t001,suggests,senseval3.d001.s021
2565,senseval3.d001.s026.t002,discouraged,senseval3.d001.s026
2571,senseval3.d001.s026.t008,hands,senseval3.d001.s026
2613,senseval3.d001.s030.t001,suggests,senseval3.d001.s030
2635,senseval3.d001.s033.t002,corroborate,senseval3.d001.s033
2673,senseval3.d001.s036.t005,have,senseval3.d001.s036
2685,senseval3.d001.s036.t018,participating,senseval3.d001.s036
2692,senseval3.d001.s037.t002,case,senseval3.d001.s037
2740,senseval3.d001.s041.t011,difference,senseval3.d001.s041
2741,senseval3.d001.s041.t012,popular,senseval3.d001.s041
2776,senseval3.d001.s044.t002,split,senseval3.d001.s044
2795,senseval3.d001.s045.t020,positive,senseval3.d001.s045
2830,senseval3.d002.s003.t002,came,senseval3.d002.s003
2886,senseval3.d002.s021.t001,hit,senseval3.d002.s021
2970,senseval3.d002.s059.t000,think,senseval3.d002.s059
3005,senseval3.d002.s080.t002,part,senseval3.d002.s080
3051,senseval3.d002.s091.t008,lights,senseval3.d002.s091
3102,senseval3.d002.s100.t014,watching,senseval3.d002.s100
3146,senseval3.d002.s116.t000,trouble,senseval3.d002.s116
3165,senseval3.d002.s120.t007,bounced,senseval3.d002.s120
3206,senseval3.d002.s138.t000,quiet,senseval3.d002.s138
3229,semeval2007.d000.s001.t004,found,semeval2007.d000.s001
3238,semeval2007.d000.s006.t003,had,semeval2007.d000.s006
3261,semeval2007.d000.s016.t001,created,semeval2007.d000.s016
3293,semeval2007.d000.s028.t009,see,semeval2007.d000.s028
3329,semeval2007.d001.s004.t002,traveled,semeval2007.d001.s004
3341,semeval2007.d001.s006.t004,program,semeval2007.d001.s006
3342,semeval2007.d001.s007.t000,creation,semeval2007.d001.s007
3436,semeval2007.d001.s037.t000,have,semeval2007.d001.s037
3466,semeval2007.d002.s008.t000,seems,semeval2007.d002.s008
3491,semeval2007.d002.s018.t000,say,semeval2007.d002.s018
3493,semeval2007.d002.s019.t000,ascending,semeval2007.d002.s019
3553,semeval2007.d002.s042.t001,pilot,semeval2007.d002.s042
3569,semeval2007.d002.s049.t008,pull,semeval2007.d002.s049
3592,semeval2007.d002.s052.t002,watched,semeval2007.d002.s052
3599,semeval2007.d002.s056.t000,left,semeval2007.d002.s056
3604,semeval2007.d002.s057.t003,saluting,semeval2007.d002.s057
3618,semeval2013.d000.s001.t010,burden,semeval2013.d000.s001
3749,semeval2013.d000.s024.t003,halls,semeval2013.d000.s024
3751,semeval2013.d000.s024.t006,claims,semeval2013.d000.s024
3794,semeval2013.d001.s007.t002,game,semeval2013.d001.s007
3840,semeval2013.d002.s003.t000,points,semeval2013.d002.s003
3961,semeval2013.d003.s016.t001,track,semeval2013.d003.s016
4026,semeval2013.d004.s010.t006,circles,semeval2013.d004.s010
4031,semeval2013.d005.s003.t000,end,semeval2013.d005.s003
4204,semeval2013.d006.s005.t001,discipline,semeval2013.d006.s005
4289,semeval2013.d006.s019.t013,suspension,semeval2013.d006.s019
4323,semeval2013.d007.s001.t001,bacteria,semeval2013.d007.s001
4328,semeval2013.d007.s002.t001,bacteria,semeval2013.d007.s002
4332,semeval2013.d007.s002.t005,elements,semeval2013.d007.s002
4346,semeval2013.d007.s007.t001,bacteria,semeval2013.d007.s007
4367,semeval2013.d007.s013.t001,environments,semeval2013.d007.s013
4376,semeval2013.d007.s014.t000,part,semeval2013.d007.s014
4398,semeval2013.d007.s022.t001,bacteria,semeval2013.d007.s022
4432,semeval2013.d008.s006.t000,things,semeval2013.d008.s006
4463,semeval2013.d008.s012.t007,average,semeval2013.d008.s012
4471,semeval2013.d008.s013.t007,increase,semeval2013.d008.s013
4685,semeval2013.d010.s011.t001,matches,semeval2013.d010.s011
4689,semeval2013.d010.s012.t003,matches,semeval2013.d010.s012
