mut_type,word_index_list,mut_sentence,mut_tag,instance_count
Numerical Quantifier mutation,,"The art of change-ringing is unique to the English, and, as with many English peculiarities, it remains impenetrable to the majority of the world.",MUTATED,5
,,,DUMP,
,,,DUMP,
Numerical Quantifier mutation,,"Of numerous scenes that evoke rural England, this stands as one of the most lovely: An ancient stone church is nestled in the fields, the resonant bells pouring from its tower, summoning the devout to evensong.",MUTATED,11
Numerical Quantifier mutation,,"Several parishioners of St. Michael and All Angels frequently pause to converse at the church entrance, as the regulars here typically do.",MUTATED,3
Numerical Quantifier mutation,,"In the tower, a group of six men and women pull rhythmically on ropes attached to the same bells that first tolled here in 1614.",MUTATED,11
Numerical Quantifier mutation,,"But there is also a single, modern note in Aslacton, though it can't be heard by the church-goers enjoying the sound of bells this cool autumn evening.",MUTATED,9
Numerical Quantifier mutation,,"Similar to the majority of the remaining 5,000 churches across Britain equipped with bell sets, St. Michael previously possessed its unique group of ringers, signaling the start of every Sunday's morning and evening services.",MUTATED,9
Numerical Quantifier mutation,,"Now, merely a single local ringer is left: the 64-year-old Derek Hammond.",MUTATED,3
Numerical Quantifier mutation,,Many of those here today reside elsewhere.,MUTATED,3
Numerical Quantifier mutation,,They are part of a team of a dozen ringers -- including a couple of octogenarians and several young trainees -- who commute every weekend from church to church in a occasionally-tiring endeavor to maintain the bells' peals across the numerous belfries of East Anglia.,MUTATED,6
Numerical Quantifier mutation,,"To ring for just two services at this tower, we have to scrape, says Mr. Hammond, a retired water-authority worker.",MUTATED,6
Numerical Quantifier mutation,,"We've attempted to instruct the young people, yet they have their parties and their dances, and they simply wander off.",MUTATED,1
Numerical Quantifier mutation,,Mr. Hammond worries that the passage of time and the impulsiveness of young adulthood may reduce the number of members in the East Anglian group that maintains the Aslacton bells tolling.,MUTATED,2
Numerical Quantifier mutation,,"After all, history is not merely on his side.",MUTATED,2
Numerical Quantifier mutation,,"According to a nationwide survey conducted a year ago, almost half of England's church bells are no longer rung on Sundays due to a lack of bell ringers.",MUTATED,11
Numerical Quantifier mutation,,It's straightforward to understand why this traditional art is hanging by a thread.,MUTATED,1
Numerical Quantifier mutation,,"The simpler version of playing tunes on bells, as with the carillons across continental Europe, is considered by the English to be immature, suitable merely for outsiders.",MUTATED,9
Numerical Quantifier mutation,,"Change-ringing, a mind-boggling exercise the English invented centuries ago, requires physical dexterity -- a few bells weigh nearly two tons -- combined with intense mental concentration.",MUTATED,15
Numerical Quantifier mutation,,"Proper English bells are started off in 'rounds,' beginning with the highest-pitched bell and ending with the lowest - a simple descending scale using, in larger churches, up to 20 bells.",MUTATED,10
Numerical Quantifier mutation,,"Then, upon a given signal, the group of ringers start to modify the sequence of the bells' sounds without changing the consistent pace of the strikes.",MUTATED,6
Numerical Quantifier mutation,,"Every modification, or alteration, can happen just once; that's what the rules indicate.",MUTATED,2
Numerical Quantifier mutation,,"Ringers commit to memory various patterns of changes, referred to as 'methods,' with peculiar names such as Kent Treble Bob Major or Grandsire Doubles.",MUTATED,4
Numerical Quantifier mutation,,"A series of approximately 3,000 changes constitutes a `` peal `` and takes around two hours.",MUTATED,4
Numerical Quantifier mutation,,A glimpse of the Thursday evening rehearsal at St. Mary Abbot church in the Kensington area of London offers a sense of the tasks at hand.,MUTATED,2
Numerical Quantifier mutation,,"Several shirt-sleeved ringers stand in a circle, each with a foot ahead of the next in a prize-fighter's stance, pulling on ropes that vanish through a series of small holes in the towering ceiling of the ringing chamber.",MUTATED,13
Numerical Quantifier mutation,,"No one speaks, and the snaking of the ropes seems to create as little sound as the bells themselves, muffled by the ceiling.",MUTATED,7
